family,engine,repeat,n_qubits,two_qubit_gates,p_all_zero
deep2q,Qiskit_L3,0,2,3,0.991455078
deep2q,TKET_native,0,2,3,0.987548828
deep2q,PSF_Zero_v6,0,2,3,0.990722656
deep2q,Hybrid,0,2,3,0.987792969
deep2q,Qiskit_L3,1,2,3,0.989746094
deep2q,TKET_native,1,2,3,0.989013672
deep2q,PSF_Zero_v6,1,2,3,0.989990234
deep2q,Hybrid,1,2,3,0.986572266
deep2q,Qiskit_L3,2,2,3,0.989746094
deep2q,TKET_native,2,2,3,0.989501953
deep2q,PSF_Zero_v6,2,2,3,0.989501953
deep2q,Hybrid,2,2,3,0.986083984
deep2q,Qiskit_L3,3,2,3,0.990722656
deep2q,TKET_native,3,2,3,0.987304688
deep2q,PSF_Zero_v6,3,2,3,0.98828125
deep2q,Hybrid,3,2,3,0.989746094
deep2q,Qiskit_L3,4,2,3,0.991699219
deep2q,TKET_native,4,2,3,0.990966797
deep2q,PSF_Zero_v6,4,2,3,0.989013672
deep2q,Hybrid,4,2,3,0.993164063
multi_deep2q,Qiskit_L3,0,8,12,0.967773438
multi_deep2q,TKET_native,0,8,12,0.965820313
multi_deep2q,PSF_Zero_v6,0,8,12,0.962158203
multi_deep2q,Hybrid,0,8,12,0.967041016
multi_deep2q,Qiskit_L3,1,8,12,0.971191406
multi_deep2q,TKET_native,1,8,12,0.966064453
multi_deep2q,PSF_Zero_v6,1,8,12,0.966796875
multi_deep2q,Hybrid,1,8,12,0.964355469
multi_deep2q,Qiskit_L3,2,8,12,0.965820313
multi_deep2q,TKET_native,2,8,12,0.969726563
multi_deep2q,PSF_Zero_v6,2,8,12,0.965332031
multi_deep2q,Hybrid,2,8,12,0.965332031
multi_deep2q,Qiskit_L3,3,8,12,0.966064453
multi_deep2q,TKET_native,3,8,12,0.968017578
multi_deep2q,PSF_Zero_v6,3,8,12,0.96875
multi_deep2q,Hybrid,3,8,12,0.969970703
multi_deep2q,Qiskit_L3,4,8,12,0.967041016
multi_deep2q,TKET_native,4,8,12,0.966796875
multi_deep2q,PSF_Zero_v6,4,8,12,0.970214844
multi_deep2q,Hybrid,4,8,12,0.967773438
wide,Qiskit_L3,0,8,42,0.961181641
wide,TKET_native,0,8,42,0.962402344
wide,PSF_Zero_v6,0,8,42,0.965087891
wide,Hybrid,0,8,42,0.965332031
wide,Qiskit_L3,1,8,42,0.958740234
wide,TKET_native,1,8,42,0.963134766
wide,PSF_Zero_v6,1,8,42,0.961669922
wide,Hybrid,1,8,42,0.962402344
wide,Qiskit_L3,2,8,42,0.959472656
wide,TKET_native,2,8,42,0.959716797
wide,PSF_Zero_v6,2,8,42,0.965332031
wide,Hybrid,2,8,42,0.964355469
wide,Qiskit_L3,3,8,42,0.958007813
wide,TKET_native,3,8,42,0.963867188
wide,PSF_Zero_v6,3,8,42,0.963134766
wide,Hybrid,3,8,42,0.965820313
wide,Qiskit_L3,4,8,42,0.962646484
wide,TKET_native,4,8,42,0.962158203
wide,PSF_Zero_v6,4,8,42,0.958984375
wide,Hybrid,4,8,42,0.96484375
