Compiler,Qubits,GatesPerPair,Seed,Status,Compile_Time_s,Peak_Memory_MB
Qiskit,156,20,1,success,1.5144314000008308,182.3125
PSF-Zero,156,20,1,success,0.9670469000011508,110.0078125
Qiskit,156,20,2,success,1.486483999999109,188.39453125
PSF-Zero,156,20,2,success,0.975125000000844,109.6328125
Qiskit,156,20,3,success,1.496865400000388,188.15234375
PSF-Zero,156,20,3,success,0.9942590000009659,110.72265625
Qiskit,300,20,1,success,1.4671605000003183,197.2578125
PSF-Zero,300,20,1,success,1.9387260000003153,118.171875
Qiskit,300,20,2,success,1.47629649999908,196.96875
PSF-Zero,300,20,2,success,1.891890400000193,117.83203125
Qiskit,300,20,3,success,1.4850160999994841,197.3359375
PSF-Zero,300,20,3,success,1.9165381000002526,117.99609375
Qiskit,500,20,1,success,1.558526200000415,179.88671875
PSF-Zero,500,20,1,success,3.169541900000695,126.74609375
Qiskit,500,20,2,success,1.547002799999973,180.37109375
PSF-Zero,500,20,2,success,3.2175557999999,129.05859375
Qiskit,500,20,3,success,1.5667152000005444,179.59765625
PSF-Zero,500,20,3,success,3.1936862000002293,126.73046875
Qiskit,1000,20,1,success,1.5031294000000344,234.33203125
PSF-Zero,1000,20,1,success,6.124814100001458,154.21484375
Qiskit,1000,20,2,success,1.6359675000003335,186.04296875
PSF-Zero,1000,20,2,success,6.3383192000001145,155.203125
Qiskit,1000,20,3,success,1.5478145999986737,206.4765625
PSF-Zero,1000,20,3,success,6.947772400000758,154.64453125
