Spare,Qubits,LayoutSearch,Seed,Arm,Reps,Time_min_s,Time_median_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,QiskitLevel,RoutingOptimizationLevel,Grid
0,12,-,0,qiskit_opt3,1,0.023268900000402937,0.023268900000402937,success,,exact_FAIL,,0.9955615622141492,18,0,16,3,1,3x4
0,12,False,0,psf_zero_ls0,1,0.015525100000559178,0.015525100000559178,success,,exact_pass,,-4.440892098500626e-15,36,0,22,3,1,3x4
0,12,True,0,psf_zero_ls1,1,0.015918499999315827,0.015918499999315827,success,,exact_FAIL,,0.9999097461033922,36,0,22,3,1,3x4
0,12,-,1,qiskit_opt3,1,0.017792499998904532,0.017792499998904532,success,,exact_FAIL,,0.9984922408756944,18,0,16,3,1,3x4
0,12,False,1,psf_zero_ls0,1,0.012101599999368773,0.012101599999368773,success,,exact_pass,,-1.3322676295501878e-15,36,0,22,3,1,3x4
0,12,True,1,psf_zero_ls1,1,0.01967729999887524,0.01967729999887524,success,,exact_FAIL,,0.999902145762735,36,0,22,3,1,3x4
0,12,-,2,qiskit_opt3,1,0.018352400000367197,0.018352400000367197,success,,exact_FAIL,,0.9982275126972744,18,0,16,3,1,3x4
0,12,False,2,psf_zero_ls0,1,0.012236299999131006,0.012236299999131006,success,,exact_pass,,-6.217248937900877e-15,36,0,22,3,1,3x4
0,12,True,2,psf_zero_ls1,1,0.01150950000010198,0.01150950000010198,success,,exact_FAIL,,0.9993704432941506,36,0,22,3,1,3x4
2,10,-,0,qiskit_opt3,1,0.018906999999671825,0.018906999999671825,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-3.1086244689504383e-15,15,0,16,3,1,3x4
2,10,False,0,psf_zero_ls0,1,0.008926200000132667,0.008926200000132667,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-3.1086244689504383e-15,30,0,22,3,1,3x4
2,10,True,0,psf_zero_ls1,1,0.012622999998711748,0.012622999998711748,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-3.1086244689504383e-15,30,0,22,3,1,3x4
2,10,-,1,qiskit_opt3,1,0.020203300000503077,0.020203300000503077,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.7763568394002505e-15,15,0,16,3,1,3x4
2,10,False,1,psf_zero_ls0,1,0.144201900000553,0.144201900000553,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.5543122344752192e-15,30,0,22,3,1,3x4
2,10,True,1,psf_zero_ls1,1,0.01180920000115293,0.01180920000115293,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.7763568394002505e-15,30,0,22,3,1,3x4
2,10,-,2,qiskit_opt3,1,0.020228699999279343,0.020228699999279343,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-4.6629367034256575e-15,15,0,16,3,1,3x4
2,10,False,2,psf_zero_ls0,1,0.014626100000896258,0.014626100000896258,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-5.551115123125783e-15,30,0,22,3,1,3x4
2,10,True,2,psf_zero_ls1,1,0.012871400000221911,0.012871400000221911,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-5.551115123125783e-15,30,0,22,3,1,3x4
