Round,Spare,Qubits,LayoutSearch,Seed,Arm,Time_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,QiskitLevel,RoutingOptimizationLevel,Grid,Timestamp
1,0,42,-,0,qiskit_opt3,7.507398200001262,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:24:42.031249
1,0,42,False,0,psf_zero_ls0,0.02944220000063069,success,,structural_only,,,132,0,45,3,1,6x7,2026-09-16T23:24:49.541739
1,0,42,True,0,psf_zero_ls1,0.2072955000003276,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:24:49.574043
1,0,42,-,1,qiskit_opt3,6.798204999999143,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:24:49.898624
1,0,42,False,1,psf_zero_ls0,0.09118599999965227,success,,structural_only,,,132,0,45,3,1,6x7,2026-09-16T23:24:56.699255
1,0,42,True,1,psf_zero_ls1,0.024209899998822948,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:24:56.793387
1,0,42,-,2,qiskit_opt3,6.700779799999509,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:24:56.933960
1,0,42,False,2,psf_zero_ls0,0.02882809999937308,success,,structural_only,,,132,0,45,3,1,6x7,2026-09-16T23:25:03.637451
1,0,42,True,2,psf_zero_ls1,0.02330429999892658,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:25:03.668812
1,2,40,-,0,qiskit_opt3,0.02600970000094094,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:03.801278
1,2,40,False,0,psf_zero_ls0,0.016594100001384504,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:03.830049
1,2,40,True,0,psf_zero_ls1,0.016320300001098076,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:03.849180
1,2,40,-,1,qiskit_opt3,0.02580130000023928,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:03.973176
1,2,40,False,1,psf_zero_ls0,0.015590700000757352,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:04.001297
1,2,40,True,1,psf_zero_ls1,0.01627589999952761,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:04.019527
1,2,40,-,2,qiskit_opt3,0.026281599999492755,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:25:04.144629
1,2,40,False,2,psf_zero_ls0,0.015628899998773704,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:04.173012
1,2,40,True,2,psf_zero_ls1,0.016177100000277278,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:25:04.191267
1,4,38,-,0,qiskit_opt3,0.02735439999923983,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:04.310578
1,4,38,False,0,psf_zero_ls0,0.016432099999292404,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:04.339823
1,4,38,True,0,psf_zero_ls1,0.017223599999852013,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:04.359176
1,4,38,-,1,qiskit_opt3,0.027133400000820984,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:04.481355
1,4,38,False,1,psf_zero_ls0,0.016494600000442006,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:04.510033
1,4,38,True,1,psf_zero_ls1,0.017267100000026403,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:04.529647
1,4,38,-,2,qiskit_opt3,0.02783129999988887,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:25:04.649657
1,4,38,False,2,psf_zero_ls0,0.016538900001251022,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:04.680409
1,4,38,True,2,psf_zero_ls1,0.01711299999988114,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:25:04.699716
1,8,34,-,0,qiskit_opt3,0.030943400000978727,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:25:04.808858
