Qubits,Seed,Arm,Reps,Time_min_s,Time_median_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,convert_in_s,optimize_s,route_s,convert_out_s,QiskitLevel,RoutingOptimizationLevel,LayoutSearch
4,0,qiskit,3,0.009306099998866557,0.010089499999594409,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.1102230246251565e-15,6,0,16,,,,,3,1,False
4,0,tket,3,0.24455979999947886,0.2565898000011657,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.745229638489435,6,0,7,0.021057800000562565,0.21731499999987136,0.0024444999999104766,0.0036244999992049998,3,1,False
4,0,psf_zero,3,0.007623100000273553,0.007794000001013046,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.3322676295501878e-15,12,0,22,,,,,3,1,False
4,1,qiskit,3,0.007893200001490186,0.007980500000485335,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-2.220446049250313e-16,6,0,16,,,,,3,1,False
4,1,tket,3,0.24220119999881717,0.25156299999980547,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.7695506836522774,6,0,7,0.021087600000100792,0.22465229999943404,0.002383400000326219,0.0033292999996774597,3,1,False
4,1,psf_zero,3,0.007463199999619974,0.008297200000015437,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-4.440892098500626e-16,12,0,22,,,,,3,1,False
4,2,qiskit,3,0.007927700000436744,0.00797459999921557,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-8.881784197001252e-16,6,0,16,,,,,3,1,False
4,2,tket,3,0.2407999999995809,0.2531001000006654,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.2630348692439629,6,0,7,0.021091700000397395,0.21359680000023218,0.0024076999998214887,0.0035938999990321463,3,1,False
4,2,psf_zero,3,0.007634499999767286,0.00818980000076408,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-6.661338147750939e-16,12,0,22,,,,,3,1,False
4,3,qiskit,3,0.008795700001428486,0.008804999999483698,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-8.881784197001252e-16,6,0,16,,,,,3,1,False
4,3,tket,3,0.24058379999951285,0.24094830000103684,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.6927451303154486,6,0,7,0.020798300000024028,0.21427869999934046,0.0024430000012216624,0.003318299999591545,3,1,False
4,3,psf_zero,3,0.007647099999303464,0.008070200001384364,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.1102230246251565e-15,12,0,22,,,,,3,1,False
4,4,qiskit,3,0.00839320000159205,0.009077200000319863,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-4.440892098500626e-16,6,0,16,,,,,3,1,False
4,4,tket,3,0.23941740000009304,0.2398797999994713,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9829235130167943,6,0,7,0.02073999999993248,0.2129767999995238,0.002359500000238768,0.003231700000469573,3,1,False
4,4,psf_zero,3,0.008238599999458529,0.008370500001547043,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-4.440892098500626e-16,12,0,22,,,,,3,1,False
6,0,qiskit,3,0.008528399999704561,0.008633800000097835,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-8.881784197001252e-16,9,0,16,,,,,3,1,False
6,0,tket,3,0.369621100000586,0.37143769999966025,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9976368439352734,9,0,7,0.03099110000039218,0.3210498999997071,0.012826000000131899,0.0046327000000019325,3,1,False
6,0,psf_zero,3,0.007971200000611134,0.009153199998763739,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.3322676295501878e-15,18,0,22,,,,,3,1,False
6,1,qiskit,3,0.009278900000936119,0.009304900000643102,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-2.220446049250313e-16,9,0,16,,,,,3,1,False
6,1,tket,3,0.372398699999394,0.37271700000019337,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9953493494283289,9,0,7,0.03134250000039174,0.32350419999966107,0.01276019999932032,0.004672400000345078,3,1,False
6,1,psf_zero,3,0.007971099999849685,0.00867610000022978,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-6.661338147750939e-16,18,0,22,,,,,3,1,False
6,2,qiskit,3,0.008678099999087863,0.008709600000656792,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.3322676295501878e-15,9,0,16,,,,,3,1,False
6,2,tket,3,0.36724820000017644,0.37081339999895135,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9943597374935653,9,0,7,0.031077399999048794,0.3220919000013964,0.012933199999679346,0.004589399999531452,3,1,False
6,2,psf_zero,3,0.008590100000219536,0.008726099998966674,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-8.881784197001252e-16,18,0,22,,,,,3,1,False
6,3,qiskit,3,0.008562900000470108,0.009449799999856623,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-4.440892098500626e-16,9,0,16,,,,,3,1,False
6,3,tket,3,0.3738991000009264,0.3755297999996401,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.969211763752603,9,0,7,0.03201899999839952,0.32595750000109547,0.012801999999282998,0.004630499999620952,3,1,False
6,3,psf_zero,3,0.00822159999916039,0.009862300001259428,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-8.881784197001252e-16,18,0,22,,,,,3,1,False
6,4,qiskit,3,0.008251799999925424,0.009415700000317884,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.1102230246251565e-15,9,0,16,,,,,3,1,False
6,4,tket,3,0.3692281000003277,0.3701608999999735,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9916993759847754,9,0,7,0.03064499999891268,0.3210660000004282,0.012819499999750406,0.0045767999999952735,3,1,False
6,4,psf_zero,3,0.007970799999384326,0.0088287999988097,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.1102230246251565e-15,18,0,22,,,,,3,1,False
8,0,qiskit,3,0.009218900000632857,0.009522799999103881,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.5543122344752192e-15,12,0,16,,,,,3,1,False
8,0,tket,3,0.4956160000001546,0.4958922999994684,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9987479109974832,12,0,7,0.041168700001435354,0.43192589999853226,0.017181700000946876,0.0060684999989462085,3,1,False
8,0,psf_zero,3,0.00803489999998419,0.008356599999387981,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.5543122344752192e-15,24,0,22,,,,,3,1,False
8,1,qiskit,3,0.01112710000052175,0.011378000001059263,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-2.220446049250313e-16,12,0,16,,,,,3,1,False
8,1,tket,3,0.5014140000002953,0.5081268000012642,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9923919009673722,12,0,7,0.041693400000440306,0.4414957000008144,0.017526099998576683,0.007270000000062282,3,1,False
8,1,psf_zero,3,0.008565399999497458,0.008838800000376068,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-6.661338147750939e-16,24,0,22,,,,,3,1,False
8,2,qiskit,3,0.009093399999983376,0.01033110000025772,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.7763568394002505e-15,12,0,16,,,,,3,1,False
8,2,tket,3,0.49603299999944284,0.4965260999997554,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9938940068071181,12,0,7,0.04113070000130392,0.4302843999994366,0.01704720000088855,0.00733349999973143,3,1,False
8,2,psf_zero,3,0.010065599999506958,0.010387800000899006,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.5543122344752192e-15,24,0,22,,,,,3,1,False
8,3,qiskit,3,0.009668700000474928,0.010822599999301019,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-6.661338147750939e-16,12,0,16,,,,,3,1,False
8,3,tket,3,0.49628889999985404,0.4969449000000168,success,,exact_FAIL,order_source=ascending-index fallback (no usable .layout),0.9970902223234919,12,0,7,0.04140910000023723,0.4299915999999939,0.017085399998904904,0.007668700000067474,3,1,False
8,3,psf_zero,3,0.008609100001194747,0.008776399999987916,success,,exact_pass,order_source=qc_new.layout.final_index_layout,-1.5543122344752192e-15,24,0,22,,,,,3,1,False
