family,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
dense_pairs,21,1,0,42,1.0,21,0,3,0,8.80246399999669,21,21,True,True,0,19423.96860000008,19390.650510787964,0.0,19400.97188949585,0.9982846919752477,9716.421842575073,1.9714832305908203,9672.2571849823,0.0,VF2Layout,9716.421842575073,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
dense_pairs,21,1,0,42,1.0,21,0,3,1,28.232335699998657,21,21,True,True,0,20238.154300001042,20221.414804458618,0.0,20226.43280029297,0.9991728743988071,10340.97409248352,1.1715888977050781,9879.269123077393,0.0,VF2Layout,10340.97409248352,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
dense_pairs,21,1,0,42,1.0,21,1,3,0,55.32776289999674,21,21,True,True,0,6688.4054000001925,6667.214632034302,0.0,6690.124034881592,0.9968317159773404,3367.3508167266846,5.914211273193359,3293.949604034424,0.0,VF2Layout,3367.3508167266846,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
dense_pairs,21,1,0,42,1.0,21,1,3,1,62.018039699996734,21,21,True,True,0,6666.024199999811,6650.471925735474,0.0,6666.46933555603,0.9976669340227812,3350.374221801758,0.0,3300.097703933716,0.0,VF2Layout,3350.374221801758,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
dense_pairs,21,1,0,42,1.0,21,2,3,0,75.49463139999716,21,21,True,True,0,6676.086999999825,6663.854360580444,0.0,6667.718887329102,0.9981676932281768,3302.366256713867,0.0,3361.488103866577,0.0,VF2PostLayout,3361.488103866577,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
dense_pairs,21,1,0,42,1.0,21,2,3,1,82.17218779999894,21,21,True,True,0,6663.983800001006,6663.756370544434,0.0,6666.6259765625,0.9999658718473217,3348.1106758117676,1.739501953125,3313.906192779541,0.0,VF2Layout,3348.1106758117676,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
linear_chain,41,2,0,42,1.0,21,0,3,0,89.00180129999717,21,21,True,True,0,35.75669999918318,20.993471145629883,0.0,25.488853454589844,0.5871199284640208,20.993471145629883,0.0,0.0,0.0,VF2Layout,20.993471145629883,26,solution found,no better solution found,True,True,123,456,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
linear_chain,41,2,0,42,1.0,21,0,3,1,89.0398475999973,21,21,True,True,0,31.718999998702202,18.86296272277832,0.0,26.02672576904297,0.5946897040748481,18.86296272277832,0.0,0.0,0.0,VF2Layout,18.86296272277832,26,solution found,no better solution found,True,True,123,456,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
linear_chain,41,2,0,42,1.0,21,1,3,0,89.231689799999,21,21,True,True,0,34.78469999754452,21.29507064819336,0.0,25.047779083251953,0.612196472865846,21.29507064819336,0.0,0.0,0.0,VF2Layout,21.29507064819336,26,solution found,no better solution found,True,True,123,456,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
linear_chain,41,2,0,42,1.0,21,1,3,1,89.26916559999881,21,21,True,True,0,32.25110000130371,23.031949996948242,0.0,26.340961456298828,0.7141446337029498,23.031949996948242,0.0,0.0,0.0,VF2Layout,23.031949996948242,26,solution found,no better solution found,True,True,123,456,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
linear_chain,41,2,0,42,1.0,21,2,3,0,89.45673410000018,21,21,True,True,0,32.248299998173025,19.944429397583008,0.0,27.181148529052734,0.6184645205704774,19.944429397583008,0.0,0.0,0.0,VF2Layout,19.944429397583008,26,solution found,no better solution found,True,True,123,456,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
linear_chain,41,2,0,42,1.0,21,2,3,1,89.49133379999694,21,21,True,True,0,32.35299999869312,20.42245864868164,0.0,26.42083168029785,0.631238483278416,20.42245864868164,0.0,0.0,0.0,VF2Layout,20.42245864868164,26,solution found,no better solution found,True,True,123,456,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
