family,k,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
k_chains,21,21,1,0,42,1.0,21,0,3,0,9.583601400001498,21,21,True,True,0,11717.206299999816,11699.333429336548,0.0,11701.348781585693,0.9984746474367983,8382.256507873535,2.7146339416503906,3314.3622875213623,0.0,VF2Layout,8382.256507873535,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,21,21,1,0,42,1.0,21,0,3,1,21.302211700000043,21,21,True,True,0,6708.087999999407,6699.556589126587,0.0,6700.385093688965,0.9987281903766289,3333.700180053711,0.0,3365.856409072876,0.0,VF2PostLayout,3365.856409072876,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,21,21,1,0,42,1.0,21,1,3,0,34.894990299999336,21,21,True,True,0,6981.447899997875,6983.158588409424,0.0,6983.158588409424,1.000245033471001,3500.481605529785,0.0,3482.6769828796387,0.0,VF2Layout,3500.481605529785,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,21,21,1,0,42,1.0,21,1,3,1,41.87791110000035,21,21,True,True,0,6722.449799999595,6706.437349319458,0.0,6708.442687988281,0.9976180631828389,3405.841112136841,0.0,3300.596237182617,0.0,VF2Layout,3405.841112136841,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,21,21,1,0,42,1.0,21,2,3,0,55.395209900001646,21,21,True,True,0,6711.327199998777,6709.229946136475,0.0,6715.833902359009,0.9996875053473323,3383.594512939453,0.0,3325.6354331970215,0.0,VF2Layout,3383.594512939453,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,21,21,1,0,42,1.0,21,2,3,1,62.10810290000154,21,21,True,True,0,6771.646599998348,6767.046689987183,0.0,6767.046689987183,0.9993207102669582,3417.4559116363525,0.0,3349.59077835083,0.0,VF2Layout,3417.4559116363525,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,20,20,1,0,42,1.0,21,0,3,0,68.97350799999913,21,21,True,True,0,22.93179999833228,16.080856323242188,0.0,16.080856323242188,0.7012470161265871,16.080856323242188,0.0,0.0,0.0,VF2Layout,16.080856323242188,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,20,20,1,0,42,1.0,21,0,3,1,68.99782590000177,21,21,True,True,0,23.86370000021998,5.545377731323242,0.0,20.786285400390625,0.23237711382862355,5.545377731323242,0.0,0.0,0.0,Split2QUnitaries,15.240907669067383,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,20,20,1,0,42,1.0,21,1,3,0,69.11410149999938,21,21,True,True,0,22.43359999920358,12.585878372192383,0.0,12.585878372192383,0.5610280281648597,12.585878372192383,0.0,0.0,0.0,VF2Layout,12.585878372192383,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
k_chains,20,20,1,0,42,1.0,21,1,3,1,69.13789069999984,21,21,True,True,0,24.099600002955412,17.428159713745117,0.0,17.428159713745117,0.7231721568659997,17.428159713745117,0.0,0.0,0.0,VF2Layout,17.428159713745117,26,solution found,no better solution found,True,True,60,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
