part,case,arm,rep,time_s,err,cx,twoq,sx,depth,closed_form,fallback,pair_applicable,pair_worst,esp_log10,mean_edge_err,layout_phase,layout_order
C1,random_0,old,,,5.213319701527416e-15,3,,10,,False,0,,,,,,
C1,random_0,new,,,2.7640084645689546e-15,3,,10,,True,0,,,,,,
C1,random_1,old,,,3.948926060047964e-15,3,,10,,False,0,,,,,,
C1,random_1,new,,,1.1198311869900407e-15,3,,10,,True,0,,,,,,
C1,random_2,old,,,4.460906094891851e-15,3,,10,,False,0,,,,,,
C1,random_2,new,,,3.617440455886579e-15,3,,10,,True,0,,,,,,
C1,random_3,old,,,9.33791834261658e-15,3,,10,,False,0,,,,,,
C1,random_3,new,,,4.4508893869114425e-15,3,,10,,True,0,,,,,,
C1,random_4,old,,,6.347329315882683e-14,3,,10,,False,0,,,,,,
C1,random_4,new,,,6.233393356050375e-14,3,,10,,True,0,,,,,,
C1,random_5,old,,,7.246002877389644e-15,3,,10,,False,0,,,,,,
C1,random_5,new,,,1.1171619185290638e-15,3,,10,,True,0,,,,,,
C1,random_6,old,,,2.5478469126297294e-14,3,,10,,False,0,,,,,,
C1,random_6,new,,,2.472144183858883e-14,3,,10,,True,0,,,,,,
C1,random_7,old,,,1.539555425588891e-14,3,,10,,False,0,,,,,,
C1,random_7,new,,,1.5222108256270363e-14,3,,10,,True,0,,,,,,
C1,random_8,old,,,1.1842043273655592e-14,3,,10,,False,0,,,,,,
C1,random_8,new,,,1.08718407223648e-14,3,,10,,True,0,,,,,,
C1,random_9,old,,,7.683708899040275e-15,3,,10,,False,0,,,,,,
C1,random_9,new,,,7.700396672040833e-15,3,,10,,True,0,,,,,,
C1,random_10,old,,,1.6535994190408622e-14,3,,10,,False,0,,,,,,
C1,random_10,new,,,1.6112595746476987e-14,3,,10,,True,0,,,,,,
C1,random_11,old,,,5.096181806368829e-15,3,,10,,False,0,,,,,,
C1,random_11,new,,,4.919152152227228e-15,3,,10,,True,0,,,,,,
C1,random_12,old,,,9.640546195990638e-15,3,,10,,False,0,,,,,,
C1,random_12,new,,,4.168049231502228e-15,3,,10,,True,0,,,,,,
C1,random_13,old,,,1.4690883868311515e-14,3,,10,,False,0,,,,,,
C1,random_13,new,,,1.423477681364129e-14,3,,10,,True,0,,,,,,
C1,random_14,old,,,3.2123725300910232e-15,3,,10,,False,0,,,,,,
C1,random_14,new,,,2.2271174230015442e-15,3,,10,,True,0,,,,,,
C1,random_15,old,,,5.772158839283741e-15,3,,10,,False,0,,,,,,
C1,random_15,new,,,1.0567413732812437e-15,3,,10,,True,0,,,,,,
C1,random_16,old,,,4.224834888500288e-15,3,,10,,False,0,,,,,,
C1,random_16,new,,,3.579509312647498e-15,3,,10,,True,0,,,,,,
C1,random_17,old,,,4.1335740583456615e-14,3,,10,,False,0,,,,,,
C1,random_17,new,,,4.105118603331424e-14,3,,10,,True,0,,,,,,
C1,random_18,old,,,5.512802732412824e-15,3,,10,,False,0,,,,,,
C1,random_18,new,,,3.3535620442448215e-15,3,,10,,True,0,,,,,,
C1,random_19,old,,,5.29262284647322e-15,3,,10,,False,0,,,,,,
C1,random_19,new,,,1.2243215724550222e-15,3,,10,,True,0,,,,,,
C1,random_20,old,,,3.5370752188849825e-15,3,,10,,False,0,,,,,,
C1,random_20,new,,,2.3665112664209283e-15,3,,10,,True,0,,,,,,
C1,random_21,old,,,2.68072202022901e-15,3,,10,,False,0,,,,,,
C1,random_21,new,,,1.0558753224491806e-15,3,,10,,True,0,,,,,,
C1,random_22,old,,,1.673273427570801e-14,3,,10,,False,0,,,,,,
C1,random_22,new,,,1.665358532078885e-14,3,,10,,True,0,,,,,,
C1,random_23,old,,,2.3849023267788487e-14,3,,10,,False,0,,,,,,
C1,random_23,new,,,2.3701633947048704e-14,3,,10,,True,0,,,,,,
C1,random_24,old,,,4.755629798565803e-15,3,,10,,False,0,,,,,,
C1,random_24,new,,,1.1019577428369496e-15,3,,10,,True,0,,,,,,
C1,random_25,old,,,4.824585814561203e-14,3,,10,,False,0,,,,,,
C1,random_25,new,,,4.8139800344909e-14,3,,10,,True,0,,,,,,
C1,random_26,old,,,4.071660226289453e-15,3,,10,,False,0,,,,,,
C1,random_26,new,,,3.0293040514412637e-15,3,,10,,True,0,,,,,,
C1,random_27,old,,,9.248598129517433e-15,3,,10,,False,0,,,,,,
C1,random_27,new,,,3.1206513364671256e-15,3,,10,,True,0,,,,,,
C1,random_28,old,,,3.661718152463145e-15,3,,10,,False,0,,,,,,
C1,random_28,new,,,3.264976323104344e-15,3,,10,,True,0,,,,,,
C1,random_29,old,,,3.2142586382665114e-15,3,,10,,False,0,,,,,,
C1,random_29,new,,,2.5491724589279896e-15,3,,10,,True,0,,,,,,
C1,random_30,old,,,4.742646421488269e-15,3,,10,,False,0,,,,,,
C1,random_30,new,,,2.3095782884483712e-15,3,,10,,True,0,,,,,,
C1,random_31,old,,,7.648118805999168e-15,3,,10,,False,0,,,,,,
C1,random_31,new,,,7.56084586507033e-15,3,,10,,True,0,,,,,,
C1,random_32,old,,,3.626820186848986e-15,3,,10,,False,0,,,,,,
C1,random_32,new,,,3.5326961064029015e-15,3,,10,,True,0,,,,,,
C1,random_33,old,,,2.793221553951373e-15,3,,10,,False,0,,,,,,
C1,random_33,new,,,1.2564955518868488e-15,3,,10,,True,0,,,,,,
C1,random_34,old,,,1.5750625826326015e-14,3,,10,,False,0,,,,,,
C1,random_34,new,,,1.5163746090919775e-14,3,,10,,True,0,,,,,,
C1,random_35,old,,,9.636175071953074e-15,3,,10,,False,0,,,,,,
C1,random_35,new,,,7.194881734448337e-15,3,,10,,True,0,,,,,,
C1,random_36,old,,,5.266698466478357e-15,3,,10,,False,0,,,,,,
C1,random_36,new,,,2.3332546649077007e-15,3,,10,,True,0,,,,,,
C1,random_37,old,,,6.551965829937023e-15,3,,10,,False,0,,,,,,
C1,random_37,new,,,4.936948649362968e-15,3,,10,,True,0,,,,,,
C1,random_38,old,,,6.965287830419062e-15,3,,10,,False,0,,,,,,
C1,random_38,new,,,6.7008162286731594e-15,3,,10,,True,0,,,,,,
C1,random_39,old,,,1.2515204205310721e-14,3,,10,,False,0,,,,,,
C1,random_39,new,,,1.217434632972948e-14,3,,10,,True,0,,,,,,
C1,random_40,old,,,2.3453349510407675e-14,3,,10,,False,0,,,,,,
C1,random_40,new,,,2.1024696239031713e-14,3,,10,,True,0,,,,,,
C1,random_41,old,,,5.6314884770363054e-15,3,,10,,False,0,,,,,,
C1,random_41,new,,,2.9501888848726594e-15,3,,10,,True,0,,,,,,
C1,random_42,old,,,1.002901898992117e-14,3,,10,,False,0,,,,,,
C1,random_42,new,,,9.076065268860029e-15,3,,10,,True,0,,,,,,
C1,random_43,old,,,4.406893047965211e-14,3,,10,,False,0,,,,,,
C1,random_43,new,,,4.461754211930242e-14,3,,10,,True,0,,,,,,
C1,random_44,old,,,5.4813086988872905e-15,3,,10,,False,0,,,,,,
C1,random_44,new,,,3.3322259236221397e-15,3,,10,,True,0,,,,,,
C1,random_45,old,,,3.006137142932095e-15,3,,10,,False,0,,,,,,
C1,random_45,new,,,1.169080075143082e-15,3,,10,,True,0,,,,,,
C1,random_46,old,,,2.5322694494587582e-14,3,,10,,False,0,,,,,,
C1,random_46,new,,,2.4905690462083058e-14,3,,10,,True,0,,,,,,
C1,random_47,old,,,2.2549111566464923e-15,3,,10,,False,0,,,,,,
C1,random_47,new,,,1.8433836816964108e-15,3,,10,,True,0,,,,,,
C1,random_48,old,,,3.5494416094461804e-14,3,,10,,False,0,,,,,,
C1,random_48,new,,,3.4876489133342774e-14,3,,10,,True,0,,,,,,
C1,random_49,old,,,3.4244847444445204e-15,3,,10,,False,0,,,,,,
C1,random_49,new,,,2.7807763412892674e-15,3,,10,,True,0,,,,,,
C1,random_50,old,,,3.76895653232673e-15,3,,10,,False,0,,,,,,
