tape_seed,arm,block_twoq_total,routed_twoq,depth,size,gpu_diff_worst,tvd_noisy,tvd_ideal,synth_ms_median,n_blocks,psf_fallbacks
0,A_without_psf,6,6,23,84,5.9396931817445875e-15,0.13325681796282626,0.014531474862851846,0.07395550005639961,2,
0,B_with_psf,6,6,16,56,7.343500807444059e-13,0.12975681796291627,0.014531474862789235,0.613991499903932,2,0
1,A_without_psf,6,6,23,84,6.938893903907228e-15,0.06485953340317949,0.01991221294644485,0.08115399987218552,2,
1,B_with_psf,6,6,16,56,7.993605777301127e-15,0.06350220371970242,0.01991221294644818,0.57479199995214,2,0
2,A_without_psf,6,6,23,84,5.10702591327572e-15,0.1398489342487278,0.02103212158768613,0.06973749987082556,2,
2,B_with_psf,6,6,16,56,8.659739592076221e-15,0.1440989342487275,0.021032121587687753,0.6003954999869165,2,0
3,A_without_psf,6,6,23,84,3.608224830031759e-15,0.07404766178730986,0.023834103860963008,0.07150099986574787,2,
3,B_with_psf,6,6,16,56,2.275957200481571e-14,0.06662867696536069,0.02383410386096214,0.7818700000825629,2,0
4,A_without_psf,6,6,23,84,1.2212453270876722e-15,0.05933023634607222,0.021822781050722096,0.06844500012448407,2,
4,B_with_psf,6,6,16,56,4.163336342344337e-15,0.06433023634607188,0.021822781050722745,0.6075789999613335,2,0
