tape_seed,arm,block_twoq_total,routed_twoq,depth,size,gpu_diff_worst,tvd_noisy,tvd_ideal,synth_ms_median,n_blocks,psf_fallbacks
0,A_qiskit_default,6,6,23,84,5.9396931817445875e-15,0.13325681796282626,0.014531474862851845,0.07429099991895782,2,
0,B_psf_zero,6,6,16,56,7.343500807444059e-13,0.12975681796291624,0.014531474862789233,0.5635699999402277,2,0
0,C_qiskit_zsx,6,6,16,56,5.6066262743570405e-15,0.1302568179628261,0.014531474862851545,0.08778650021668,2,
1,A_qiskit_default,6,6,23,84,6.938893903907228e-15,0.06485953340317949,0.019912212946444845,0.09396850009579794,2,
1,B_psf_zero,6,6,16,56,7.993605777301127e-15,0.06350220371970242,0.019912212946448182,0.5828469998050423,2,0
1,C_qiskit_zsx,6,6,16,56,7.022160630754115e-15,0.063502203719703,0.01991221294644455,0.1032860000123037,2,
2,A_qiskit_default,6,6,23,84,5.10702591327572e-15,0.13984893424872774,0.021032121587686123,0.0689314999817725,2,
2,B_psf_zero,6,6,16,56,8.659739592076221e-15,0.14409893424872747,0.021032121587687753,0.5910725001285755,2,0
2,C_qiskit_zsx,6,6,16,56,5.2735593669694936e-15,0.14484893424872838,0.021032121587686328,0.08562250013710582,2,
3,A_qiskit_default,6,6,23,84,3.608224830031759e-15,0.07404766178730986,0.023834103860963005,0.06858500000817003,2,
3,B_psf_zero,6,6,16,56,2.275957200481571e-14,0.0666286769653607,0.023834103860962137,0.5890139998427912,2,0
3,C_qiskit_zsx,6,6,16,56,3.6637359812630166e-15,0.07079766178731026,0.023834103860963293,0.09813599990593502,2,
4,A_qiskit_default,6,6,23,84,1.2212453270876722e-15,0.05933023634607222,0.021822781050722096,0.06801400013500825,2,
4,B_psf_zero,6,6,16,56,4.163336342344337e-15,0.06433023634607188,0.021822781050722752,0.6739895002283447,2,0
4,C_qiskit_zsx,6,6,16,56,1.5543122344752192e-15,0.06333023634607172,0.021822781050722415,0.08865899985721626,2,
