label,group,n_qubits,n_edges,n_components,n_idle_qubits,max_component_size,n_bare_2q_components,component_sizes,size_histogram,outcome,time_ms,source_addendum,outcome_confidence
linear_chain (n=42),fast,42,41,1,0,42,0,[42],{42: 1},solution found,,Addendum 51,single run
mixed_uneven (n=64),fast,64,46,18,0,30,17,"[30, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{2: 17, 30: 1}",solution found,30.16,Addendum 63,single run -- NOT independently reproduced (Addendum 72 Section 6 flags this as a priority)
merged_pairs m=3 (n=64),fast,64,35,29,0,4,26,"[4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{2: 26, 4: 3}",solution found,32.62,Addendum 65 (control point),single run
merged_pairs m=4 (n=64),fast,64,36,28,0,4,24,"[4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{2: 24, 4: 4}",solution found,32.31,Addendum 65 (control point),single run
merged_pairs m=6 (n=64),fast,64,38,26,0,4,20,"[4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{2: 20, 4: 6}",solution found,29.31,Addendum 59,single run
n_bare_edges n_bare=16 (n=42),fast,42,23,19,0,4,16,"[4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{2: 16, 3: 2, 4: 1}",solution found,26.2,"Addenda 70, 73","30 runs, 5 seeds -- reproduced"
dense_pairs (n=42),slow,42,21,21,0,2,21,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",{2: 21},nonexistent solution,6616.47,Addenda 34/51/53/55,reproduced many times
balanced_3q4q (n=64),slow,64,46,18,0,4,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3]","{3: 8, 4: 10}",nonexistent solution,10233.0,Addendum 63,single run
"shrinking_dominant / n_bare_edges small_size=3,big_size=13 (n=64)",slow,64,46,18,0,13,0,"[13, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{3: 17, 13: 1}",nonexistent solution,12402.02,Addendum 64,single run
large_dominant_no_bare_edges (n=64),slow,64,55,9,0,40,0,"[40, 3, 3, 3, 3, 3, 3, 3, 3]","{3: 8, 40: 1}",nonexistent solution,14351.92,Addendum 65,single run
single_bare_edge (n=64),slow,64,43,21,0,5,1,"[5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]","{2: 1, 3: 19, 5: 1}",nonexistent solution,10841.73,Addendum 66,single run
n_bare_edges n_bare=19 (n=42),slow,42,22,20,0,4,19,"[4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{2: 19, 4: 1}",nonexistent solution,6693.3,Addendum 70,"6 runs, 3 seeds"
n_bare_edges n_bare=17 (n=64) [see note],slow,64,37,27,0,3,17,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{2: 17, 3: 10}",nonexistent solution,9204.35,Addendum 72,"23 runs, 5 seeds, independently reproduced -- NOT the same graph as mixed_uneven despite matching coverage (see this script's own output for the component-count proof)"
