arm,lap,delta,ops,step_err_median_so_far,step_err_max_so_far,fixed_point_laps_so_far,elapsed_s,psf_fallbacks
A,1,1.2029719843862938e-14,98,1.2029719843862938e-14,1.2029719843862938e-14,0,0.0451127020023705,
A,2,1.4985669812700088e-14,98,1.1336275827118796e-14,1.2029719843862938e-14,0,0.07298492300105863,
A,5,2.754117414290366e-14,98,1.1430229390640223e-14,1.411959481625013e-14,0,0.16550214699964272,
A,10,4.58165323228112e-14,98,1.0810410234136927e-14,1.411959481625013e-14,0,0.3229025559994625,
A,20,7.801909067505891e-14,98,1.083207508571469e-14,1.4535182189923356e-14,0,0.6079844160012726,
A,50,1.7481412159699484e-13,98,1.0320204699743985e-14,1.511843088389598e-14,0,1.5541027450017282,
A,100,3.17633244604081e-13,98,9.916910925755331e-15,1.7790243354091873e-14,0,3.117396011999517,
A,200,5.297137090858777e-13,98,9.542812855290102e-15,1.780949064848737e-14,0,6.102474242001335,
A,500,1.1634737635814248e-12,98,8.99675380220927e-15,1.8204727337574573e-14,0,15.669854218002001,
A,1000,2.2564798976379353e-12,98,8.99579242269686e-15,1.8967403747460138e-14,0,31.759043664002093,
A,2000,4.801706560513076e-12,98,8.955723673476597e-15,2.4154370210032707e-14,0,62.92503364500226,
A,5000,1.3048622198963364e-11,98,9.003105499980609e-15,2.4154370210032707e-14,0,157.54978857600145,
A,10000,2.6013507657497804e-11,98,9.01575296560218e-15,2.7305610989062075e-14,0,315.4715872220004,
A,20000,5.1287091757492254e-11,98,8.97765913161431e-15,2.7740964221182787e-14,0,623.0724821370022,
