arm,lap,delta,ops,step_err_median_so_far,step_err_max_so_far,fixed_point_laps_so_far,elapsed_s,psf_fallbacks
C,1,5.628310246259943,98,5.628310246259943,5.628310246259943,0,0.03494874099851586,
C,2,5.628310246259943,98,2.814155123129975,5.628310246259943,0,0.07073857899740688,
C,5,5.628310246259941,98,9.420321910234626e-15,5.628310246259943,0,0.18231556799946702,
C,10,5.628310246259943,98,1.0114293731707457e-14,5.628310246259943,0,0.36478398499821196,
C,20,5.628310246259945,98,9.959971980191087e-15,5.628310246259943,0,0.7235930909992021,
C,50,5.628310246259946,98,9.959971980191087e-15,5.628310246259943,0,1.7867307739979879,
C,100,5.6283102462599475,98,1.0238430150099323e-14,5.628310246259943,0,3.690366577997338,
C,200,5.6283102462599555,98,9.769842339838988e-15,5.628310246259943,0,7.281336959000328,
C,500,5.6283102462599714,98,9.253490381717208e-15,5.628310246259943,0,18.6014785749976,
C,1000,5.628310246260026,98,8.476933401091508e-15,5.628310246259943,0,37.37789915399844,
C,2000,5.628310246260109,98,8.072925994356149e-15,5.628310246259943,0,74.7673522269979,
C,5000,5.628310246260298,98,7.96580515908401e-15,5.628310246259943,0,187.17662200300038,
C,10000,5.62831024626054,98,8.076967312875001e-15,5.628310246259943,0,373.6113271689974,
C,20000,5.628310246261054,98,8.220479316698556e-15,5.628310246259943,0,719.2084086340001,
