arm,lap,delta,ops,step_err_median_so_far,step_err_max_so_far,fixed_point_laps_so_far,elapsed_s,psf_fallbacks
P,1,8.947078464017042e-13,98,8.947078464017042e-13,8.947078464017042e-13,0,0.038092287999461405,0
P,2,8.315083597209796e-13,98,5.106102000388596e-13,8.947078464017042e-13,0,0.07839002099717618,0
P,5,7.451420749589546e-13,98,1.3659913354067508e-13,8.947078464017042e-13,0,0.19058083399795578,0
P,10,1.0292720119183598e-12,98,1.4005732916911563e-13,8.947078464017042e-13,0,0.3648969899986696,0
P,20,2.2448594009928593e-12,98,1.41293460706404e-13,8.947078464017042e-13,0,0.6899612279994471,0
P,50,6.300512279690695e-12,98,1.41293460706404e-13,8.947078464017042e-13,0,1.658681485998386,0
P,100,1.3168054749691088e-11,98,1.4059287741431375e-13,8.947078464017042e-13,0,3.3324063740001293,0
P,200,2.6847721863159734e-11,98,1.3907972897185672e-13,8.947078464017042e-13,0,6.53080835199944,0
P,500,6.813427683313259e-11,98,1.3937484820966128e-13,8.947078464017042e-13,0,16.45787948100042,0
P,1000,1.3693038039493992e-10,98,1.3938504845261772e-13,8.947078464017042e-13,0,32.698808111999824,0
P,2000,2.746434804519196e-10,98,1.3960063899190654e-13,8.947078464017042e-13,0,65.2091706559986,0
P,5000,6.884118028355877e-10,98,1.3975158501320336e-13,8.947078464017042e-13,0,162.60988872099915,0
P,10000,1.3764691929731142e-09,98,1.3963053144456893e-13,8.947078464017042e-13,0,325.1873591119984,0
P,20000,2.7518836809943663e-09,98,1.3955130202198516e-13,8.947078464017042e-13,0,640.3348011380003,0
