arm,lap,delta,ops,step_err_median_so_far,step_err_max_so_far,fixed_point_laps_so_far,elapsed_s,psf_fallbacks
Q3,1,1.3847932078159213e-14,86,1.3847932078159213e-14,1.3847932078159213e-14,0,0.04445876199679333,
Q3,2,1.9232921075489617e-14,86,1.3605816444299532e-14,1.3847932078159213e-14,0,0.0727679720002925,
Q3,5,3.4344222730872414e-14,86,1.329836186584872e-14,1.3847932078159213e-14,0,0.1887591969971254,
Q3,10,5.938411268372096e-14,86,1.2920888300449418e-14,1.5275551664760256e-14,0,0.34529216199734947,
Q3,20,1.1891675854873018e-13,86,1.1817874090736797e-14,1.7701936998948273e-14,0,0.6576699519973772,
Q3,50,2.6900765498252594e-13,86,1.2016355666934141e-14,2.1108945617575157e-14,0,1.5991512309992686,
Q3,100,5.783995012992327e-13,86,1.1733952783856559e-14,2.9449644064202516e-14,0,3.3251405939990946,
Q3,200,1.0237387917833257e-12,86,1.1708933057913734e-14,2.9449644064202516e-14,0,6.531386834998557,
Q3,500,2.553822686056497e-12,86,1.1635051396550345e-14,2.9449644064202516e-14,0,16.382822648996807,
Q3,1000,5.153133498095474e-12,86,1.1525598394238172e-14,2.9449644064202516e-14,0,32.72779191599693,
Q3,2000,1.1934028589249426e-11,86,1.1689005607733763e-14,2.9449644064202516e-14,0,65.37026227000024,
Q3,5000,3.3065367763509124e-11,86,1.1766321604020962e-14,2.9449644064202516e-14,0,163.784304943998,
Q3,10000,7.097391914832015e-11,86,1.1955763626047035e-14,3.4026245568617266e-14,0,327.2507113699976,
Q3,20000,1.434080865371748e-10,86,1.1914574149080912e-14,3.4026245568617266e-14,0,644.8676761440001,
