spare,n,occupancy,seed,arm,repeat,elapsed_since_start_s,total_ms,placement_ms,routing_ms,rebase_ms,two_qubit_gates,depth,violations,error,peephole_ms,cpu,platform,python_version,qiskit_version,pytket_version,grid_rows,grid_cols,gates_per_pair,tket_timeout_ms,tket_max_matches,with_peephole
0,42,1.0,0,qiskit_opt1,0,0.1529670999989321,34.740200000669574,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,qiskit_opt1,1,0.21989689999827533,37.050700000690995,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,qiskit_opt1,2,0.28633329999865964,36.08890000032261,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,qiskit_opt3,0,6.762532199998532,6391.062699996837,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,qiskit_opt3,1,13.154994999997143,6790.975700001582,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,qiskit_opt3,2,19.951210399998672,19081.44589999938,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,tket_placement_routing,0,43.60076089999711,198.03289999981644,140.67179999983637,57.36109999998007,1094.256199998199,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,tket_placement_routing,1,47.55612629999814,237.63469999903464,173.44199999934062,64.19269999969401,1185.6077999982517,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,tket_placement_routing,2,51.68294689999675,211.12720000382978,159.66100000150618,51.4662000023236,1057.8755999995337,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,tket_default_mapping,0,60.14551619999838,352.49669999757316,,,1043.6966999986907,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,tket_default_mapping,1,64.16111139999703,326.0530000006838,,,1114.0115999987756,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,0,tket_default_mapping,2,68.15949419999743,286.8774000016856,,,1117.7266999984568,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,qiskit_opt1,0,72.50044519999938,88.9738000005309,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,qiskit_opt1,1,72.72089399999822,118.72470000162139,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,qiskit_opt1,2,72.95673019999958,99.28199999922072,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,qiskit_opt3,0,80.66728809999768,6405.920299999707,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,qiskit_opt3,1,87.0745532999972,6458.25540000078,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,qiskit_opt3,2,93.53417409999747,11415.707799998927,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_placement_routing,0,108.56576239999777,183.60460000258172,127.91360000119312,55.6910000013886,890.6037999986438,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_placement_routing,1,112.18495899999834,189.31569999767817,134.3325999987428,54.98309999893536,1070.7720999998855,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_placement_routing,2,116.0006773999994,210.18570000160253,151.13669999846024,59.04900000314228,1012.4218000019027,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_default_mapping,0,122.7476093999976,108.76210000060382,,,334.39220000218484,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_default_mapping,1,124.16389799999888,104.56619999968098,,,314.0941000019666,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_default_mapping,2,125.44815819999712,109.46709999916493,,,340.87410000211094,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
