Iter_start,Iter_end,Qiskit_median_ms,PSF_true_median_ms,PSF_false_median_ms,Qiskit_mean_ms,PSF_true_mean_ms,PSF_false_mean_ms,Ratio_median_q_over_true,Ratio_median_q_over_false
0,1000,7.5087,1.4118,0.8955,7.9922,1.2843,1.0124,5.319,8.385
1000,2000,7.377,1.4079,0.8788,7.8296,1.2946,1.0124,5.24,8.394
2000,3000,8.145,1.4162,0.9911,8.6315,1.3162,1.0411,5.752,8.218
3000,4000,10.1938,1.6251,1.3305,14.1799,2.2651,2.0529,6.272,7.662
4000,5000,7.4285,1.4311,1.0004,8.1282,1.3849,1.0929,5.191,7.426
5000,6000,7.3144,1.4081,0.8664,7.8199,1.2919,1.0047,5.195,8.442
6000,7000,7.3222,1.4225,0.9583,7.7978,1.3114,1.0373,5.147,7.641
7000,8000,7.302,1.4307,1.0779,7.7917,1.3259,1.0411,5.104,6.774
8000,9000,9.3262,1.6129,1.3333,9.7379,1.5277,1.2504,5.782,6.995
9000,10000,7.6378,1.4424,0.9496,8.2196,1.3265,1.0561,5.295,8.043
10000,11000,7.8222,1.5034,1.2216,10.9095,1.8708,1.6262,5.203,6.404
11000,12000,9.287,1.5574,1.2327,14.005,2.3229,2.0967,5.963,7.534
12000,13000,7.7791,1.0392,0.7883,8.2088,1.2073,0.9183,7.486,9.868
13000,14000,7.9375,0.9849,0.7862,8.3661,1.2018,0.9352,8.059,10.096
14000,15000,7.5859,1.3401,0.8148,8.1631,1.2428,0.9588,5.66,9.31
15000,16000,7.6723,1.3556,0.8501,8.1039,1.2507,0.9675,5.659,9.025
16000,17000,9.4215,1.5667,1.2889,9.9159,1.5371,1.2563,6.014,7.309
17000,18000,7.7339,1.4847,1.2077,8.232,1.4048,1.105,5.209,6.404
18000,19000,7.7219,1.4905,1.2202,8.2785,1.3991,1.1174,5.181,6.328
19000,20000,9.2758,1.5845,1.2997,9.8401,1.4865,1.2224,5.854,7.137
20000,21000,7.5332,1.4619,1.035,8.1162,1.354,1.0737,5.153,7.278
21000,22000,7.5093,1.407,0.9468,8.0406,1.3277,1.0446,5.337,7.931
22000,23000,9.4276,1.6504,1.3858,9.9261,1.5702,1.2957,5.712,6.803
23000,24000,7.6991,1.4863,1.1873,8.273,1.3887,1.1008,5.18,6.485
24000,25000,8.061,1.4515,1.1621,8.7434,1.4264,1.1414,5.553,6.936
25000,26000,9.0276,1.5835,1.2812,9.5003,1.5328,1.2578,5.701,7.046
26000,27000,7.6327,1.4791,1.195,8.171,1.384,1.1096,5.16,6.387
27000,28000,8.5858,1.5272,1.2197,9.096,1.4408,1.1753,5.622,7.04
28000,29000,8.3589,1.4778,1.1207,8.8605,1.4077,1.1317,5.656,7.459
29000,30000,7.7552,1.482,1.1527,8.2657,1.3813,1.098,5.233,6.728
30000,31000,9.074,1.6113,1.3515,9.5778,1.4974,1.2296,5.631,6.714
31000,32000,8.3489,1.5367,1.2539,8.8809,1.4587,1.1768,5.433,6.658
32000,33000,9.6241,1.7515,1.4827,10.0817,1.6352,1.3746,5.495,6.491
33000,34000,8.2332,1.5173,1.2357,8.6717,1.4414,1.1446,5.426,6.663
34000,35000,9.7609,1.7166,1.435,10.2526,1.648,1.3736,5.686,6.802
35000,36000,7.9494,1.4778,1.2169,8.468,1.3847,1.1065,5.379,6.533
36000,37000,8.5992,1.5371,1.2445,9.1029,1.4682,1.1977,5.594,6.91
37000,38000,8.9626,1.56,1.2913,9.4849,1.4942,1.2236,5.745,6.941
38000,39000,7.967,1.5055,1.2156,8.4987,1.4205,1.1289,5.292,6.554
39000,40000,9.5937,1.6373,1.3607,10.0424,1.558,1.2939,5.859,7.05
40000,41000,9.8382,1.6951,1.3961,12.4623,2.0626,1.8051,5.804,7.047
41000,42000,15.0591,2.3386,2.6403,14.6376,2.6205,2.48,6.439,5.704
42000,43000,7.6185,1.3661,0.853,8.042,1.263,0.9787,5.577,8.931
43000,44000,7.54,1.4298,0.9676,7.9748,1.3367,1.03,5.273,7.793
44000,45000,7.5446,1.4338,1.0176,8.0073,1.3422,1.0497,5.262,7.414
45000,46000,9.5874,1.7094,1.4349,10.0297,1.6365,1.3634,5.608,6.682
46000,47000,9.3112,1.5819,1.1798,9.7587,1.5413,1.2828,5.886,7.892
47000,48000,8.1563,1.5477,1.2686,8.7129,1.4358,1.1573,5.27,6.429
48000,49000,9.2638,1.6381,1.3656,9.7714,1.5568,1.2802,5.655,6.784
49000,50000,8.3594,1.503,1.2413,8.8698,1.4334,1.1668,5.562,6.735
