Iter_start,Iter_end,Qiskit_median_ms,PSF_oldverify_median_ms,PSF_false_median_ms,Qiskit_mean_ms,PSF_oldverify_mean_ms,PSF_false_mean_ms,Ratio_median_q_over_oldverify,Ratio_median_q_over_false
0,1000,7.6575,5.236,1.1542,8.1069,6.1795,1.2518,1.462,6.635
1000,2000,8.0302,5.6211,1.1981,8.3737,6.1832,1.2729,1.429,6.703
2000,3000,9.2696,9.1003,1.6429,9.4882,8.5117,1.5794,1.019,5.642
3000,4000,7.6038,5.1889,1.1517,8.0047,5.8596,1.2143,1.465,6.602
4000,5000,9.2986,9.1781,1.4012,9.5213,8.3755,1.5464,1.013,6.636
5000,6000,8.1396,6.7926,1.2462,8.4645,7.125,1.411,1.198,6.531
6000,7000,8.3561,5.8512,1.2279,8.7298,6.9894,1.3797,1.428,6.805
7000,8000,9.6178,9.4456,1.4863,11.2115,11.0766,2.0492,1.018,6.471
8000,9000,8.2243,6.2265,1.1838,11.1545,10.8396,2.0817,1.321,6.947
9000,10000,7.3462,4.9706,1.069,7.6112,5.3866,1.1179,1.478,6.872
10000,11000,7.658,5.4739,1.1263,8.0676,5.7372,1.1823,1.399,6.8
11000,12000,8.7032,6.2359,1.271,8.9943,6.8747,1.3648,1.396,6.848
12000,13000,7.4425,5.0691,1.0857,7.7245,5.6462,1.1645,1.468,6.855
13000,14000,8.5586,8.5512,1.5543,8.8719,7.6141,1.4686,1.001,5.506
14000,15000,7.9396,6.0638,1.2025,8.468,7.0028,1.3956,1.309,6.603
15000,16000,16.3885,19.3335,4.0267,15.8718,18.263,3.4293,0.848,4.07
16000,17000,16.2924,19.6018,4.0697,15.6284,18.0354,3.3849,0.831,4.003
17000,18000,12.1166,16.3983,1.8686,12.4891,13.0667,2.4682,0.739,6.484
18000,19000,7.3085,4.9933,1.0918,7.5892,5.4353,1.1265,1.464,6.694
19000,20000,7.4214,5.2836,1.1375,9.956,9.1144,1.8155,1.405,6.524
20000,21000,8.9931,8.2161,1.5368,12.1901,12.4571,2.3643,1.095,5.852
21000,22000,16.8481,20.1011,4.1331,17.0506,19.9133,3.692,0.838,4.076
22000,23000,16.6811,20.3086,4.1318,16.7827,19.7411,3.6543,0.821,4.037
23000,24000,15.7671,18.1935,3.5204,14.4682,15.705,2.9885,0.867,4.479
24000,25000,15.5768,18.8639,3.8509,15.3338,17.6199,3.2725,0.826,4.045
25000,26000,8.5643,7.3216,1.3403,11.4135,11.6927,2.2757,1.17,6.39
26000,27000,13.606,16.7256,2.2933,13.0446,13.8342,2.653,0.813,5.933
27000,28000,15.053,17.7281,3.1462,14.0729,15.1945,2.9108,0.849,4.784
28000,29000,6.9062,5.0934,1.0863,7.8086,6.5498,1.3337,1.356,6.357
29000,30000,6.8214,4.8939,1.0404,7.234,5.2569,1.1014,1.394,6.556
30000,31000,8.7164,6.5412,1.297,9.022,7.1884,1.3967,1.333,6.721
31000,32000,7.9268,8.1667,1.5287,8.2039,7.1856,1.409,0.971,5.185
32000,33000,6.8568,4.8645,1.0365,7.2124,5.2765,1.1045,1.41,6.615
33000,34000,9,8.9433,1.6692,10.2134,9.7667,1.8374,1.006,5.392
34000,35000,15.429,18.6202,3.7332,14.7464,16.8542,3.2044,0.829,4.133
35000,36000,7.2015,4.8986,1.0472,7.5978,5.3714,1.1183,1.47,6.877
36000,37000,7.1925,4.9281,1.0508,7.4945,5.372,1.1042,1.459,6.844
37000,38000,7.1485,5.0655,1.0946,7.6403,5.6475,1.1492,1.411,6.531
38000,39000,14.1265,17.418,2.8123,13.8836,15.4092,2.9465,0.811,5.023
39000,40000,9.3479,8.5643,1.7437,12.6601,13.0275,2.4435,1.092,5.361
40000,41000,15.385,17.9375,3.3978,14.343,15.8991,3.0228,0.858,4.528
41000,42000,14.7655,17.5561,2.7272,13.5913,14.7441,2.7843,0.841,5.414
42000,43000,7.2172,5.0126,1.0846,7.8299,6.0017,1.2099,1.44,6.654
43000,44000,13.9743,17.7057,2.5432,13.9369,15.038,2.7811,0.789,5.495
44000,45000,7.0902,4.8843,1.0389,7.4039,5.3446,1.1075,1.452,6.825
45000,46000,6.955,4.8891,1.0505,7.3208,5.2941,1.1086,1.423,6.62
46000,47000,8.1611,6.0792,1.2672,8.45,6.1838,1.2782,1.342,6.44
47000,48000,7.5764,5.9297,1.226,7.9698,6.2443,1.308,1.278,6.18
48000,49000,7.7574,5.7676,1.188,9.6689,8.7295,1.7551,1.345,6.53
49000,50000,6.8691,5.0395,1.0643,7.2194,5.3986,1.1159,1.363,6.454
