qiskit,psf_true,psf_false
0.007678100,0.001038900,0.000875800
0.007922600,0.001789200,0.001292600
0.006826400,0.001563200,0.000935600
0.007474200,0.001036900,0.000791700
0.007079900,0.000923100,0.000746100
0.006918500,0.001424900,0.001221600
0.006995400,0.001056600,0.000845000
0.007822900,0.001003400,0.000747500
0.006433300,0.001682500,0.001238600
0.006952600,0.001683100,0.001246300
0.007056000,0.000983900,0.000793700
0.006854400,0.001448300,0.001228100
0.006772400,0.001027500,0.001265000
0.007630200,0.001539500,0.000848000
0.007106200,0.000914800,0.000702500
0.006235900,0.001472000,0.001207700
0.006410300,0.001004700,0.000818500
0.006829300,0.001514100,0.001362800
0.006097500,0.000873300,0.000720100
0.009211800,0.001051300,0.000830000
0.007672900,0.001434400,0.001225800
0.006559200,0.001042000,0.000851000
0.008505100,0.001514600,0.001251200
0.006185000,0.000922600,0.000746500
0.006294700,0.000880300,0.000725700
0.006651700,0.001115400,0.000873000
0.006995900,0.001495000,0.001248600
0.006190400,0.000896800,0.000755800
0.006168000,0.001420100,0.001431900
0.007294300,0.001183000,0.000807300
0.007214200,0.000938400,0.000734700
0.006775100,0.001460300,0.001230800
0.006864400,0.001468900,0.000835800
0.007683600,0.000992300,0.000772800
0.006669800,0.000941500,0.000777100
0.006159400,0.001444500,0.001248100
0.006568100,0.000919100,0.000823200
0.008133400,0.001570400,0.001334800
0.007103100,0.000883300,0.000752400
0.007570300,0.001045400,0.000831100
0.007525100,0.000984100,0.000797400
0.009026800,0.001368800,0.000810400
0.006241100,0.001417700,0.001214700
0.006320500,0.001539500,0.001323400
0.006812900,0.000925000,0.000747500
0.006346500,0.001411900,0.001213900
0.006602900,0.000996000,0.000793300
0.006826400,0.000913500,0.000735200
0.006331900,0.001047400,0.000744200
0.006702000,0.001778300,0.001382900
0.006521600,0.000978200,0.000751100
0.007039400,0.001596300,0.000831500
0.007394300,0.001556600,0.001294700
0.006647100,0.000864800,0.000718100
0.006290100,0.001294200,0.000863100
0.007515900,0.001682200,0.001551700
0.006664100,0.000858700,0.000721400
0.006958600,0.001723000,0.001340600
0.007130100,0.001437000,0.001224200
0.007493000,0.001664800,0.001422500
0.007452700,0.000926500,0.000723800
0.007379700,0.001452200,0.001231000
0.006660100,0.001176300,0.000784400
0.006664000,0.001645600,0.001389300
0.007409500,0.000927900,0.000755200
0.006371900,0.001427500,0.001237100
0.008554600,0.000996400,0.000802400
0.006678900,0.000986300,0.000760200
0.007038700,0.000878800,0.000716700
0.006947400,0.001478900,0.001339900
0.008036100,0.001748800,0.001525200
0.007546300,0.000953900,0.000799400
0.006799400,0.000958000,0.000793500
0.007051100,0.001048300,0.000827200
0.008219100,0.000961700,0.000729000
0.006705900,0.000918100,0.000774300
0.006399500,0.001501500,0.001424600
0.006530100,0.001067500,0.000769600
0.007848800,0.000978300,0.000756600
0.006675100,0.000953700,0.000758000
0.007364700,0.001815800,0.001551200
0.007689000,0.001487400,0.001253200
0.006588600,0.000950100,0.000988100
0.006834000,0.001539100,0.000898200
0.007996200,0.000945700,0.000738400
0.007850800,0.000942700,0.001712200
0.006672900,0.001547400,0.001236000
0.006603000,0.001430000,0.000891200
0.006593800,0.001050400,0.000821000
0.007345600,0.001005600,0.000807100
0.007060800,0.001509800,0.001270300
0.007673900,0.001030500,0.000826300
0.006979900,0.000965000,0.000757100
0.006399100,0.000944000,0.000728300
0.006366700,0.000882200,0.000762600
0.006293400,0.001017300,0.000934600
0.006924300,0.001038700,0.000856300
0.006834800,0.001643800,0.001330900
0.006381200,0.001430600,0.001241500
0.007715900,0.000959400,0.000740400
0.006788900,0.000951600,0.000739000
0.006924300,0.001400400,0.000957100
0.006536400,0.001446200,0.000888200
0.007508300,0.000899800,0.000711900
0.006566100,0.001546200,0.001223400
0.006730800,0.002103100,0.001555100
0.007423600,0.001512200,0.001242000
0.007041000,0.001694000,0.001420900
0.006482900,0.000902600,0.000757100
0.008250000,0.001788100,0.001422200
0.006389200,0.000899000,0.000714300
0.007532700,0.000889200,0.000878300
0.007710800,0.001613800,0.001361500
0.006777200,0.001504300,0.001244400
0.006783600,0.001955600,0.001562700
0.007587800,0.000918000,0.000734400
0.006945200,0.001075400,0.000930700
0.007503300,0.001631700,0.001349500
0.006884900,0.001504200,0.001264700
0.006482200,0.001506600,0.001292300
0.006760600,0.001691000,0.001365800
0.007855200,0.000987900,0.000782300
0.007044800,0.001397200,0.001237200
0.007371100,0.001373800,0.000897300
0.007311700,0.000984100,0.000778400
0.007096900,0.001591600,0.000871800
0.007772400,0.001833100,0.001400000
0.006532700,0.000893800,0.000740000
0.006490400,0.001434800,0.001259400
0.007202000,0.001571400,0.001371000
0.006310600,0.001449900,0.001266800
0.006864800,0.001989800,0.001284000
0.007182000,0.001560100,0.001359700
0.006148500,0.000916000,0.000752600
0.007902000,0.001002000,0.000785700
0.006702200,0.000943100,0.000763100
0.006998000,0.001624200,0.001283700
0.006522600,0.001777000,0.001623700
0.006017900,0.000862800,0.000756800
0.006847800,0.001070000,0.000857100
0.008248500,0.001592500,0.001358300
0.006235500,0.001502700,0.000767000
0.006623900,0.001580900,0.000809100
0.006559700,0.001878800,0.001356700
0.006505400,0.000941100,0.000785100
0.007457100,0.001470500,0.001241100
0.006441300,0.000952900,0.000768100
0.008064200,0.001928900,0.001394300
0.007135600,0.000858700,0.000718900
0.006518600,0.001803500,0.000906100
0.007396100,0.001642000,0.001361600
0.007111800,0.001217600,0.001881200
0.020552900,0.002393500,0.001330100
0.005786000,0.000912100,0.000748700
0.005871000,0.001409300,0.001288700
0.006360200,0.000929200,0.000905200
0.007525500,0.000945900,0.000767600
0.007415900,0.001532500,0.001208800
0.006660100,0.001697000,0.001056800
0.006589200,0.001551500,0.001123100
0.007469200,0.001484900,0.001261000
0.006602700,0.000887900,0.000740700
0.006405500,0.000890400,0.000740900
0.007129300,0.000946200,0.000743800
0.006745900,0.001444400,0.001270800
0.006119300,0.000948400,0.000757700
0.006992000,0.001446700,0.001234300
0.006278500,0.000862400,0.001135300
0.007053900,0.000939700,0.000848900
0.006926200,0.000974500,0.000764200
0.009495500,0.000940300,0.000761700
0.007876400,0.001016700,0.000800000
