iteration,engine,time_s,depth,cx_count,signature
0,Qiskit_L3,0.02969699999994191,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
0,TKET,0.04608039999993707,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
0,PSF-Zero,0.0009224000000358501,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
1,Qiskit_L3,0.007607499999949141,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
1,TKET,0.04270889999997962,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
1,PSF-Zero,0.00045069999987390474,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
2,Qiskit_L3,0.007137200000215671,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
2,TKET,0.04235559999983707,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
2,PSF-Zero,0.0004807000000255357,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
3,Qiskit_L3,0.007197800000085408,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
3,TKET,0.04236379999997553,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
3,PSF-Zero,0.0004621000000497588,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
4,Qiskit_L3,0.007626299999856201,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
4,TKET,0.04240279999999075,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
4,PSF-Zero,0.0004734999999982392,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
5,Qiskit_L3,0.007535200000120312,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
5,TKET,0.042374000000108936,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
5,PSF-Zero,0.0005220000000463187,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
6,Qiskit_L3,0.007871600000044054,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
6,TKET,0.050872300000037285,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
6,PSF-Zero,0.000575600000047416,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
7,Qiskit_L3,0.008025999999972555,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
7,TKET,0.042279699999880904,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
7,PSF-Zero,0.0004732999998395826,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
8,Qiskit_L3,0.0073062000001300476,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
8,TKET,0.04261929999984204,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
8,PSF-Zero,0.0005186000000776403,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
9,Qiskit_L3,0.007851800000025833,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
9,TKET,0.04237660000012511,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
9,PSF-Zero,0.0004726999998183601,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
10,Qiskit_L3,0.007266500000014275,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
10,TKET,0.04354330000001028,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
10,PSF-Zero,0.0004917000001114502,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
11,Qiskit_L3,0.007244300000138537,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
11,TKET,0.04220439999994596,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
11,PSF-Zero,0.0004751000001306238,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
12,Qiskit_L3,0.007253600000012739,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
12,TKET,0.042119899999988775,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
12,PSF-Zero,0.00045329999989007774,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
13,Qiskit_L3,0.007160500000054526,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
13,TKET,0.042438899999979185,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
13,PSF-Zero,0.0004983999999694788,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
14,Qiskit_L3,0.007600199999842516,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
14,TKET,0.04256170000007842,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
14,PSF-Zero,0.0005411000001913635,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
15,Qiskit_L3,0.007528599999886865,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
15,TKET,0.0427878000000419,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
15,PSF-Zero,0.0005149999999503052,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
16,Qiskit_L3,0.007669700000178636,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
16,TKET,0.04248469999993176,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
