Threads,Seed,Qubits,Layer,Status,Time_min_s,Time_median_s,Platform,Python,StartMethod,CPU,CPU_count,Qiskit,numpy,Fixture,core_file,core_bytes,core_ext,blas
default,1,-1,core_raw,success,0.0019269000000008418,0.0019376999999849431,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,-1,core_raw_checked,skipped,,,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,-1,numpy_ref,success,0.003909600000014279,0.00396670000000654,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,-1,synth_1block_canonical,success,0.010034199999978455,0.010068700000005038,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,-1,synth_1block_cx,success,0.010288500000001477,0.010465500000009342,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,15,prep,success,0.00017180000000394102,0.00017740000001253975,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,15,canonical_verifyFalse,success,0.0011054000000001452,0.0011662999999941803,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,15,canonical_verifyTrue,success,0.0018901999999911823,0.0019590000000277996,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,15,cx_verifyFalse,success,0.0011436000000060176,0.001236699999992652,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,15,cx_verifyTrue,success,0.0020020000000045,0.00205259999998475,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
