part,spare,seed,mode,rep,component,seconds,count
A,0,0,first_call,0,total,0.11496889900001861,1
A,0,0,plain,0,total,0.10356883499997593,1
A,0,0,plain,1,total,0.08673064300000988,1
A,0,0,plain,2,total,0.08695858999999473,1
A,0,0,plain,3,total,0.0872753059999809,1
A,0,0,plain,4,total,0.08691591799998832,1
A,0,0,instrumented,0,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.008631721000028847,1
A,0,0,instrumented,0,A1b.1 core decompose (Rust),0.0007198870000024726,60
A,0,0,instrumented,0,A1b.2 polish (check + Gauss-Newton),0.017798706000121456,60
A,0,0,instrumented,0,A1b.3a cx core lookup/build,0.019072800000230927,60
A,0,0,instrumented,0,A1b.3 build circuit (incl. CX core),0.025525569999899744,60
A,0,0,instrumented,0,A1b  synthesize [all blocks],0.04640810200004353,60
A,0,0,instrumented,0,A1 psf.compile [total],0.057296538000002784,1
A,0,0,instrumented,0,A2a  matching check (networkx),0.0021896490000017366,1
A,0,0,instrumented,0,A2b  orderings,0.0005103389999590036,1
A,0,0,instrumented,0,A2c  relabel graph,7.705600000917912e-05,2
A,0,0,instrumented,0,A2d  vf2_mapping (rustworkx),0.01291378899998108,2
A,0,0,instrumented,0,A2 layout search [total],0.015840638999975454,1
A,0,0,instrumented,0,A3 layout map -> list,1.1211000014554884e-05,1
A,0,0,instrumented,0,A4 qiskit transpile L1 [total],0.014647418000038215,1
A,0,0,instrumented,0,A0 compile_for_hardware [total],0.08826706000002105,
A,0,0,instrumented,0,"A1c  compile other (to_matrix, compose, loop)",0.0022567149999304092,
A,0,0,instrumented,0,"A1b.4 synthesize other (tolist, verify, checks)",0.0023639390000198546,
A,0,0,instrumented,0,"A5 compile_for_hardware other (pair collection, import)",0.00047125399999004003,
A,0,0,instrumented,0,refine_triggered,,23
A,0,0,instrumented,0,cx_cache_hit,,0
A,0,0,instrumented,0,cx_cache_miss,,60
A,0,0,instrumented,1,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.07899530899999263,1
A,0,0,instrumented,1,A1b.1 core decompose (Rust),0.0007165629999121848,60
A,0,0,instrumented,1,A1b.2 polish (check + Gauss-Newton),0.01682278499987433,60
A,0,0,instrumented,1,A1b.3a cx core lookup/build,0.01887711400019043,60
A,0,0,instrumented,1,A1b.3 build circuit (incl. CX core),0.025458303000050364,60
A,0,0,instrumented,1,A1b  synthesize [all blocks],0.04521390600035602,60
A,0,0,instrumented,1,A1 psf.compile [total],0.12634890500004303,1
A,0,0,instrumented,1,A2a  matching check (networkx),0.0021673370000030445,1
A,0,0,instrumented,1,A2b  orderings,0.0002251079999950889,1
A,0,0,instrumented,1,A2c  relabel graph,7.676600000650069e-05,2
A,0,0,instrumented,1,A2d  vf2_mapping (rustworkx),0.012891787000000932,2
A,0,0,instrumented,1,A2 layout search [total],0.015470915999969748,1
A,0,0,instrumented,1,A3 layout map -> list,1.0228999997252686e-05,1
A,0,0,instrumented,1,A4 qiskit transpile L1 [total],0.015602806000003966,1
A,0,0,instrumented,1,A0 compile_for_hardware [total],0.15793088399999533,
A,0,0,instrumented,1,"A1c  compile other (to_matrix, compose, loop)",0.002139689999694383,
A,0,0,instrumented,1,"A1b.4 synthesize other (tolist, verify, checks)",0.0022162550005191406,
A,0,0,instrumented,1,"A5 compile_for_hardware other (pair collection, import)",0.000498027999981332,
A,0,0,instrumented,1,refine_triggered,,23
A,0,0,instrumented,1,cx_cache_hit,,0
A,0,0,instrumented,1,cx_cache_miss,,60
A,0,0,instrumented,2,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007685193999975581,1
A,0,0,instrumented,2,A1b.1 core decompose (Rust),0.0007381580002743249,60
A,0,0,instrumented,2,A1b.2 polish (check + Gauss-Newton),0.01752122199980022,60
A,0,0,instrumented,2,A1b.3a cx core lookup/build,0.019371222999950533,60
A,0,0,instrumented,2,A1b.3 build circuit (incl. CX core),0.026508500000147706,60
A,0,0,instrumented,2,A1b  synthesize [all blocks],0.04713283199998841,60
A,0,0,instrumented,2,A1 psf.compile [total],0.05695681300005617,1
A,0,0,instrumented,2,A2a  matching check (networkx),0.0024828059999890684,1
A,0,0,instrumented,2,A2b  orderings,0.00023760099998071382,1
A,0,0,instrumented,2,A2c  relabel graph,7.844900000009147e-05,2
A,0,0,instrumented,2,A2d  vf2_mapping (rustworkx),0.01303055500005712,2
A,0,0,instrumented,2,A2 layout search [total],0.01594558300001836,1
A,0,0,instrumented,2,A3 layout map -> list,1.0209000038230442e-05,1
A,0,0,instrumented,2,A4 qiskit transpile L1 [total],0.013442032999989806,1
A,0,0,instrumented,2,A0 compile_for_hardware [total],0.0868316939999545,
A,0,0,instrumented,2,"A1c  compile other (to_matrix, compose, loop)",0.0021387870000921794,
