part,spare,seed,rep,pass_name,seconds
A-L1,0,0,0,ContainsInstruction,1.0251998901367188e-05
A-L1,0,0,0,UnitarySynthesis,7.3909759521484375e-06
A-L1,0,0,0,HighLevelSynthesis,0.00012803077697753906
A-L1,0,0,0,BasisTranslator,0.0012874603271484375
A-L1,0,0,0,InverseCancellation,0.0002777576446533203
A-L1,0,0,0,ContractIdleWiresInControlFlow,5.7220458984375e-06
A-L1,0,0,0,SetLayout,5.8650970458984375e-05
A-L1,0,0,0,FullAncillaAllocation,2.2649765014648438e-05
A-L1,0,0,0,EnlargeWithAncilla,2.384185791015625e-06
A-L1,0,0,0,ApplyLayout,0.0002243518829345703
A-L1,0,0,0,CheckMap,9.322166442871094e-05
A-L1,0,0,0,FilterOpNodes,0.00036263465881347656
A-L1,0,0,0,Size,6.9141387939453125e-06
A-L1,0,0,0,Depth,0.0001926422119140625
A-L1,0,0,0,FixedPoint,1.9788742065429688e-05
A-L1,0,0,0,Optimize1qGatesDecomposition,0.002785205841064453
A-L1,0,0,0,GatesInBasis,0.0001285076141357422
A-L1,0,0,1,ContainsInstruction,1.049041748046875e-05
A-L1,0,0,1,UnitarySynthesis,6.67572021484375e-06
A-L1,0,0,1,HighLevelSynthesis,0.00013566017150878906
A-L1,0,0,1,BasisTranslator,0.0014390945434570312
A-L1,0,0,1,InverseCancellation,0.0002541542053222656
A-L1,0,0,1,ContractIdleWiresInControlFlow,3.814697265625e-06
A-L1,0,0,1,SetLayout,5.698204040527344e-05
A-L1,0,0,1,FullAncillaAllocation,2.1696090698242188e-05
A-L1,0,0,1,EnlargeWithAncilla,1.9073486328125e-06
A-L1,0,0,1,ApplyLayout,0.00023221969604492188
A-L1,0,0,1,CheckMap,6.890296936035156e-05
A-L1,0,0,1,FilterOpNodes,0.0004067420959472656
A-L1,0,0,1,Size,6.9141387939453125e-06
A-L1,0,0,1,Depth,0.00022459030151367188
A-L1,0,0,1,FixedPoint,1.9550323486328125e-05
A-L1,0,0,1,Optimize1qGatesDecomposition,0.0038652420043945312
A-L1,0,0,1,GatesInBasis,0.00014281272888183594
A-L1,0,0,2,ContainsInstruction,1.049041748046875e-05
A-L1,0,0,2,UnitarySynthesis,6.9141387939453125e-06
A-L1,0,0,2,HighLevelSynthesis,0.0001220703125
A-L1,0,0,2,BasisTranslator,0.0012793540954589844
