family,eps,seed,method,aligned_err,twoq
"(0.6,0.3,e)",0.01,13,decomposer ZSX (as PSF-Zero),8.952785016739735e-15,3
"(0.6,0.3,e)",0.01,13,decomposer default Euler,2.304739273796359e-15,3
"(0.6,0.3,e)",0.01,13,"transpile L1 [cx,rz,sx,x]",8.952785016739735e-15,3
"(0.6,0.3,e)",0.01,13,"transpile L2 [cx,rz,sx,x]",8.952785016739735e-15,3
"(0.6,0.3,e)",0.01,13,"transpile L3 [cx,rz,sx,x]",8.952785016739735e-15,3
"(0.6,0.3,e)",0.01,13,transpile L1 GenericBackendV2 cz,4.012663357231384e-15,3
"(0.6,0.3,e)",0.01,13,transpile L3 GenericBackendV2 cz,2.5939313813640857e-15,3
"(0.6,0.3,e)",0.01,13,PSF-Zero old path,3.233688348705434e-15,3
"(0.6,0.3,e)",0.01,13,PSF-Zero closed form,1.468011727379619e-15,3
"(0.6,0.3,e)",0.01,101,decomposer ZSX (as PSF-Zero),9.87429288198017e-15,3
"(0.6,0.3,e)",0.01,101,decomposer default Euler,4.0275646939912925e-15,3
"(0.6,0.3,e)",0.01,101,"transpile L1 [cx,rz,sx,x]",9.87429288198017e-15,3
"(0.6,0.3,e)",0.01,101,"transpile L2 [cx,rz,sx,x]",9.87429288198017e-15,3
"(0.6,0.3,e)",0.01,101,"transpile L3 [cx,rz,sx,x]",9.87429288198017e-15,3
"(0.6,0.3,e)",0.01,101,transpile L1 GenericBackendV2 cz,3.517695858388422e-15,3
"(0.6,0.3,e)",0.01,101,transpile L3 GenericBackendV2 cz,3.24957002789678e-15,3
"(0.6,0.3,e)",0.01,101,PSF-Zero old path,2.0514531854698477e-14,3
"(0.6,0.3,e)",0.01,101,PSF-Zero closed form,1.9904629900501758e-14,3
"(0.6,0.3,e)",0.01,202,decomposer ZSX (as PSF-Zero),8.100879474962924e-15,3
"(0.6,0.3,e)",0.01,202,decomposer default Euler,3.791548794856359e-15,3
"(0.6,0.3,e)",0.01,202,"transpile L1 [cx,rz,sx,x]",8.100879474962924e-15,3
"(0.6,0.3,e)",0.01,202,"transpile L2 [cx,rz,sx,x]",8.100879474962924e-15,3
"(0.6,0.3,e)",0.01,202,"transpile L3 [cx,rz,sx,x]",8.100879474962924e-15,3
"(0.6,0.3,e)",0.01,202,transpile L1 GenericBackendV2 cz,5.022121534623717e-15,3
"(0.6,0.3,e)",0.01,202,transpile L3 GenericBackendV2 cz,4.870714613127391e-15,3
"(0.6,0.3,e)",0.01,202,PSF-Zero old path,9.478273415052129e-14,3
"(0.6,0.3,e)",0.01,202,PSF-Zero closed form,9.461583132966012e-14,3
"(0.6,0.3,e)",0.005623413251903491,13,decomposer ZSX (as PSF-Zero),1.39838916412171e-14,3
"(0.6,0.3,e)",0.005623413251903491,13,decomposer default Euler,1.7498644731038399e-15,3
"(0.6,0.3,e)",0.005623413251903491,13,"transpile L1 [cx,rz,sx,x]",1.39838916412171e-14,3
"(0.6,0.3,e)",0.005623413251903491,13,"transpile L2 [cx,rz,sx,x]",1.39838916412171e-14,3
"(0.6,0.3,e)",0.005623413251903491,13,"transpile L3 [cx,rz,sx,x]",1.39838916412171e-14,3
"(0.6,0.3,e)",0.005623413251903491,13,transpile L1 GenericBackendV2 cz,6.682155730149763e-15,3
"(0.6,0.3,e)",0.005623413251903491,13,transpile L3 GenericBackendV2 cz,4.008810607221183e-15,3
"(0.6,0.3,e)",0.005623413251903491,13,PSF-Zero old path,7.177759186656016e-15,3
"(0.6,0.3,e)",0.005623413251903491,13,PSF-Zero closed form,1.1603655199782799e-15,3
"(0.6,0.3,e)",0.005623413251903491,101,decomposer ZSX (as PSF-Zero),1.5175921450853774e-14,3
"(0.6,0.3,e)",0.005623413251903491,101,decomposer default Euler,2.692423282960599e-15,3
"(0.6,0.3,e)",0.005623413251903491,101,"transpile L1 [cx,rz,sx,x]",1.5175921450853774e-14,3
"(0.6,0.3,e)",0.005623413251903491,101,"transpile L2 [cx,rz,sx,x]",1.5175921450853774e-14,3
"(0.6,0.3,e)",0.005623413251903491,101,"transpile L3 [cx,rz,sx,x]",1.5175921450853774e-14,3
"(0.6,0.3,e)",0.005623413251903491,101,transpile L1 GenericBackendV2 cz,6.92860978099496e-15,3
"(0.6,0.3,e)",0.005623413251903491,101,transpile L3 GenericBackendV2 cz,2.0043504311582835e-15,3
"(0.6,0.3,e)",0.005623413251903491,101,PSF-Zero old path,7.372557833817441e-15,3
"(0.6,0.3,e)",0.005623413251903491,101,PSF-Zero closed form,1.5732823019371406e-15,3
"(0.6,0.3,e)",0.005623413251903491,202,decomposer ZSX (as PSF-Zero),1.4138021445430406e-14,3
