config,arm,search_found,median_ms,min_ms,max_ms,n_runs,gates_2q,depth,coupling_violations
6x7 dense_pairs,qiskit_l3,True,6695.910450000156,6660.753000000113,6809.604700000818,6,63,16,0
6x7 dense_pairs,psf_ls_false,True,31.102399999781483,25.80729999954201,99.99489999972866,6,63-69,23-44,0
6x7 dense_pairs,psf_ls_true,True,14.402750000044762,13.423800000055053,15.249999999468855,6,63,23,0
6x7 chain-shaped,qiskit_l3,True,32.058799999958865,30.742500000087603,36.11579999960668,6,87,104,0
6x7 chain-shaped,psf_ls_false,True,17.19870000033552,15.195299999504641,19.465000000309374,6,87,167,0
6x7 chain-shaped,psf_ls_true,True,16.10320000054344,15.44720000038069,21.347500000047148,6,87,167,0
8x8 dense_pairs,qiskit_l3,True,9017.557250000209,8916.914899999938,9666.776400000344,6,96,16,0
8x8 dense_pairs,psf_ls_false,True,19.195399999716756,17.28819999971165,21.13160000044445,6,96,23,0
8x8 dense_pairs,psf_ls_true,True,19.07065000023067,18.074699999488075,26.633200000105717,6,96,23,0
8x8 chain-shaped,qiskit_l3,True,8853.581150000082,8781.744400000207,8947.158099999797,6,153-156,233-268,0
8x8 chain-shaped,psf_ls_false,True,23.786700000073324,20.271400000638096,26.84450000015204,6,135,347,0
8x8 chain-shaped,psf_ls_true,True,22.178649999659683,21.809900000334892,22.759700000278826,6,135,347,0
