check,case,feasible,found,elapsed_s,orderings_tried,order,layout_valid
P1,dominant_size_sweep_D2,True,True,0.4526568999999654,1,natural,True
P1,dominant_size_sweep_D3,True,True,0.003284900000153357,1,natural,True
P1,dominant_size_sweep_D4,True,True,0.0034061999999721593,1,natural,True
P1,dominant_size_sweep_D5,True,True,0.00468829999999798,1,natural,True
P1,dominant_size_sweep_D6,True,True,0.0040899000000536034,1,natural,True
P1,dominant_size_sweep_D7,True,True,0.0037843999998585787,1,natural,True
P1,dominant_size_sweep_D8,True,True,0.0028597000000445405,1,natural,True
P1,dominant_size_sweep_D9,True,True,0.005065700000159268,1,natural,True
P1,dominant_size_sweep_D10,True,True,0.004488399999900139,1,natural,True
P1,dominant_size_sweep_D11,True,True,0.0043396999999458785,1,natural,True
P1,dominant_size_sweep_D12,True,True,0.003936000000066997,1,natural,True
P1,dominant_size_sweep_D13,True,True,0.004395800000111194,1,natural,True
P1,dominant_size_sweep_D14,True,True,0.003414399999883244,1,natural,True
P1,dominant_size_sweep_D16,True,True,0.003011000000014974,1,natural,True
P1,dominant_size_sweep_D17,True,True,0.0037413999998534564,1,natural,True
P1,dominant_size_sweep_D18,True,True,0.002330700000129582,1,natural,True
P1,dominant_size_sweep_D19,True,True,0.004452799999853596,1,natural,True
P1,dominant_size_sweep_D20,True,True,0.0027414999999564316,1,natural,True
P1,dominant_size_sweep_D21,True,True,0.0035988999998153304,1,natural,True
P1,dominant_size_sweep_D22,True,True,0.002498099999911574,1,natural,True
P1,dominant_size_sweep_D23,True,True,0.004937599999948361,1,natural,True
P1,dominant_size_sweep_D24,True,True,0.0026617999999416497,1,natural,True
P1,dominant_size_sweep_D25,True,True,0.0035927000001265696,1,natural,True
P1,dominant_size_sweep_D26,True,True,0.0036838999999417865,1,natural,True
P1,dominant_size_sweep_D27,True,True,0.0034130999999888445,1,natural,True
P1,dominant_size_sweep_D28,True,True,0.004338500000130807,1,natural,True
P2,dense_pairs_6x7,True,True,0.0018097000001944252,1,natural,True
P2,dense_pairs_8x8,True,True,0.002946599999859245,1,natural,True
P3,impossible_4x4_32pairs,False,False,0.0018376999998963583,0,,
