D,morning_search_only_ms,today_full_entry_point_ms,feasible,found,orderings_tried,order,layout_valid
2,51.94019999999,304.1253000010329,True,True,1,natural,True
3,50.51739999998972,2.1885000005568145,True,True,1,natural,True
4,49.85339999984717,1.1025000003428431,True,True,1,natural,True
5,61.51829999998881,2.062600000499515,True,True,1,natural,True
6,31.700200000159384,1.1076999999204418,True,True,1,natural,True
7,49.50730000018666,2.040399998804787,True,True,1,natural,True
8,18.644900000253983,1.1374999994586688,True,True,1,natural,True
9,56.02959999941959,2.390600000580889,True,True,1,natural,True
10,21.484099999725004,1.1418000012781704,True,True,1,natural,True
11,45.824699999684526,2.1708000003854977,True,True,1,natural,True
12,19.51420000023063,1.264900000023772,True,True,1,natural,True
13,46.71480000070005,2.0582000015565427,True,True,1,natural,True
14,15.837299999475363,1.3278000005811919,True,True,1,natural,True
16,15.305100000659877,1.1580999998841435,True,True,1,natural,True
17,15.989399999853049,2.0772999996552244,True,True,1,natural,True
18,14.627399999881163,1.0778999985632254,True,True,1,natural,True
19,15.281699999832199,2.695700000913348,True,True,1,natural,True
20,14.78410000072472,1.2717000008706236,True,True,1,natural,True
21,14.91470000019035,2.0266999999876134,True,True,1,natural,True
22,14.810799999395385,1.363600000331644,True,True,1,natural,True
23,15.672100000301725,2.258099999380647,True,True,1,natural,True
24,19.100499999694875,1.3294000000314554,True,True,1,natural,True
25,21.71520000047167,2.164499999707914,True,True,1,natural,True
26,18.213500000456406,1.1230000000068685,True,True,1,natural,True
27,19.654499999887776,1.8708999996306375,True,True,1,natural,True
28,18.328899999687565,1.1038000011467375,True,True,1,natural,True
