engine,iteration,component,time_ms,platform,processor,python,qiskit
Qiskit_L3,0,TOTAL,3.2459,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,ContainsInstruction,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,UnitarySynthesis,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,HighLevelSynthesis,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,BasisTranslator,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,ElidePermutations,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,RemoveDiagonalGatesBeforeMeasure,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,RemoveIdentityEquivalent,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,InverseCancellation,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,ContractIdleWiresInControlFlow,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,CommutativeCancellation,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,ConsolidateBlocks,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,Split2QUnitaries,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,Size,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,Depth,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
Qiskit_L3,0,MinimumPoint,0.0,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
