section,type,count
P3_baseline_net_growth,function,9246
P3_baseline_net_growth,list,1568
P3_baseline_net_growth,dict,4572
P3_baseline_net_growth,wrapper_descriptor,483
P3_baseline_net_growth,method_descriptor,676
P3_baseline_net_growth,classmethod_descriptor,2
P3_baseline_net_growth,getset_descriptor,953
P3_baseline_net_growth,member_descriptor,17
P3_baseline_net_growth,ReferenceType,1502
P3_baseline_net_growth,staticmethod,115
P3_baseline_net_growth,builtin_function_or_method,1647
P3_baseline_net_growth,frozenset,191
P3_baseline_net_growth,SimpleNamespace,1
P3_baseline_net_growth,module,542
P3_baseline_net_growth,type,740
P3_baseline_net_growth,tuple,3578
P3_baseline_net_growth,ModuleSpec,539
P3_baseline_net_growth,property,434
P3_baseline_net_growth,classmethod,123
P3_baseline_net_growth,cell,2111
P3_baseline_net_growth,set,880
P3_baseline_net_growth,FileFinder,44
P3_baseline_net_growth,ABCMeta,36
P3_baseline_net_growth,_abc_data,38
P3_baseline_net_growth,SourceFileLoader,441
P3_baseline_net_growth,method,959
P3_baseline_net_growth,EnumMeta,6
P3_baseline_net_growth,_tuplegetter,168
P3_baseline_net_growth,RegexFlag,2
P3_baseline_net_growth,_lru_cache_wrapper,9
P3_baseline_net_growth,partial,30
P3_baseline_net_growth,PyCSimpleType,2
P3_baseline_net_growth,StgDict,2
P3_baseline_net_growth,ExtensionFileLoader,91
P3_baseline_net_growth,Pattern,79
P3_baseline_net_growth,PytestTester,22
P3_baseline_net_growth,count,1
P3_baseline_net_growth,RLock,14
P3_baseline_net_growth,lock,7
P3_baseline_net_growth,cached_property,11
P3_baseline_net_growth,_ProtocolMeta,2
P3_baseline_net_growth,TypeVar,2
P3_baseline_net_growth,_GenericAlias,4
P3_baseline_net_growth,_UnionGenericAlias,3
P3_baseline_net_growth,iinfo,1
P3_baseline_net_growth,UnionType,47
P3_baseline_net_growth,_LiteralGenericAlias,8
P3_baseline_net_growth,GenericAlias,52
P3_baseline_net_growth,builtin_method,8
P3_baseline_net_growth,ForwardRef,18
P3_baseline_net_growth,WindowsPath,1
P3_baseline_net_growth,_local,4
P3_baseline_net_growth,_CallableGenericAlias,8
P3_baseline_net_growth,Formatter,1
P3_baseline_net_growth,Logger,1
P3_baseline_net_growth,PercentStyle,1
P3_baseline_net_growth,WeakKeyDictionary,4
P3_baseline_net_growth,mappingproxy,121
P3_baseline_net_growth,_DataclassParams,26
P3_baseline_net_growth,Field,100
P3_baseline_net_growth,Op,15
P3_baseline_net_growth,cython_function_or_method,640
P3_baseline_net_growth,slice,83
P3_baseline_net_growth,Enum,155
P3_baseline_net_growth,errstate,1
P3_baseline_net_growth,NullHandler,1
P3_baseline_net_growth,OrderedDict,118
P3_baseline_net_growth,Counter,1
P3_baseline_net_growth,finfo,3
P3_baseline_net_growth,_MaskedUnaryOperation,26
P3_baseline_net_growth,_DomainGreaterEqual,2
P3_baseline_net_growth,_DomainGreater,3
P3_baseline_net_growth,_DomainTan,1
P3_baseline_net_growth,_DomainCheckInterval,3
P3_baseline_net_growth,_MaskedBinaryOperation,18
P3_baseline_net_growth,_DomainedBinaryOperation,6
P3_baseline_net_growth,_DomainSafeDivide,6
P3_baseline_net_growth,_MaskedPrintOption,1
P3_baseline_net_growth,MaskedArray,1
P3_baseline_net_growth,MaskedConstant,1
P3_baseline_net_growth,_frommethod,26
P3_baseline_net_growth,_extrema_operation,2
P3_baseline_net_growth,_convert2ma,13
P3_baseline_net_growth,_fromnxfunction_allargs,3
P3_baseline_net_growth,_fromnxfunction_seq,5
P3_baseline_net_growth,_fromnxfunction_single,2
P3_baseline_net_growth,mr_class,1
P3_baseline_net_growth,_dask_device,1
P3_baseline_net_growth,TestLoader,1
P3_baseline_net_growth,NAType,1
P3_baseline_net_growth,PathDistribution,1
P3_baseline_net_growth,_NamespaceLoader,2
P3_baseline_net_growth,_NamespacePath,2
P3_baseline_net_growth,uname_result,1
P3_baseline_net_growth,_Dummy,1
P3_baseline_net_growth,_common_types_metatype,1
P3_baseline_net_growth,UCD,1
P3_baseline_net_growth,CharInfo,741
P3_baseline_net_growth,CompatibleFamillyRange,24
P3_baseline_net_growth,StreamHandler,1
P3_baseline_net_growth,generator,1
P3_baseline_net_growth,frame,1
P3_baseline_net_growth,Language,3
P3_baseline_net_growth,RelOp,6
P3_baseline_net_growth,ArithOp,7
P3_baseline_net_growth,Precedence,13
P3_baseline_net_growth,throw_error,1
P3_baseline_net_growth,Signature,118
P3_baseline_net_growth,Parameter,460
P3_baseline_net_growth,TextDoc,1
P3_baseline_net_growth,_PlainTextDoc,1
P3_baseline_net_growth,HTMLDoc,1
P3_baseline_net_growth,Helper,1
P3_baseline_net_growth,HTMLRepr,1
P3_baseline_net_growth,TextRepr,1
P3_baseline_net_growth,fused_cython_function,502
P3_baseline_net_growth,FullArgSpec,1
P3_baseline_net_growth,ReentrancyLock,1
P3_baseline_net_growth,MultiUFunc,8
P3_baseline_net_growth,Status,3
P3_baseline_net_growth,vectorize,531
P3_baseline_net_growth,pybind11_type,47
P3_baseline_net_growth,MetricInfo,21
P3_baseline_net_growth,CDistMetricWrapper,5
P3_baseline_net_growth,PDistMetricWrapper,5
P3_baseline_net_growth,instancemethod,782
P3_baseline_net_growth,pybind11_static_property,52
P3_baseline_net_growth,_Function,28
P3_baseline_net_growth,ValueError,1
P3_baseline_net_growth,TypeError,1
P3_baseline_net_growth,__pyx_scope_struct___consider_refactor,3
P3_baseline_net_growth,SignalDict,6
P3_baseline_net_growth,poly1d,4
P3_baseline_net_growth,ksone_gen,1
P3_baseline_net_growth,kstwo_gen,1
P3_baseline_net_growth,kstwobign_gen,1
P3_baseline_net_growth,_RealDomain,40
P3_baseline_net_growth,_RealParameter,20
P3_baseline_net_growth,_Parameterization,12
P3_baseline_net_growth,norm_gen,1
P3_baseline_net_growth,alpha_gen,1
P3_baseline_net_growth,anglit_gen,1
P3_baseline_net_growth,arcsine_gen,1
P3_baseline_net_growth,beta_gen,1
P3_baseline_net_growth,betaprime_gen,1
P3_baseline_net_growth,bradford_gen,1
P3_baseline_net_growth,burr_gen,1
P3_baseline_net_growth,burr12_gen,1
P3_baseline_net_growth,fisk_gen,1
P3_baseline_net_growth,cauchy_gen,1
P3_baseline_net_growth,chi_gen,1
P3_baseline_net_growth,chi2_gen,1
P3_baseline_net_growth,cosine_gen,1
P3_baseline_net_growth,dgamma_gen,1
P3_baseline_net_growth,dpareto_lognorm_gen,1
P3_baseline_net_growth,dweibull_gen,1
P3_baseline_net_growth,expon_gen,1
P3_baseline_net_growth,exponnorm_gen,1
P3_baseline_net_growth,exponweib_gen,1
P3_baseline_net_growth,exponpow_gen,1
P3_baseline_net_growth,fatiguelife_gen,1
P3_baseline_net_growth,foldcauchy_gen,1
P3_baseline_net_growth,f_gen,1
P3_baseline_net_growth,foldnorm_gen,1
P3_baseline_net_growth,weibull_min_gen,1
P3_baseline_net_growth,truncweibull_min_gen,1
P3_baseline_net_growth,weibull_max_gen,1
P3_baseline_net_growth,genlogistic_gen,1
P3_baseline_net_growth,genpareto_gen,1
P3_baseline_net_growth,genexpon_gen,1
P3_baseline_net_growth,genextreme_gen,1
P3_baseline_net_growth,gamma_gen,1
P3_baseline_net_growth,erlang_gen,1
P3_baseline_net_growth,gengamma_gen,1
P3_baseline_net_growth,genhalflogistic_gen,1
P3_baseline_net_growth,genhyperbolic_gen,1
P3_baseline_net_growth,gompertz_gen,1
P3_baseline_net_growth,gumbel_r_gen,1
P3_baseline_net_growth,gumbel_l_gen,1
P3_baseline_net_growth,halfcauchy_gen,1
P3_baseline_net_growth,halflogistic_gen,1
P3_baseline_net_growth,halfnorm_gen,1
P3_baseline_net_growth,hypsecant_gen,1
P3_baseline_net_growth,gausshyper_gen,1
P3_baseline_net_growth,invgamma_gen,1
P3_baseline_net_growth,invgauss_gen,1
P3_baseline_net_growth,geninvgauss_gen,1
P3_baseline_net_growth,norminvgauss_gen,1
P3_baseline_net_growth,invweibull_gen,1
P3_baseline_net_growth,jf_skew_t_gen,1
P3_baseline_net_growth,johnsonsb_gen,1
P3_baseline_net_growth,johnsonsu_gen,1
P3_baseline_net_growth,landau_gen,1
P3_baseline_net_growth,laplace_gen,1
P3_baseline_net_growth,laplace_asymmetric_gen,1
P3_baseline_net_growth,levy_gen,1
P3_baseline_net_growth,levy_l_gen,1
P3_baseline_net_growth,logistic_gen,1
P3_baseline_net_growth,loggamma_gen,1
P3_baseline_net_growth,loglaplace_gen,1
P3_baseline_net_growth,lognorm_gen,1
P3_baseline_net_growth,gibrat_gen,1
P3_baseline_net_growth,maxwell_gen,1
P3_baseline_net_growth,mielke_gen,1
P3_baseline_net_growth,kappa4_gen,1
P3_baseline_net_growth,kappa3_gen,1
P3_baseline_net_growth,moyal_gen,1
P3_baseline_net_growth,nakagami_gen,1
P3_baseline_net_growth,ncx2_gen,1
P3_baseline_net_growth,ncf_gen,1
P3_baseline_net_growth,t_gen,1
P3_baseline_net_growth,nct_gen,1
P3_baseline_net_growth,pareto_gen,1
P3_baseline_net_growth,lomax_gen,1
P3_baseline_net_growth,pearson3_gen,1
P3_baseline_net_growth,powerlaw_gen,1
P3_baseline_net_growth,powerlognorm_gen,1
P3_baseline_net_growth,powernorm_gen,1
P3_baseline_net_growth,rdist_gen,1
P3_baseline_net_growth,rayleigh_gen,1
P3_baseline_net_growth,reciprocal_gen,2
P3_baseline_net_growth,rice_gen,1
P3_baseline_net_growth,irwinhall_gen,1
P3_baseline_net_growth,recipinvgauss_gen,1
P3_baseline_net_growth,semicircular_gen,1
P3_baseline_net_growth,skewcauchy_gen,1
P3_baseline_net_growth,skewnorm_gen,1
P3_baseline_net_growth,trapezoid_gen,1
P3_baseline_net_growth,trapz_gen,1
P3_baseline_net_growth,_DeprecationWrapper,19
P3_baseline_net_growth,triang_gen,1
P3_baseline_net_growth,truncexpon_gen,1
P3_baseline_net_growth,truncnorm_gen,1
P3_baseline_net_growth,truncpareto_gen,1
P3_baseline_net_growth,tukeylambda_gen,1
P3_baseline_net_growth,uniform_gen,1
P3_baseline_net_growth,vonmises_gen,2
P3_baseline_net_growth,wald_gen,1
P3_baseline_net_growth,wrapcauchy_gen,1
P3_baseline_net_growth,gennorm_gen,1
P3_baseline_net_growth,halfgennorm_gen,1
P3_baseline_net_growth,crystalball_gen,1
P3_baseline_net_growth,argus_gen,1
P3_baseline_net_growth,studentized_range_gen,1
P3_baseline_net_growth,rel_breitwigner_gen,1
P3_baseline_net_growth,binom_gen,1
P3_baseline_net_growth,bernoulli_gen,1
P3_baseline_net_growth,betabinom_gen,1
P3_baseline_net_growth,nbinom_gen,1
P3_baseline_net_growth,betanbinom_gen,1
P3_baseline_net_growth,geom_gen,1
P3_baseline_net_growth,hypergeom_gen,1
P3_baseline_net_growth,nhypergeom_gen,1
P3_baseline_net_growth,logser_gen,1
P3_baseline_net_growth,poisson_gen,1
P3_baseline_net_growth,planck_gen,1
P3_baseline_net_growth,boltzmann_gen,1
P3_baseline_net_growth,randint_gen,1
P3_baseline_net_growth,zipf_gen,1
P3_baseline_net_growth,zipfian_gen,1
P3_baseline_net_growth,dlaplace_gen,1
P3_baseline_net_growth,poisson_binom_gen,1
P3_baseline_net_growth,skellam_gen,1
P3_baseline_net_growth,yulesimon_gen,1
P3_baseline_net_growth,nchypergeom_fisher_gen,1
P3_baseline_net_growth,nchypergeom_wallenius_gen,1
P3_baseline_net_growth,levy_stable_gen,1
P3_baseline_net_growth,_BigFloat,1
P3_baseline_net_growth,interp1d,1
P3_baseline_net_growth,multivariate_normal_gen,1
P3_baseline_net_growth,matrix_normal_gen,1
P3_baseline_net_growth,dirichlet_gen,1
P3_baseline_net_growth,wishart_gen,1
P3_baseline_net_growth,invwishart_gen,1
P3_baseline_net_growth,multinomial_gen,1
P3_baseline_net_growth,special_ortho_group_gen,1
P3_baseline_net_growth,ortho_group_gen,1
P3_baseline_net_growth,random_correlation_gen,1
P3_baseline_net_growth,unitary_group_gen,1
P3_baseline_net_growth,multivariate_t_gen,1
P3_baseline_net_growth,multivariate_hypergeom_gen,1
P3_baseline_net_growth,random_table_gen,1
P3_baseline_net_growth,uniform_direction_gen,1
P3_baseline_net_growth,dirichlet_multinomial_gen,1
P3_baseline_net_growth,vonmises_fisher_gen,1
P3_baseline_net_growth,normal_inverse_gamma_gen,1
P3_baseline_net_growth,_PageL,1
P1_capture_garbage_by_type,QuantumCircuit,2000
P1_capture_garbage_by_type,_OuterCircuitScopeInterface,2000
P1_capture_garbage_by_type,dict,2000
P1_capture_garbage_by_type,list,7000
P1_capture_garbage_by_type,CircuitData,2000
P1_capture_garbage_by_type,cell,5600
P1_capture_garbage_by_type,tuple,2800
P1_capture_garbage_by_type,function,2800
