run,depth,form,seed,params,device_cx,device_sx,exact,final_energy_own_execution,gap_own_execution,final_energy_noiseless,gap_noiseless,p0_noiseless_compiled_err,wall_s,compile_s,sim_s
ideal_deep_red,deep,redundant,0,336,,,-12.517540966287278,-11.93052461195886,0.5870163543284175,-11.93052461195886,0.5870163543284175,,458.34347920000437,0.0,0.0
ideal_deep_red,deep,redundant,1,336,,,-12.517540966287278,-11.858781051641758,0.6587599146455201,-11.858781051641758,0.6587599146455201,,448.97825680000096,0.0,0.0
ideal_deep_red,deep,redundant,2,336,,,-12.517540966287278,-11.840547108544403,0.6769938577428753,-11.840547108544403,0.6769938577428753,,438.58419519999734,0.0,0.0
ideal_shallow_red,shallow,redundant,0,168,,,-12.517540966287278,-11.091397643156277,1.4261433231310008,-11.091397643156277,1.4261433231310008,,116.71442880000541,0.0,0.0
ideal_shallow_red,shallow,redundant,1,168,,,-12.517540966287278,-11.04668570010087,1.4708552661864083,-11.04668570010087,1.4708552661864083,,115.43653549999726,0.0,0.0
ideal_shallow_red,shallow,redundant,2,168,,,-12.517540966287278,-10.838679780232951,1.678861186054327,-10.838679780232951,1.678861186054327,,116.56774710000172,0.0,0.0
ideal_deep_opt,deep,optimal,0,210,,,-12.517540966287278,-11.857662301635798,0.6598786646514796,-11.857662301635798,0.6598786646514796,,169.41721179999877,0.0,0.0
ideal_deep_opt,deep,optimal,1,210,,,-12.517540966287278,-11.82499714399502,0.692543822292258,-11.82499714399502,0.692543822292258,,171.29774590000306,0.0,0.0
ideal_deep_opt,deep,optimal,2,210,,,-12.517540966287278,-11.544938093899873,0.9726028723874052,-11.544938093899873,0.9726028723874052,,170.38509100000374,0.0,0.0
A_deep_red,deep,redundant,0,336,84,336,-12.517540966287278,-7.010129053876913,5.507411912410365,-11.774743974749846,0.742796991537432,6.966649479522857e-15,1071.3297706999947,23.349977699988813,1047.707253400018
A_deep_red,deep,redundant,1,336,84,336,-12.517540966287278,-6.819413843202723,5.698127123084555,-11.421613266770306,1.095927699516972,1.887379141862766e-15,1078.218464700003,24.683863799953542,1053.2953890999997
A_deep_red,deep,redundant,2,336,84,336,-12.517540966287278,-6.9755906196691715,5.541950346618107,-11.547432809358973,0.9701081569283048,3.3306690738754696e-15,1073.1534307000038,22.616403400003037,1050.2602441999989
D_deep_red,deep,redundant,0,336,42,96,-12.517540966287278,-9.160652472287683,3.3568884939995947,-11.746947813801201,0.770593152486077,1.1488032747308807e-13,471.1151386999991,114.38737459999538,356.4584322000155
D_deep_red,deep,redundant,1,336,42,96,-12.517540966287278,-9.180668360075922,3.3368726062113563,-11.91438685248185,0.6031541138054273,2.6128876839948134e-11,472.1117411000014,114.27169820000563,357.5239833999949
D_deep_red,deep,redundant,2,336,42,96,-12.517540966287278,-9.16735860255215,3.3501823637351276,-11.720895202433413,0.7966457638538653,8.221201497349284e-13,471.1123493999985,114.92760900000576,355.8836622000017
A_deep_opt,deep,optimal,0,210,42,140,-12.517540966287278,-8.832442234980292,3.6850987313069865,-11.47945238728828,1.0380885789989982,2.220446049250313e-16,356.923251799999,9.086523999962083,347.65544530003535
A_deep_opt,deep,optimal,1,210,42,140,-12.517540966287278,-9.051047157283334,3.4664938090039445,-11.816416636600726,0.7011243296865519,1.5543122344752192e-15,361.2315024999989,10.049384899968572,351.00843850002275
A_deep_opt,deep,optimal,2,210,42,140,-12.517540966287278,-8.731316186311236,3.786224779976042,-11.330907241538931,1.1866337247483472,7.216449660063518e-16,358.4994491000034,9.185238499987463,349.1394813000152
A_shallow_opt,shallow,optimal,0,105,21,70,-12.517540966287278,-9.431316937492547,3.0862240287947316,-10.643671234930135,1.8738697313571429,2.3314683517128287e-15,95.3519266000003,2.5514061999856494,92.71181359998445
A_shallow_opt,shallow,optimal,1,105,21,70,-12.517540966287278,-9.876206819589433,2.6413341466978455,-11.183863243454837,1.3336777228324408,3.858025010572419e-15,94.59555619999446,2.893394700011413,91.62442930004909
A_shallow_opt,shallow,optimal,2,105,21,70,-12.517540966287278,-9.887444628925877,2.630096337361401,-11.165435351463062,1.3521056148242163,1.6653345369377348e-16,95.75007190000179,3.1761389000021154,92.48947030004638
