run,seed,iteration,loss
ideal_deep_red,0,0,0.2403185482797387
ideal_deep_red,0,1,-1.4072092146547914
ideal_deep_red,0,2,-1.5375559537908159
ideal_deep_red,0,3,-2.3861691535897314
ideal_deep_red,0,4,-4.08338333846827
ideal_deep_red,0,5,-5.2004716640613475
ideal_deep_red,0,6,-6.164381422288296
ideal_deep_red,0,7,-7.366961146897234
ideal_deep_red,0,8,-8.375851116048516
ideal_deep_red,0,9,-8.573084650835046
ideal_deep_red,0,10,-8.535060559933669
ideal_deep_red,0,11,-8.894406820418206
ideal_deep_red,0,12,-9.090038254051393
ideal_deep_red,0,13,-9.434918939087037
ideal_deep_red,0,14,-9.782308457293617
ideal_deep_red,0,15,-9.931461776730599
ideal_deep_red,0,16,-9.902851144730475
ideal_deep_red,0,17,-10.158498341527542
ideal_deep_red,0,18,-10.344966207084376
ideal_deep_red,0,19,-10.452948892836183
ideal_deep_red,0,20,-10.746192943491465
ideal_deep_red,0,21,-10.958383844140275
ideal_deep_red,0,22,-11.019228191339293
ideal_deep_red,0,23,-11.1870908770938
ideal_deep_red,0,24,-11.39918491956253
ideal_deep_red,0,25,-11.522747522094553
ideal_deep_red,0,26,-11.434482316835917
ideal_deep_red,0,27,-11.423843928316742
ideal_deep_red,0,28,-11.47642123968821
ideal_deep_red,0,29,-11.46860376608013
ideal_deep_red,0,30,-11.53843513984802
ideal_deep_red,0,31,-11.614477732901104
ideal_deep_red,0,32,-11.667450678373351
ideal_deep_red,0,33,-11.657743291656894
ideal_deep_red,0,34,-11.680430732152523
ideal_deep_red,0,35,-11.725550494317108
ideal_deep_red,0,36,-11.748457116800196
ideal_deep_red,0,37,-11.795067838263952
ideal_deep_red,0,38,-11.831411611095026
ideal_deep_red,0,39,-11.89857645617109
ideal_deep_red,1,0,0.3062158139395379
ideal_deep_red,1,1,-1.781906219296178
ideal_deep_red,1,2,-2.5253392510463577
ideal_deep_red,1,3,-5.045786391772868
ideal_deep_red,1,4,-6.663248670384746
ideal_deep_red,1,5,-7.316753418735384
ideal_deep_red,1,6,-8.355767648020166
ideal_deep_red,1,7,-8.471692131367858
ideal_deep_red,1,8,-8.751696248986867
ideal_deep_red,1,9,-9.052346824643285
ideal_deep_red,1,10,-9.414586204430687
ideal_deep_red,1,11,-9.749664731224374
ideal_deep_red,1,12,-9.896359709107383
ideal_deep_red,1,13,-9.87895839613933
ideal_deep_red,1,14,-10.227278573143566
ideal_deep_red,1,15,-10.476689505993033
ideal_deep_red,1,16,-10.58641146187148
ideal_deep_red,1,17,-10.683373497053882
ideal_deep_red,1,18,-10.70522456295417
ideal_deep_red,1,19,-10.823502281659023
ideal_deep_red,1,20,-10.790494751404628
ideal_deep_red,1,21,-10.952686485494743
ideal_deep_red,1,22,-11.042211413581825
ideal_deep_red,1,23,-10.961537383869691
ideal_deep_red,1,24,-11.093473461887402
ideal_deep_red,1,25,-11.191139316148472
ideal_deep_red,1,26,-11.255337797771187
ideal_deep_red,1,27,-11.310607860055558
ideal_deep_red,1,28,-11.367878600567083
ideal_deep_red,1,29,-11.465371469541372
ideal_deep_red,1,30,-11.467359067817434
ideal_deep_red,1,31,-11.486152217481672
ideal_deep_red,1,32,-11.561115952857604
ideal_deep_red,1,33,-11.626842611636317
ideal_deep_red,1,34,-11.65648589264019
ideal_deep_red,1,35,-11.656701080804206
ideal_deep_red,1,36,-11.681873475017092
ideal_deep_red,1,37,-11.772387924191198
ideal_deep_red,1,38,-11.826840666407952
ideal_deep_red,1,39,-11.829717919208429
ideal_deep_red,2,0,0.615425046280893
ideal_deep_red,2,1,-1.4503138685445793
ideal_deep_red,2,2,-3.062340487295451
ideal_deep_red,2,3,-4.212744607214488
ideal_deep_red,2,4,-6.485337191361615
ideal_deep_red,2,5,-6.633812576967927
ideal_deep_red,2,6,-7.904976226557962
ideal_deep_red,2,7,-8.614851502857979
ideal_deep_red,2,8,-9.329649291845172
ideal_deep_red,2,9,-9.279614236306605
ideal_deep_red,2,10,-9.93938298764626
ideal_deep_red,2,11,-9.949542378326068
ideal_deep_red,2,12,-9.895613207696414
ideal_deep_red,2,13,-10.063744849669494
ideal_deep_red,2,14,-10.498564113128326
ideal_deep_red,2,15,-10.63470251155675
ideal_deep_red,2,16,-10.447630470403913
ideal_deep_red,2,17,-10.68645851603217
ideal_deep_red,2,18,-10.924507684803908
ideal_deep_red,2,19,-10.754565956909754
ideal_deep_red,2,20,-10.728702345521024
ideal_deep_red,2,21,-10.872434171867221
ideal_deep_red,2,22,-11.03945502103782
ideal_deep_red,2,23,-11.07863216029631
ideal_deep_red,2,24,-11.019363055892804
ideal_deep_red,2,25,-11.193359201214774
ideal_deep_red,2,26,-11.303205621341377
ideal_deep_red,2,27,-11.278037607996062
ideal_deep_red,2,28,-11.32892826358505
ideal_deep_red,2,29,-11.396586840029025
ideal_deep_red,2,30,-11.451569030648008
ideal_deep_red,2,31,-11.525868500793509
ideal_deep_red,2,32,-11.52913621517616
ideal_deep_red,2,33,-11.565409596868651
ideal_deep_red,2,34,-11.639784965875274
ideal_deep_red,2,35,-11.683300677445612
ideal_deep_red,2,36,-11.745073659357224
ideal_deep_red,2,37,-11.774405034500534
ideal_deep_red,2,38,-11.790722098202107
ideal_deep_red,2,39,-11.829139121251874
ideal_shallow_red,0,0,-1.1075519214392977
ideal_shallow_red,0,1,-4.88950465429781
ideal_shallow_red,0,2,-7.661051603655788
ideal_shallow_red,0,3,-7.493321161848896
ideal_shallow_red,0,4,-7.238031616241067
ideal_shallow_red,0,5,-8.215220401594987
ideal_shallow_red,0,6,-9.119815477019312
ideal_shallow_red,0,7,-9.195440704643365
ideal_shallow_red,0,8,-9.155486293334196
ideal_shallow_red,0,9,-9.410166603365152
ideal_shallow_red,0,10,-9.79510114659118
ideal_shallow_red,0,11,-9.911309625357994
ideal_shallow_red,0,12,-9.980066417690912
ideal_shallow_red,0,13,-10.103977614424142
ideal_shallow_red,0,14,-10.083944344576278
ideal_shallow_red,0,15,-10.129681805298764
ideal_shallow_red,0,16,-10.335934593412246
ideal_shallow_red,0,17,-10.43612898161854
ideal_shallow_red,0,18,-10.446461176979176
ideal_shallow_red,0,19,-10.464713550801626
ideal_shallow_red,0,20,-10.468146544003018
ideal_shallow_red,0,21,-10.525985384271117
ideal_shallow_red,0,22,-10.608927356681779
ideal_shallow_red,0,23,-10.627188321272643
ideal_shallow_red,0,24,-10.680315793887678
ideal_shallow_red,0,25,-10.800294839995464
ideal_shallow_red,0,26,-10.863852574863387
ideal_shallow_red,0,27,-10.877451263262516
ideal_shallow_red,0,28,-10.875693968745912
ideal_shallow_red,0,29,-10.877107055791772
ideal_shallow_red,0,30,-10.937865271918733
ideal_shallow_red,0,31,-10.983145796773165
ideal_shallow_red,0,32,-10.96579001817712
ideal_shallow_red,0,33,-10.96156729327783
ideal_shallow_red,0,34,-10.97121957857983
ideal_shallow_red,0,35,-10.978320237866983
ideal_shallow_red,0,36,-11.000250535838743
ideal_shallow_red,0,37,-11.0241308159676
ideal_shallow_red,0,38,-11.04993099228666
ideal_shallow_red,0,39,-11.071496157221167
ideal_shallow_red,1,0,0.28190599110486325
ideal_shallow_red,1,1,-3.275589819889906
ideal_shallow_red,1,2,-6.719588137780501
ideal_shallow_red,1,3,-7.9467141520441995
ideal_shallow_red,1,4,-7.803916850784211
ideal_shallow_red,1,5,-7.8552234394848295
ideal_shallow_red,1,6,-7.7935392348258015
ideal_shallow_red,1,7,-8.184470003374674
ideal_shallow_red,1,8,-8.918843351144545
ideal_shallow_red,1,9,-9.362694573211803
ideal_shallow_red,1,10,-9.466754908587726
ideal_shallow_red,1,11,-9.643546069219479
ideal_shallow_red,1,12,-9.875557368649272
ideal_shallow_red,1,13,-10.031586959940924
ideal_shallow_red,1,14,-10.081036270149442
ideal_shallow_red,1,15,-10.13528163016973
ideal_shallow_red,1,16,-10.250372045386671
ideal_shallow_red,1,17,-10.385740811535618
ideal_shallow_red,1,18,-10.516784644265998
ideal_shallow_red,1,19,-10.605213014093543
ideal_shallow_red,1,20,-10.646756969318279
ideal_shallow_red,1,21,-10.638940233420094
ideal_shallow_red,1,22,-10.593573400713245
ideal_shallow_red,1,23,-10.57410863385831
ideal_shallow_red,1,24,-10.612215222835015
ideal_shallow_red,1,25,-10.682710146674161
ideal_shallow_red,1,26,-10.759492006804996
ideal_shallow_red,1,27,-10.805768466476119
ideal_shallow_red,1,28,-10.852998629550079
ideal_shallow_red,1,29,-10.893278942958698
ideal_shallow_red,1,30,-10.907806117452056
ideal_shallow_red,1,31,-10.929933449186496
ideal_shallow_red,1,32,-10.939836404419504
ideal_shallow_red,1,33,-10.935233361330553
ideal_shallow_red,1,34,-10.94260272553929
ideal_shallow_red,1,35,-10.944482990278487
ideal_shallow_red,1,36,-10.966434618473961
ideal_shallow_red,1,37,-10.990679853651523
ideal_shallow_red,1,38,-11.001979738684309
ideal_shallow_red,1,39,-11.028632404234626
ideal_shallow_red,2,0,-0.1913125034748661
ideal_shallow_red,2,1,-4.308682693438835
ideal_shallow_red,2,2,-6.40531748205642
ideal_shallow_red,2,3,-7.687547705588356
ideal_shallow_red,2,4,-7.761378157658028
ideal_shallow_red,2,5,-8.096993411020307
ideal_shallow_red,2,6,-8.29439461152319
ideal_shallow_red,2,7,-8.538400723031028
ideal_shallow_red,2,8,-8.706657402736568
ideal_shallow_red,2,9,-8.906675045871882
ideal_shallow_red,2,10,-9.157741613608726
ideal_shallow_red,2,11,-9.336767634948584
ideal_shallow_red,2,12,-9.555289360934562
ideal_shallow_red,2,13,-9.774218908565265
ideal_shallow_red,2,14,-9.774478658234074
ideal_shallow_red,2,15,-9.702331214363486
ideal_shallow_red,2,16,-9.887003457507486
ideal_shallow_red,2,17,-10.182896047965357
ideal_shallow_red,2,18,-10.355646088777032
ideal_shallow_red,2,19,-10.438146989724745
ideal_shallow_red,2,20,-10.445720312402635
ideal_shallow_red,2,21,-10.384779644191902
ideal_shallow_red,2,22,-10.368240086946132
ideal_shallow_red,2,23,-10.403084916978166
ideal_shallow_red,2,24,-10.451489373569038
ideal_shallow_red,2,25,-10.532822312466694
ideal_shallow_red,2,26,-10.578473630323625
ideal_shallow_red,2,27,-10.549863236407944
ideal_shallow_red,2,28,-10.5541576170937
ideal_shallow_red,2,29,-10.612272980793453
ideal_shallow_red,2,30,-10.670880725914499
ideal_shallow_red,2,31,-10.675338943959186
ideal_shallow_red,2,32,-10.646764104762765
ideal_shallow_red,2,33,-10.666011643179132
ideal_shallow_red,2,34,-10.724069602690141
ideal_shallow_red,2,35,-10.763279618344614
ideal_shallow_red,2,36,-10.790665729521839
ideal_shallow_red,2,37,-10.798432962415273
ideal_shallow_red,2,38,-10.784663959392269
ideal_shallow_red,2,39,-10.809633584731772
ideal_deep_opt,0,0,-0.17129843940279255
ideal_deep_opt,0,1,-2.1672457834099315
ideal_deep_opt,0,2,-4.873355912471824
ideal_deep_opt,0,3,-7.5504016619757754
ideal_deep_opt,0,4,-7.961946576161818
ideal_deep_opt,0,5,-8.062007452367974
ideal_deep_opt,0,6,-8.68516250970086
ideal_deep_opt,0,7,-9.248038380938858
ideal_deep_opt,0,8,-9.423481675820456
ideal_deep_opt,0,9,-9.455977007689619
ideal_deep_opt,0,10,-9.626391475085589
ideal_deep_opt,0,11,-9.775626846226745
ideal_deep_opt,0,12,-10.153790284638564
ideal_deep_opt,0,13,-10.39077999437089
ideal_deep_opt,0,14,-10.50003633865295
ideal_deep_opt,0,15,-10.458147112829431
ideal_deep_opt,0,16,-10.603898676722869
ideal_deep_opt,0,17,-10.735748550722226
ideal_deep_opt,0,18,-10.794463786145903
ideal_deep_opt,0,19,-10.813866324363605
