gc_mode,iteration,timestamp,rss_mb,w1_load_build_ms,w1_compile_ms,w1_simulate_ms,w1_total_ms,w1_z_00,w1_correct_00,w1_q0_00,w1_2q_00,w1_fp_00,w1_z_01,w1_correct_01,w1_q0_01,w1_2q_01,w1_fp_01,w1_z_10,w1_correct_10,w1_q0_10,w1_2q_10,w1_fp_10,w1_z_11,w1_correct_11,w1_q0_11,w1_2q_11,w1_fp_11,w2_synth_verify_ms,w2_compile_ms,w2_simulate_ms,w2_total_ms,w2_fallbacks,w2_gpu_worst,w2_synth_fp,w2_routed_fp,w2_2q,w2_tvd,platform
none,1,1790313039.021535,680.1796875,3.47139299265109,69.9826070049312,3821.340150985634,3894.7941509832162,-0.9285,1,112,9,206b23e28556b8c1,0.908,1,112,9,ea25dd0e78956716,0.91,1,112,9,51e7b224ddb318d1,-0.924,1,112,9,230bd81105cb6279,534.8678480077069,15.135901980102062,876.3135980116203,1426.3173479994293,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.049509468638849745,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,2,1790313043.9374087,685.74609375,5.914895009482279,71.61206897580996,3891.616608016193,3969.143572001485,-0.9235,1,112,9,206b23e28556b8c1,0.9225,1,112,9,ea25dd0e78956716,0.922,1,112,9,51e7b224ddb318d1,-0.9175,1,112,9,230bd81105cb6279,171.5992400131654,14.640491979662329,748.9301839959808,935.1699159888085,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.050456817962916484,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,3,1790313048.6219473,691.2578125,3.5599920083768666,193.73539899243042,3456.553272000747,3653.848663001554,-0.933,1,112,9,206b23e28556b8c1,0.925,1,112,9,ea25dd0e78956716,0.9045,1,112,9,51e7b224ddb318d1,-0.9225,1,112,9,230bd81105cb6279,169.25256900140084,14.666151982964948,841.227509023156,1025.1462300075218,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.04865681796291648,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,4,1790313053.5233266,696.5546875,3.5249830107204616,49.71866001142189,3800.651173980441,3853.8948170025833,-0.927,1,112,9,206b23e28556b8c1,0.92,1,112,9,ea25dd0e78956716,0.9185,1,112,9,51e7b224ddb318d1,-0.9225,1,112,9,230bd81105cb6279,209.06357100466266,14.566561992978677,814.3982570036314,1038.0283900012728,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05045681796291651,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,5,1790313058.5172396,698.0546875,5.5044449982233346,79.94521502405405,3882.3981909954455,3967.847851017723,-0.9185,1,112,9,206b23e28556b8c1,0.91,1,112,9,ea25dd0e78956716,0.9075,1,112,9,51e7b224ddb318d1,-0.9085,1,112,9,230bd81105cb6279,170.53873999975622,14.370971999596804,835.2109440020286,1020.1206560013816,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05488593494450698,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,6,1790313063.6195157,698.0546875,3.362243005540222,78.77010400989093,3971.387393976329,4053.51974099176,-0.917,1,112,9,206b23e28556b8c1,0.9135,1,112,9,ea25dd0e78956716,0.9185,1,112,9,51e7b224ddb318d1,-0.9165,1,112,9,230bd81105cb6279,208.1400300085079,16.93122400320135,814.0533969854005,1039.1246509971097,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.049456817962916504,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,7,1790313068.7166665,698.0546875,5.4630050144623965,78.23611400090158,3969.6950119978283,4053.3941310131922,-0.92,1,112,9,206b23e28556b8c1,0.91,1,112,9,ea25dd0e78956716,0.9265,1,112,9,51e7b224ddb318d1,-0.9165,1,112,9,230bd81105cb6279,207.32529999804683,15.600893006194383,812.9869359836448,1035.913128987886,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.049106817962916494,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,8,1790313073.818627,698.0546875,3.431372984778136,76.11139299115166,3976.0282570205163,4055.571022996446,-0.913,1,112,9,206b23e28556b8c1,0.9245,1,112,9,ea25dd0e78956716,0.922,1,112,9,51e7b224ddb318d1,-0.9315,1,112,9,230bd81105cb6279,206.39602898154408,15.339773002779111,816.8105990043841,1038.5464009887073,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05360681796291651,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,9,1790313078.9264,698.0546875,3.411891986615956,77.35011400654912,3975.3973970073275,4056.1594030004926,-0.9195,1,112,9,206b23e28556b8c1,0.923,1,112,9,ea25dd0e78956716,0.911,1,112,9,51e7b224ddb318d1,-0.9245,1,112,9,230bd81105cb6279,209.97368200914934,15.96054300898686,816.1994679830968,1042.133693001233,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.050259468638849746,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,10,1790313084.02999,697.50390625,5.527184985112399,78.37750401813537,3964.9766589864157,4048.8813479896635,-0.92,1,112,9,206b23e28556b8c1,0.911,1,112,9,ea25dd0e78956716,0.9135,1,112,9,51e7b224ddb318d1,-0.924,1,112,9,230bd81105cb6279,209.55872198101133,14.78484200197272,822.6053139951546,1046.9488779781386,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.049706817962916504,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,11,1790313089.11687,697.50390625,3.4235130005981773,75.62239200342447,3959.0223229897674,4038.06822799379,-0.9205,1,112,9,206b23e28556b8c1,0.907,1,112,9,ea25dd0e78956716,0.93,1,112,9,51e7b224ddb318d1,-0.9185,1,112,9,230bd81105cb6279,193.11195801128633,14.394711994100362,833.1248920003418,1040.6315620057285,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.04885681796291649,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,12,1790313094.3100328,699.52734375,3.53144301334396,78.66185499005951,3970.838253007969,4053.0315510113724,-0.9285,1,112,9,206b23e28556b8c1,0.9145,1,112,9,ea25dd0e78956716,0.925,1,112,9,51e7b224ddb318d1,-0.919,1,112,9,230bd81105cb6279,202.04386598197743,14.672652003355324,916.6004910075571,1133.31700899289,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.04655681796291649,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,13,1790313099.5180283,699.52734375,3.3620030153542757,78.2110939908307,3990.0758390140254,4071.6489360202104,-0.9145,1,112,9,206b23e28556b8c1,0.9315,1,112,9,ea25dd0e78956716,0.9155,1,112,9,51e7b224ddb318d1,-0.921,1,112,9,230bd81105cb6279,207.43618000415154,14.753732015378773,904.5600309909787,1126.749943010509,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05125681796291651,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,14,1790313104.6246994,698.640625,5.441854998935014,80.41477599181235,3971.599974000128,4057.4566049908753,-0.9355,1,112,9,206b23e28556b8c1,0.919,1,112,9,ea25dd0e78956716,0.9185,1,112,9,51e7b224ddb318d1,-0.924,1,112,9,230bd81105cb6279,207.5630899926182,15.34010301111266,818.2205999910366,1041.1237929947674,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.050906817962916504,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
