test,spare,seed,rep,arm,total_s,layout_s,phase,found,twoq,pair_applicable,pair_worst,edges_used,err_mean,err_sum
M1M2,0,0,0,old,0.23014175599996634,0.08428388700008327,1,True,180,True,2.1094237467877974e-15,,,
M1M2,0,0,0,new,0.07624969500011503,0.00045233900004859606,0,True,180,True,2.1094237467877974e-15,,,
M1M2,0,0,1,new,0.07389260700006162,0.0005170719998659479,0,True,180,,,,,
M1M2,0,0,1,old,0.08264108699995631,0.01492189500004315,1,True,180,,,,,
M1M2,0,0,2,old,0.08384504299988293,0.01552523200007272,1,True,180,,,,,
M1M2,0,0,2,new,0.06951849899996887,0.00046297000017148093,0,True,180,,,,,
M1M2,0,0,3,new,0.06866171999990911,0.00040909699987423664,0,True,180,,,,,
M1M2,0,0,3,old,0.0830236930000865,0.015209000999902855,1,True,180,,,,,
M1M2,0,0,4,old,0.08415209600002527,0.015288082000097347,1,True,180,,,,,
M1M2,0,0,4,new,0.06910343000004104,0.00043742100001509243,0,True,180,,,,,
M1M2,0,1,0,old,0.08542983299980733,0.015201897999986613,1,True,180,True,1.9984014443252818e-15,,,
M1M2,0,1,0,new,0.07029057400018246,0.0004234949999499804,0,True,180,True,1.9984014443252818e-15,,,
M1M2,0,1,1,new,0.07158488200002466,0.0004504359999373264,0,True,180,,,,,
M1M2,0,1,1,old,0.08427768499996091,0.015307036999956836,1,True,180,,,,,
M1M2,0,1,2,old,0.08195764800007055,0.015167612000141162,1,True,180,,,,,
M1M2,0,1,2,new,0.06630423100000371,0.00043969499984086724,0,True,180,,,,,
M1M2,0,1,3,new,0.06740629599994463,0.00047426099990843795,0,True,180,,,,,
M1M2,0,1,3,old,0.08088108199990529,0.015121545000056358,1,True,180,,,,,
M1M2,0,1,4,old,0.08383479899998747,0.015517707000071823,1,True,180,,,,,
M1M2,0,1,4,new,0.06837546599990674,0.00045186799980001524,0,True,180,,,,,
M1M2,0,2,0,old,0.08219998199979273,0.015382369999997536,1,True,180,True,2.1094237467877974e-15,,,
M1M2,0,2,0,new,0.06256796500019846,0.00044521500012706383,0,True,180,True,2.1094237467877974e-15,,,
M1M2,0,2,1,new,0.06771948000005068,0.000539264999815714,0,True,180,,,,,
M1M2,0,2,1,old,0.07775812099998802,0.015352122999956919,1,True,180,,,,,
M1M2,0,2,2,old,0.07885559500005002,0.014969386000075247,1,True,180,,,,,
M1M2,0,2,2,new,0.06367482800010293,0.00045463399987966113,0,True,180,,,,,
M1M2,0,2,3,new,0.06569921200002682,0.00046131699991747155,0,True,180,,,,,
M1M2,0,2,3,old,0.08077869799990367,0.015215652999813756,1,True,180,,,,,
M1M2,0,2,4,old,0.0775866330000099,0.015303900999924736,1,True,180,,,,,
M1M2,0,2,4,new,0.0633801570002106,0.0004197880000447185,0,True,180,,,,,
M1M2,0,3,0,old,0.08367882700008522,0.015492258999984188,1,True,180,True,2.1094237467877974e-15,,,
M1M2,0,3,0,new,0.07145487599996159,0.0004972239999005978,0,True,180,True,2.1094237467877974e-15,,,
M1M2,0,3,1,new,0.0719279950001237,0.0004491130000587873,0,True,180,,,,,
M1M2,0,3,1,old,0.08670747500013931,0.015322638000043298,1,True,180,,,,,
M1M2,0,3,2,old,0.08252850600001693,0.015211125999940123,1,True,180,,,,,
M1M2,0,3,2,new,0.06851286599999185,0.00042247299984410347,0,True,180,,,,,
