D,qiskit_outcome,original_found,original_elapsed_s,original_orderings_tried,original_order,original_layout_valid,patched_found,patched_elapsed_s,patched_orderings_tried,patched_order,patched_layout_valid,bare_found,bare_elapsed_s,speedup_original_over_patched
2,fast,True,0.05397270000003118,4,degree_desc,True,True,0.0003133000000161701,1,natural,True,True,2.6200000093012932e-05,172.27162463212747
3,cliff,True,0.051467800000068564,4,degree_desc,True,True,0.00031019999994441605,1,natural,True,True,2.470000003995665e-05,165.91811737360075
4,fast,True,0.04807040000002871,4,degree_desc,True,True,0.0003311000000394415,1,natural,True,True,2.510000001620938e-05,145.18393232951507
5,cliff,True,0.04573630000004414,4,degree_desc,True,True,0.0003484000000071319,1,natural,True,True,2.469999992626981e-05,131.27525832120523
6,cliff,True,0.0253547999999455,2,bfs_from_min_degree,True,True,0.0003461999999672116,1,natural,True,True,2.300000005561742e-05,73.23743501544435
7,fast,True,0.044155899999964277,4,degree_desc,True,True,0.00031420000004800386,1,natural,True,True,2.4100000018734136e-05,140.53437298923643
8,cliff,True,0.017619199999899138,2,bfs_from_min_degree,True,True,0.000290400000039881,1,natural,True,True,2.3999999939405825e-05,60.67217629986044
9,fast,True,0.04599319999999807,4,degree_desc,True,True,0.0003444000000172309,1,natural,True,True,2.4899999971239595e-05,133.54587688065317
10,fast,True,0.01637720000007903,2,bfs_from_min_degree,True,True,0.00031290000003991736,1,natural,True,True,4.109999997581326e-05,52.34004473630474
11,cliff,True,0.04370380000000296,4,degree_desc,True,True,0.00030900000001565786,1,natural,True,True,2.4999999936881068e-05,141.43624594753518
12,fast,True,0.019609600000080718,2,bfs_from_min_degree,True,True,0.00030530000003636815,1,natural,True,True,2.4100000018734136e-05,64.23059285209554
13,cliff,True,0.04381110000008448,4,degree_desc,True,True,0.00035049999996772385,1,natural,True,True,2.380000000812288e-05,124.99600571788551
14,cliff,True,0.015275500000029751,2,bfs_from_min_degree,True,True,0.0004711999999926775,1,natural,True,True,2.7600000066740904e-05,32.41829371873331
16,cliff,True,0.015482700000006844,2,bfs_from_min_degree,True,True,0.0003804000000400265,1,natural,True,True,5.73999999460284e-05,40.7011040966817
17,cliff,True,0.01566129999991972,2,bfs_from_min_degree,True,True,0.0002895000000080472,1,natural,True,True,2.300000005561742e-05,54.097754747787164
18,cliff,True,0.014743100000032427,2,bfs_from_min_degree,True,True,0.0003037000000176704,1,natural,True,True,2.3599999963153095e-05,48.5449456673514
19,cliff,True,0.01547979999998006,2,bfs_from_min_degree,True,True,0.0003568000000768734,1,natural,True,True,2.5800000003073364e-05,43.38508967669535
20,cliff,True,0.015594599999985803,2,bfs_from_min_degree,True,True,0.00032690000000457076,1,natural,True,True,2.4899999971239595e-05,47.704496787298126
21,cliff,True,0.014359699999999975,2,bfs_from_min_degree,True,True,0.00027239999997163977,1,natural,True,True,2.3099999907572055e-05,52.71549192912995
22,cliff,True,0.014105599999993501,2,bfs_from_min_degree,True,True,0.0003102000000581029,1,natural,True,True,2.2599999965677853e-05,45.47259831512383
23,cliff,True,0.016029699999990044,2,bfs_from_min_degree,True,True,0.00031339999998181156,1,natural,True,True,2.470000003995665e-05,51.147734527505875
24,cliff,True,0.016978999999992084,2,bfs_from_min_degree,True,True,0.00031389999992370576,1,natural,True,True,2.3599999963153095e-05,54.0904746865845
25,cliff,True,0.017678700000033132,2,bfs_from_min_degree,True,True,0.0002995999999484411,1,natural,True,True,3.530000003593159e-05,59.007676912802076
26,cliff,True,0.01820050000003448,2,bfs_from_min_degree,True,True,0.00043610000000171567,1,natural,True,True,2.429999995001708e-05,41.734693877465894
27,cliff,True,0.018873999999982516,2,bfs_from_min_degree,True,True,0.0004227000000582848,1,natural,True,True,4.049999995459075e-05,44.65105274989363
28,fast,True,0.018020900000010442,2,bfs_from_min_degree,True,True,0.00032490000000962027,1,natural,True,True,2.4100000018734136e-05,55.46598953363141
