spare,logical_qubits,seed,arm,elapsed_s,twoq,pair_check_applicable,pair_worst_infid,status,within_0.01s,within_0.1s,within_1.0s,within_10.0s
0,120,0,Q3,13.069740066999657,180,True,1.887379141862766e-15,OK,False,False,False,False
0,120,0,P,0.25122718700004043,180,True,2.1094237467877974e-15,OK,False,False,True,True
0,120,1,Q3,13.081208457002504,180,True,1.9984014443252818e-15,OK,False,False,False,False
0,120,1,P,0.16164513799958513,180,True,1.9984014443252818e-15,OK,False,False,True,True
0,120,2,Q3,12.707997997000348,180,True,2.1094237467877974e-15,OK,False,False,False,False
0,120,2,P,0.1585867079993477,180,True,2.1094237467877974e-15,OK,False,False,True,True
0,120,3,Q3,12.859455413999967,180,True,2.220446049250313e-15,OK,False,False,False,False
0,120,3,P,0.18637370299984468,180,True,2.1094237467877974e-15,OK,False,False,True,True
0,120,4,Q3,12.863194121997367,180,True,2.3314683517128287e-15,OK,False,False,False,False
0,120,4,P,0.15212160399823915,180,True,2.55351295663786e-15,OK,False,False,True,True
2,118,0,Q3,12.654310061003343,177,True,1.887379141862766e-15,OK,False,False,False,False
2,118,0,P,0.2137154250012827,177,True,2.1094237467877974e-15,OK,False,False,True,True
2,118,1,Q3,12.919273108997004,177,True,1.9984014443252818e-15,OK,False,False,False,False
2,118,1,P,0.15620725299959304,177,True,1.9984014443252818e-15,OK,False,False,True,True
2,118,2,Q3,13.04776332700203,177,True,2.1094237467877974e-15,OK,False,False,False,False
2,118,2,P,0.17030966300080763,177,True,2.1094237467877974e-15,OK,False,False,True,True
2,118,3,Q3,12.888151585000742,177,True,2.220446049250313e-15,OK,False,False,False,False
2,118,3,P,0.15874733899909188,177,True,2.1094237467877974e-15,OK,False,False,True,True
2,118,4,Q3,13.004162503999396,177,True,2.3314683517128287e-15,OK,False,False,False,False
2,118,4,P,0.16112052899916307,177,True,2.55351295663786e-15,OK,False,False,True,True
4,116,0,Q3,0.15204617100243922,174,True,1.887379141862766e-15,OK,False,False,True,True
4,116,0,P,0.14361711599849514,174,True,2.1094237467877974e-15,OK,False,False,True,True
4,116,1,Q3,0.1591170729989244,174,True,2.220446049250313e-15,OK,False,False,True,True
4,116,1,P,0.1461728399990534,174,True,1.9984014443252818e-15,OK,False,False,True,True
4,116,2,Q3,0.15358954700059257,174,True,1.9984014443252818e-15,OK,False,False,True,True
4,116,2,P,0.13853307099998347,174,True,2.1094237467877974e-15,OK,False,False,True,True
4,116,3,Q3,0.14880752699900768,174,True,2.220446049250313e-15,OK,False,False,True,True
4,116,3,P,0.20936032999816234,174,True,2.1094237467877974e-15,OK,False,False,True,True
4,116,4,Q3,0.15493192100257147,174,True,2.3314683517128287e-15,OK,False,False,True,True
4,116,4,P,0.15191692799999146,174,True,2.55351295663786e-15,OK,False,False,True,True
8,112,0,Q3,0.17703965599866933,168,True,1.887379141862766e-15,OK,False,False,True,True
8,112,0,P,0.14306120300170733,168,True,2.1094237467877974e-15,OK,False,False,True,True
8,112,1,Q3,0.17762407500049449,168,True,2.220446049250313e-15,OK,False,False,True,True
8,112,1,P,0.1419401650018699,168,True,1.9984014443252818e-15,OK,False,False,True,True
8,112,2,Q3,0.17758241000046837,168,True,1.887379141862766e-15,OK,False,False,True,True
8,112,2,P,0.1464990360000229,168,True,2.1094237467877974e-15,OK,False,False,True,True
8,112,3,Q3,0.18416533599884133,168,True,2.220446049250313e-15,OK,False,False,True,True
8,112,3,P,0.15257755700076814,168,True,2.1094237467877974e-15,OK,False,False,True,True
8,112,4,Q3,0.18280172000231687,168,True,2.3314683517128287e-15,OK,False,False,True,True
8,112,4,P,0.1506454139998823,168,True,2.55351295663786e-15,OK,False,False,True,True
