p2,p1,run,seed,iterations,device_cx,device_sx,exact,gap_own_execution,gap_noiseless,penalty,p0_noiseless_compiled_err,wall_s,compile_s,sim_s
0.002,0.0002,D_deep_red,0,60,42,96,-12.517540966287278,0.9642595699419019,0.3390418454692483,0.6252177244726536,1.1488032747308807e-13,703.1020033999994,174.44742020000103,526.4107461999956
0.002,0.0002,A_shallow_opt,0,60,21,70,-12.517540966287278,1.9269211391426158,1.6629187305412945,0.2640024086013213,2.3314683517128287e-15,136.91970950000086,3.8990859999948952,132.8891694999984
0.002,0.0002,D_deep_red,1,60,42,96,-12.517540966287278,0.9520196367933238,0.25512111674437854,0.6968985200489453,2.6128876839948134e-11,726.7254512,175.1761804000007,551.0733834999992
0.002,0.0002,A_shallow_opt,1,60,21,70,-12.517540966287278,1.3936583317254634,1.1107752027298492,0.2828831289956142,3.858025010572419e-15,153.01990260000002,4.465548200008925,148.41196989999935
0.002,0.0002,D_deep_red,2,60,42,96,-12.517540966287278,1.1104953620110152,0.46136397567437726,0.6491313863366379,8.221201497349284e-13,696.0690522999994,164.5575042999917,531.0480514999917
0.002,0.0002,A_shallow_opt,2,60,21,70,-12.517540966287278,1.317469704132579,1.036807385757669,0.28066231837490996,1.6653345369377348e-16,138.23320629999944,3.89225069999884,134.21433060000527
0.005,0.0005,D_deep_red,0,60,42,96,-12.517540966287278,1.9054762963889331,0.3349915774614889,1.5704847189274442,1.1488032747308807e-13,695.3700362999998,160.79759139999533,534.1229066999931
0.005,0.0005,A_shallow_opt,0,60,21,70,-12.517540966287278,2.4097673252503284,1.778614187896192,0.6311531373541364,2.3314683517128287e-15,138.77649229999952,4.214917399987826,134.44353589999628
0.005,0.0005,D_deep_red,1,60,42,96,-12.517540966287278,1.8273457851102926,0.21316175416451344,1.6141840309457791,2.6128876839948134e-11,686.3070487999994,159.00905509999757,526.8763832999921
0.005,0.0005,A_shallow_opt,1,60,21,70,-12.517540966287278,1.7537801711727656,1.065375894090657,0.6884042770821086,3.858025010572419e-15,138.28538659999867,3.759075699997993,134.4100241000051
0.005,0.0005,D_deep_red,2,60,42,96,-12.517540966287278,1.737905870959203,0.18180010250342526,1.5561057684557777,8.221201497349284e-13,684.3971199000007,161.4112340999891,522.562406800007
0.005,0.0005,A_shallow_opt,2,60,21,70,-12.517540966287278,1.7296033413265324,1.0431578590898507,0.6864454822366817,1.6653345369377348e-16,138.87947679999888,3.8562504000055924,134.9039281999867
0.01,0.001,D_deep_red,0,60,42,96,-12.517540966287278,3.024389688206881,0.3293726908423835,2.6950169973644975,1.1488032747308807e-13,685.6912216000001,160.88570710001113,524.3672428000009
0.01,0.001,A_shallow_opt,0,60,21,70,-12.517540966287278,3.0064006812313,1.7968956253386708,1.2095050558926292,2.3314683517128287e-15,137.63701539999965,3.838819400012653,133.67790919999425
0.01,0.001,D_deep_red,1,60,42,96,-12.517540966287278,3.178086121354294,0.34399267239782816,2.834093448956466,2.6128876839948134e-11,730.0739101999989,179.12060419998488,550.4754820000016
0.01,0.001,A_shallow_opt,1,60,21,70,-12.517540966287278,2.377268110392034,1.051939922852835,1.3253281875391991,3.858025010572419e-15,147.69285160000072,4.180723899995428,143.37193569999909
0.01,0.001,D_deep_red,2,60,42,96,-12.517540966287278,3.115760612813249,0.5308740538153458,2.584886558997903,8.221201497349284e-13,735.4943368000004,176.49430549999124,558.5314928999996
0.01,0.001,A_shallow_opt,2,60,21,70,-12.517540966287278,2.3752221389206483,1.051265512703477,1.3239566262171714,1.6653345369377348e-16,139.91260929999953,4.687095899991618,135.0933836999975
