p2,run,seed,iteration,loss
0.002,D_deep_red,0,0,0.2513483386890456
0.002,D_deep_red,0,1,-1.4009602743359442
0.002,D_deep_red,0,2,-2.000198168792687
0.002,D_deep_red,0,3,-2.7774378440462026
0.002,D_deep_red,0,4,-4.515289406323253
0.002,D_deep_red,0,5,-5.145943948639442
0.002,D_deep_red,0,6,-5.992929348727458
0.002,D_deep_red,0,7,-7.534746716004907
0.002,D_deep_red,0,8,-8.587117687444788
0.002,D_deep_red,0,9,-8.607319492199517
0.002,D_deep_red,0,10,-9.105100226364517
0.002,D_deep_red,0,11,-9.134519607042165
0.002,D_deep_red,0,12,-9.33024912480696
0.002,D_deep_red,0,13,-9.69887501443664
0.002,D_deep_red,0,14,-9.751340948234084
0.002,D_deep_red,0,15,-9.936159096723419
0.002,D_deep_red,0,16,-10.039477866968188
0.002,D_deep_red,0,17,-10.084316056874583
0.002,D_deep_red,0,18,-10.255775581438787
0.002,D_deep_red,0,19,-10.359557211692325
0.002,D_deep_red,0,20,-10.45517845894923
0.002,D_deep_red,0,21,-10.572275194657117
0.002,D_deep_red,0,22,-10.648109663310677
0.002,D_deep_red,0,23,-10.68699302912975
0.002,D_deep_red,0,24,-10.812387140948218
0.002,D_deep_red,0,25,-10.86387211074305
0.002,D_deep_red,0,26,-10.905424746008062
0.002,D_deep_red,0,27,-10.93576052489161
0.002,D_deep_red,0,28,-10.931644902171763
0.002,D_deep_red,0,29,-10.968850892447083
0.002,D_deep_red,0,30,-11.027539116801574
0.002,D_deep_red,0,31,-11.062776494357015
0.002,D_deep_red,0,32,-11.107262049408526
0.002,D_deep_red,0,33,-11.108893770477776
0.002,D_deep_red,0,34,-11.141132008806455
0.002,D_deep_red,0,35,-11.185837359964925
0.002,D_deep_red,0,36,-11.213150951021836
0.002,D_deep_red,0,37,-11.23413929297781
0.002,D_deep_red,0,38,-11.268007642354814
0.002,D_deep_red,0,39,-11.321019112542103
0.002,D_deep_red,0,40,-11.328696190354007
0.002,D_deep_red,0,41,-11.332290831186542
0.002,D_deep_red,0,42,-11.356082270778353
0.002,D_deep_red,0,43,-11.358360255240283
0.002,D_deep_red,0,44,-11.373192994098906
0.002,D_deep_red,0,45,-11.385858021001921
0.002,D_deep_red,0,46,-11.415209821832574
0.002,D_deep_red,0,47,-11.41881030509267
0.002,D_deep_red,0,48,-11.434877957617793
0.002,D_deep_red,0,49,-11.44217931575695
0.002,D_deep_red,0,50,-11.452205975176568
0.002,D_deep_red,0,51,-11.472341201279548
0.002,D_deep_red,0,52,-11.474340912604422
0.002,D_deep_red,0,53,-11.47962057105794
0.002,D_deep_red,0,54,-11.490062053460877
0.002,D_deep_red,0,55,-11.50298337416643
0.002,D_deep_red,0,56,-11.509556178799143
0.002,D_deep_red,0,57,-11.521685227482706
0.002,D_deep_red,0,58,-11.534033541970585
0.002,D_deep_red,0,59,-11.54042908664788
0.002,A_shallow_opt,0,0,-0.8041708206067809
0.002,A_shallow_opt,0,1,-4.283803008600328
0.002,A_shallow_opt,0,2,-5.458686959645253
0.002,A_shallow_opt,0,3,-6.674117654791471
0.002,A_shallow_opt,0,4,-7.592722330086193
0.002,A_shallow_opt,0,5,-8.102664476270316
0.002,A_shallow_opt,0,6,-8.40551872321787
0.002,A_shallow_opt,0,7,-8.439489872839802
0.002,A_shallow_opt,0,8,-8.416545808177544
0.002,A_shallow_opt,0,9,-8.628841822964858
0.002,A_shallow_opt,0,10,-8.901223432700647
0.002,A_shallow_opt,0,11,-9.044584269951146
0.002,A_shallow_opt,0,12,-9.069099361579054
0.002,A_shallow_opt,0,13,-9.063724935822343
0.002,A_shallow_opt,0,14,-9.123178970130333
0.002,A_shallow_opt,0,15,-9.288347943536674
0.002,A_shallow_opt,0,16,-9.477950837913324
0.002,A_shallow_opt,0,17,-9.583234381608193
0.002,A_shallow_opt,0,18,-9.641411333916754
0.002,A_shallow_opt,0,19,-9.74411088484594
0.002,A_shallow_opt,0,20,-9.85162816356405
0.002,A_shallow_opt,0,21,-9.912722305721095
0.002,A_shallow_opt,0,22,-9.974651938210549
0.002,A_shallow_opt,0,23,-10.057583466920134
0.002,A_shallow_opt,0,24,-10.135924772012052
0.002,A_shallow_opt,0,25,-10.200702701716358
0.002,A_shallow_opt,0,26,-10.260595198327781
0.002,A_shallow_opt,0,27,-10.291608302227763
0.002,A_shallow_opt,0,28,-10.283248770442118
0.002,A_shallow_opt,0,29,-10.289148401338865
0.002,A_shallow_opt,0,30,-10.323045456044413
0.002,A_shallow_opt,0,31,-10.353907527531861
0.002,A_shallow_opt,0,32,-10.377820735570433
0.002,A_shallow_opt,0,33,-10.381775704468916
0.002,A_shallow_opt,0,34,-10.368063564701574
0.002,A_shallow_opt,0,35,-10.361308040460438
0.002,A_shallow_opt,0,36,-10.367362039953024
0.002,A_shallow_opt,0,37,-10.382295961494634
0.002,A_shallow_opt,0,38,-10.398188372629665
0.002,A_shallow_opt,0,39,-10.416656563500025
0.002,A_shallow_opt,0,40,-10.428109378324239
0.002,A_shallow_opt,0,41,-10.429429880813052
0.002,A_shallow_opt,0,42,-10.43432277463226
0.002,A_shallow_opt,0,43,-10.443653456808352
0.002,A_shallow_opt,0,44,-10.456511723678151
0.002,A_shallow_opt,0,45,-10.465570485965937
0.002,A_shallow_opt,0,46,-10.467657852844708
0.002,A_shallow_opt,0,47,-10.468661171988416
0.002,A_shallow_opt,0,48,-10.475562231463444
