run,layers,seed,params,exact,final_energy_own_execution,gap_own_execution,final_energy_noiseless,gap_noiseless,p0_noiseless_compiled_err,wall_s,compile_s,sim_s
ideal_L6,6,0,96,-5.009679382195111,-4.9953180724169695,0.014361309778141873,-4.9953180724169695,0.014361309778141873,,68.65663109999878,0.0,0.0
ideal_L6,6,1,96,-5.009679382195111,-4.984845109496599,0.024834272698512017,-4.984845109496599,0.024834272698512017,,53.7979664999948,0.0,0.0
ideal_L6,6,2,96,-5.009679382195111,-4.991740342332491,0.01793903986262002,-4.991740342332491,0.01793903986262002,,49.8862067999944,0.0,0.0
ideal_L3,3,0,48,-5.009679382195111,-4.952066727790608,0.057612654404503694,-4.952066727790608,0.057612654404503694,,15.942443699997966,0.0,0.0
ideal_L3,3,1,48,-5.009679382195111,-4.986427497788798,0.02325188440631365,-4.986427497788798,0.02325188440631365,,15.919956199999433,0.0,0.0
ideal_L3,3,2,48,-5.009679382195111,-4.990745546456083,0.018933835739028737,-4.990745546456083,0.018933835739028737,,15.964550599994254,0.0,0.0
A_L6,6,0,96,-5.009679382195111,-4.61743174266829,0.39224763952682107,-4.995086729308091,0.014592652887020385,9.020562075079397e-16,75.12123040000006,3.070255099934002,71.42780190003396
A_L6,6,1,96,-5.009679382195111,-4.605680254330545,0.4039991278645667,-4.985087999433731,0.024591382761379954,1.1102230246251565e-16,76.11767949999921,3.14746970005217,72.31841729998268
A_L6,6,2,96,-5.009679382195111,-4.616382978515172,0.39329640367993957,-4.99262928372417,0.017050098470940966,4.440892098500626e-16,75.33166260000144,3.3956010999463615,71.32017350000388
D_L6,6,0,96,-5.009679382195111,-4.812904948103952,0.19677443409115902,-4.995227227481193,0.014452154713918475,4.134609321582161e-13,59.94811589999881,15.255282099999022,44.10603919996356
D_L6,6,1,96,-5.009679382195111,-4.80148734810072,0.2081920340943917,-4.9846524713575855,0.02502691083752584,2.1976864772454974e-13,61.413871600001585,15.81741589999001,44.98986879997392
D_L6,6,2,96,-5.009679382195111,-4.809620588978326,0.200058793216785,-4.991559160672831,0.01812022152228021,5.040412531798211e-14,60.034177000001364,15.347391399998742,44.089176800029236
A_L3,3,0,48,-5.009679382195111,-4.760236314930467,0.24944306726464394,-4.952172456199437,0.057506925995673974,2.220446049250313e-16,26.499028400001407,0.9739241999777732,25.205614100057574
A_L3,3,1,48,-5.009679382195111,-4.795412729701067,0.21426665249404397,-4.986279798212909,0.023399583982202543,5.551115123125783e-16,26.701167799998075,1.1966726999889943,25.183995700004743
A_L3,3,2,48,-5.009679382195111,-4.798162829738468,0.21151655245664358,-4.99090467404137,0.018774708153741493,2.3592239273284576e-16,26.459570099999837,0.9706635000038659,25.166263000035542
