run,seed,iteration,loss
ideal_L6,0,0,0.022199833324076323
ideal_L6,0,1,-2.5171695534223884
ideal_L6,0,2,-3.985740040964258
ideal_L6,0,3,-4.3058217792674505
ideal_L6,0,4,-4.296445874596938
ideal_L6,0,5,-4.259370162347579
ideal_L6,0,6,-4.251992629031978
ideal_L6,0,7,-4.309278087504635
ideal_L6,0,8,-4.436683501862345
ideal_L6,0,9,-4.59994450682579
ideal_L6,0,10,-4.737142817927463
ideal_L6,0,11,-4.813065540282746
ideal_L6,0,12,-4.838683490239437
ideal_L6,0,13,-4.837127021060983
ideal_L6,0,14,-4.825811782463995
ideal_L6,0,15,-4.812788639803394
ideal_L6,0,16,-4.8028496643974306
ideal_L6,0,17,-4.806736110239544
ideal_L6,0,18,-4.832997424849892
ideal_L6,0,19,-4.874866436064003
ideal_L6,0,20,-4.914166485407839
ideal_L6,0,21,-4.9373620414078365
ideal_L6,0,22,-4.944808997754355
ideal_L6,0,23,-4.944922141295062
ideal_L6,0,24,-4.943427387076008
ideal_L6,0,25,-4.941612342376815
ideal_L6,0,26,-4.941909782867462
ideal_L6,0,27,-4.948593913220419
ideal_L6,0,28,-4.961391041617966
ideal_L6,0,29,-4.973544263831651
ideal_L6,0,30,-4.978481270775827
ideal_L6,0,31,-4.976027951704235
ideal_L6,0,32,-4.971735887369826
ideal_L6,0,33,-4.97158820646259
ideal_L6,0,34,-4.977564075057328
ideal_L6,0,35,-4.9866555240327255
ideal_L6,0,36,-4.993748556695191
ideal_L6,0,37,-4.9964965520768745
ideal_L6,0,38,-4.99662726531204
ideal_L6,0,39,-4.996169759929351
ideal_L6,1,0,0.4216581801399627
ideal_L6,1,1,-1.9767641688650346
ideal_L6,1,2,-3.309010998585699
ideal_L6,1,3,-3.585346349564568
ideal_L6,1,4,-3.612372340029362
ideal_L6,1,5,-3.8566964832018513
ideal_L6,1,6,-4.212106877056682
ideal_L6,1,7,-4.38514542387522
ideal_L6,1,8,-4.3169446995417475
ideal_L6,1,9,-4.217478907720553
ideal_L6,1,10,-4.256882990048506
ideal_L6,1,11,-4.429162490618391
ideal_L6,1,12,-4.642186659897799
ideal_L6,1,13,-4.794941751730143
ideal_L6,1,14,-4.838862181986469
ideal_L6,1,15,-4.805090630789124
ideal_L6,1,16,-4.766021693769045
ideal_L6,1,17,-4.765655271120528
ideal_L6,1,18,-4.794188424128031
ideal_L6,1,19,-4.818520834575748
ideal_L6,1,20,-4.825244353006371
ideal_L6,1,21,-4.829684466175026
ideal_L6,1,22,-4.849104900828205
ideal_L6,1,23,-4.881392029826945
ideal_L6,1,24,-4.910632091362219
ideal_L6,1,25,-4.92485012843699
ideal_L6,1,26,-4.9247884015246655
ideal_L6,1,27,-4.919870078708538
ideal_L6,1,28,-4.919839176589713
ideal_L6,1,29,-4.9279114899603575
ideal_L6,1,30,-4.940492039795384
ideal_L6,1,31,-4.953179233578132
ideal_L6,1,32,-4.964221264193838
ideal_L6,1,33,-4.97276585268962
ideal_L6,1,34,-4.977681761977516
ideal_L6,1,35,-4.9792728589598845
ideal_L6,1,36,-4.980170476311087
ideal_L6,1,37,-4.982476391712531
ideal_L6,1,38,-4.98506230997025
ideal_L6,1,39,-4.985690490538958
ideal_L6,2,0,-1.4620210896275876
ideal_L6,2,1,-2.9602595743314564
ideal_L6,2,2,-3.1699385695138145
ideal_L6,2,3,-3.4028193953253276
ideal_L6,2,4,-3.775103092269816
ideal_L6,2,5,-4.225783595082142
ideal_L6,2,6,-4.599607766709538
ideal_L6,2,7,-4.713321245543632
ideal_L6,2,8,-4.6566429804957465
ideal_L6,2,9,-4.617218517973065
ideal_L6,2,10,-4.635001976026871
ideal_L6,2,11,-4.657139824213832
ideal_L6,2,12,-4.66388075714986
ideal_L6,2,13,-4.690644659418533
ideal_L6,2,14,-4.747490256473125
ideal_L6,2,15,-4.805785960592509
ideal_L6,2,16,-4.839829232375033
ideal_L6,2,17,-4.84850701603255
ideal_L6,2,18,-4.8483341156887265
ideal_L6,2,19,-4.856621743018953
ideal_L6,2,20,-4.878430582658042
ideal_L6,2,21,-4.9041374445812
ideal_L6,2,22,-4.920050583117585
ideal_L6,2,23,-4.924132781704113
ideal_L6,2,24,-4.927046729178243
ideal_L6,2,25,-4.936680941859374
ideal_L6,2,26,-4.9493592123837535
ideal_L6,2,27,-4.957571474633752
ideal_L6,2,28,-4.959389579412177
ideal_L6,2,29,-4.958176198073096
ideal_L6,2,30,-4.957641398564494
ideal_L6,2,31,-4.959839945539308
ideal_L6,2,32,-4.965527607257878
ideal_L6,2,33,-4.973653142790104
ideal_L6,2,34,-4.981960715717478
ideal_L6,2,35,-4.989069907537178
ideal_L6,2,36,-4.994165582060649
ideal_L6,2,37,-4.996177168067425
ideal_L6,2,38,-4.995285843738878
ideal_L6,2,39,-4.993284132924542
ideal_L3,0,0,0.9799006796230731
ideal_L3,0,1,-0.4084026487470326
ideal_L3,0,2,-1.4990644129045443
ideal_L3,0,3,-2.1668646823276703
ideal_L3,0,4,-2.574553387590592
ideal_L3,0,5,-2.8891375629687737
ideal_L3,0,6,-3.1513564795279625
ideal_L3,0,7,-3.3633952204029107
ideal_L3,0,8,-3.5553939049762446
ideal_L3,0,9,-3.7587329496895054
ideal_L3,0,10,-3.9712508384375727
ideal_L3,0,11,-4.177756214888264
ideal_L3,0,12,-4.366632785860369
ideal_L3,0,13,-4.526779492002546
ideal_L3,0,14,-4.646523811020469
ideal_L3,0,15,-4.7189770451781605
ideal_L3,0,16,-4.745844866122355
ideal_L3,0,17,-4.739011977841833
ideal_L3,0,18,-4.717692692912926
ideal_L3,0,19,-4.701354267679501
ideal_L3,0,20,-4.7031131728675675
ideal_L3,0,21,-4.72628663521745
ideal_L3,0,22,-4.765133035396155
ideal_L3,0,23,-4.809032681774098
ideal_L3,0,24,-4.8472467754027155
ideal_L3,0,25,-4.872257436117379
ideal_L3,0,26,-4.881618008653405
ideal_L3,0,27,-4.878675734372949
ideal_L3,0,28,-4.871560632257294
ideal_L3,0,29,-4.8693097450714875
ideal_L3,0,30,-4.8765516289752915
ideal_L3,0,31,-4.8913186563415865
ideal_L3,0,32,-4.907940390696671
ideal_L3,0,33,-4.921658084438347
ideal_L3,0,34,-4.9307678576342715
ideal_L3,0,35,-4.935720922836785
ideal_L3,0,36,-4.9377451678448425
ideal_L3,0,37,-4.938604240734566
ideal_L3,0,38,-4.9405378008869905
ideal_L3,0,39,-4.945153761072308
ideal_L3,1,0,-0.1416877976281398
ideal_L3,1,1,-1.142064548078505
ideal_L3,1,2,-1.9442448990122285
ideal_L3,1,3,-2.430723596342388
ideal_L3,1,4,-2.7091643389704347
ideal_L3,1,5,-2.944402227851951
ideal_L3,1,6,-3.1846533702624242
ideal_L3,1,7,-3.413445907809048
ideal_L3,1,8,-3.61728794431984
ideal_L3,1,9,-3.801498271522958
ideal_L3,1,10,-3.9663317494086248
ideal_L3,1,11,-4.105085132569785
ideal_L3,1,12,-4.2219680922596705
ideal_L3,1,13,-4.318837726586661
ideal_L3,1,14,-4.392958499482228
ideal_L3,1,15,-4.455887903787843
ideal_L3,1,16,-4.5304179179880375
ideal_L3,1,17,-4.6240521181927745
ideal_L3,1,18,-4.7198543918003235
ideal_L3,1,19,-4.793104904050987
ideal_L3,1,20,-4.830848640002804
ideal_L3,1,21,-4.839146647567087
ideal_L3,1,22,-4.834657477810761
ideal_L3,1,23,-4.8308647500100514
ideal_L3,1,24,-4.834022501258018
ideal_L3,1,25,-4.845687969492039
ideal_L3,1,26,-4.863261571264811
ideal_L3,1,27,-4.88195404518371
ideal_L3,1,28,-4.898477152403348
ideal_L3,1,29,-4.912493401351771
ideal_L3,1,30,-4.923946703339062
ideal_L3,1,31,-4.930627162956753
ideal_L3,1,32,-4.93108846043295
ideal_L3,1,33,-4.928525938126684
ideal_L3,1,34,-4.929585187388534
ideal_L3,1,35,-4.9382657125230605
ideal_L3,1,36,-4.951997547579422
ideal_L3,1,37,-4.964798800913838
ideal_L3,1,38,-4.973454356108681
ideal_L3,1,39,-4.97972072940481
ideal_L3,2,0,0.10103786977195939
ideal_L3,2,1,-1.1537972708739856
ideal_L3,2,2,-2.201044279568505
ideal_L3,2,3,-3.0318587734761877
ideal_L3,2,4,-3.620944697773966
ideal_L3,2,5,-3.961464268963014
ideal_L3,2,6,-4.109615477921558
ideal_L3,2,7,-4.164791743625253
ideal_L3,2,8,-4.209117667104674
ideal_L3,2,9,-4.282591757561338
ideal_L3,2,10,-4.3873055583826694
ideal_L3,2,11,-4.502478594120915
ideal_L3,2,12,-4.605523917529115
ideal_L3,2,13,-4.686340952275782
ideal_L3,2,14,-4.746070206212169
ideal_L3,2,15,-4.790125699090763
ideal_L3,2,16,-4.821562001602583
ideal_L3,2,17,-4.840323806809601
ideal_L3,2,18,-4.849418816447614
ideal_L3,2,19,-4.857311672290457
ideal_L3,2,20,-4.870461266075859
ideal_L3,2,21,-4.888439152029974
ideal_L3,2,22,-4.9063973086482315
ideal_L3,2,23,-4.919891814184529
ideal_L3,2,24,-4.9281257723268705
ideal_L3,2,25,-4.932858483396151
ideal_L3,2,26,-4.935572775282894
ideal_L3,2,27,-4.9371100492935325
ideal_L3,2,28,-4.938586881795951
ideal_L3,2,29,-4.9412702613753225
ideal_L3,2,30,-4.9454238774586745
