spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
0,30,1.0,15,0,3,0,7.2447909000002255,15,15,True,True,0,7528.838800000813,7527.534008026123,0.0,7534.275770187378,0.9998266941278263,2666.8853759765625,0.0,4860.648632049561,0.0,VF2PostLayout,4860.648632049561,25,nonexistent solution,no better solution found,True,True,45,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
0,30,1.0,15,0,3,1,14.779239100000268,15,15,True,True,0,7488.452900000993,7463.842153549194,0.0,7469.706058502197,0.9967135072116438,4756.35027885437,0.0,2707.491874694824,0.0,VF2Layout,4756.35027885437,25,nonexistent solution,no better solution found,True,True,45,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
0,30,1.0,15,1,3,0,27.817081600001984,15,15,True,True,0,5589.8086999986845,5582.902908325195,0.0,5582.902908325195,0.9987645745956403,2833.1198692321777,0.0,2749.7830390930176,0.0,VF2Layout,2833.1198692321777,25,nonexistent solution,no better solution found,True,True,45,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
0,30,1.0,15,1,3,1,33.407951199998934,15,15,True,True,0,5527.571700000408,5518.750905990601,0.0,5520.759582519531,0.9984042189792298,2737.623453140259,0.0,2781.127452850342,0.0,VF2PostLayout,2781.127452850342,25,nonexistent solution,no better solution found,True,True,45,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
0,30,1.0,15,2,3,0,44.546051199999056,15,15,True,True,0,5636.46819999849,5625.019788742065,0.0,5628.08632850647,0.9979688679417321,2784.9652767181396,0.0,2840.054512023926,0.0,VF2PostLayout,2840.054512023926,25,nonexistent solution,no better solution found,True,True,45,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
0,30,1.0,15,2,3,1,50.1843231999992,15,15,True,True,0,5429.741200001445,5423.540830612183,0.0,5425.545215606689,0.998858072758742,2729.6009063720703,3.1113624572753906,2690.828561782837,0.0,VF2Layout,2729.6009063720703,25,nonexistent solution,no better solution found,True,True,45,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
2,28,0.9333333333333333,14,0,3,0,55.672518300001684,15,14,True,True,1,20.462000000406988,12.40682601928711,0.0,14.416217803955078,0.6063349632997918,12.40682601928711,0.0,0.0,0.0,VF2Layout,12.40682601928711,26,solution found,no better solution found,True,True,42,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
2,28,0.9333333333333333,14,0,3,1,55.69395290000102,15,14,True,True,1,20.609700000932207,6.432771682739258,0.0,6.432771682739258,0.31212349924784416,6.432771682739258,0.0,0.0,0.0,VF2Layout,6.432771682739258,26,solution found,no better solution found,True,True,42,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
2,28,0.9333333333333333,14,1,3,0,55.77391770000031,15,14,True,True,1,19.98779999848921,2.0117759704589844,0.0,3.7572383880615234,0.10065019514959354,2.0117759704589844,0.0,0.0,0.0,VF2Layout,2.0117759704589844,26,solution found,no better solution found,True,True,42,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
2,28,0.9333333333333333,14,1,3,1,55.79543360000025,15,14,True,True,1,21.259400000417372,9.93204116821289,0.0,11.940240859985352,0.4671835126117342,9.93204116821289,0.0,0.0,0.0,VF2Layout,9.93204116821289,26,solution found,no better solution found,True,True,42,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
2,28,0.9333333333333333,14,2,3,0,55.874650500001735,15,14,True,True,1,17.54609999989043,6.939411163330078,0.0,12.587547302246094,0.3954959314818343,6.939411163330078,0.0,0.0,0.0,VF2Layout,6.939411163330078,26,solution found,no better solution found,True,True,42,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
2,28,0.9333333333333333,14,2,3,1,55.89315650000208,15,14,True,True,1,19.31020000120043,17.087221145629883,0.0,17.087221145629883,0.8848805887338115,17.087221145629883,0.0,0.0,0.0,VF2Layout,17.087221145629883,26,solution found,no better solution found,True,True,42,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,5,6,30,20,42
