arm,spare_pairs,spare_qubits,n,n_pairs,occupancy_of_matching_capacity,occupancy_of_device,seed,optimization_level,repeat,elapsed_since_start_s,n_pairs_required,embedding_feasible,matching_relative_slack,device_qubits,is_bipartite,bipartite_size_a,bipartite_size_b,bipartite_imbalance,max_matching_pairs,perfect_matching_exists,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,cpu_model,platform,python_version,qiskit_version,device,device_qubits_total,gates_per_pair,seed_transpiler
with_errors,0,0,112,56,1.0,0.8421052631578947,0,3,0,0.7137793000001693,56,True,0,133,True,56,77,21,56,False,171.41239999909885,143.16129684448242,0.0,175.95267295837402,0.8351863508429673,15.69986343383789,0.0,127.46143341064453,0.0,VF2PostLayout,127.46143341064453,27,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
with_errors,0,0,112,56,1.0,0.8421052631578947,0,3,1,0.8891638000004605,56,True,0,133,True,56,77,21,56,False,170.58480000014242,163.41137886047363,0.0,170.94135284423828,0.9579480637216047,31.44383430480957,0.0,131.96754455566406,0.0,VF2PostLayout,131.96754455566406,27,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
no_errors,0,0,112,56,1.0,0.8421052631578947,0,3,0,1.1688771000008273,56,True,0,133,True,56,77,21,56,False,48.52240000036545,30.254840850830078,0.0,30.254840850830078,0.6235231738455272,30.254840850830078,0.0,0.0,0.0,VF2Layout,30.254840850830078,26,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
no_errors,0,0,112,56,1.0,0.8421052631578947,0,3,1,1.2212450000006356,56,True,0,133,True,56,77,21,56,False,56.305099999008235,37.01305389404297,0.0,54.65340614318848,0.6573659205772643,37.01305389404297,0.0,0.0,0.0,VF2Layout,37.01305389404297,26,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
with_errors,0,0,112,56,1.0,0.8421052631578947,1,3,0,1.6167624999998225,56,True,0,133,True,56,77,21,56,False,170.30820000036329,146.74019813537598,0.0,178.44390869140625,0.8616155777294514,15.66171646118164,0.0,131.07848167419434,0.0,VF2PostLayout,131.07848167419434,27,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
with_errors,0,0,112,56,1.0,0.8421052631578947,1,3,1,1.7908694000016112,56,True,0,133,True,56,77,21,56,False,176.22469999878376,167.58370399475098,0.0,171.616792678833,0.9509660336826085,31.21161460876465,0.0,136.37208938598633,0.0,VF2PostLayout,136.37208938598633,27,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
no_errors,0,0,112,56,1.0,0.8421052631578947,1,3,0,2.022498000000269,56,True,0,133,True,56,77,21,56,False,49.019699999917066,19.48070526123047,0.0,37.46390342712402,0.39740564020717034,19.48070526123047,0.0,0.0,0.0,VF2Layout,19.48070526123047,26,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
no_errors,0,0,112,56,1.0,0.8421052631578947,1,3,1,2.0754183000008197,56,True,0,133,True,56,77,21,56,False,50.94509999980801,29.12163734436035,0.0,43.26033592224121,0.5716278375048847,29.12163734436035,0.0,0.0,0.0,VF2Layout,29.12163734436035,26,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
with_errors,0,0,112,56,1.0,0.8421052631578947,2,3,0,2.457608500000788,56,True,0,133,True,56,77,21,56,False,172.0685999989655,163.86795043945312,0.0,164.8731231689453,0.9523408131433527,34.668684005737305,0.0,129.19926643371582,0.0,VF2PostLayout,129.19926643371582,27,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
with_errors,0,0,112,56,1.0,0.8421052631578947,2,3,1,2.633835500000714,56,True,0,133,True,56,77,21,56,False,174.3746000011015,155.06768226623535,0.0,163.93327713012695,0.8892790708351779,12.665271759033203,0.0,127.08902359008789,0.0,VF2PostLayout,127.08902359008789,27,solution found,no better solution found,True,True,168,19,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel","Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,FakeTorino,133,20,42
