Spare,Qubits,Seed,Rep,Elapsed_s,Found,TimedOut,Error,EmbeddingFeasible,MaxMatchingSize,RequiredPairs,Rows,Cols,Platform,Python,CPU
0,42,0,0,0.0019461000001683715,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
0,42,0,1,0.0016893000001800829,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
0,42,0,2,0.0016526999997950043,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
0,42,1,0,0.001499599999988277,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
0,42,1,1,0.001490600000579434,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
0,42,1,2,0.0017027000003508874,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
0,42,2,0,0.0019942000008086325,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
0,42,2,1,0.001564700000017183,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
0,42,2,2,0.0015292000007320894,True,False,,True,21,21,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,0,0,0.001654900000175985,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,0,1,0.0014029000003574765,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,0,2,0.001684900000327616,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,1,0,0.0015092000003278372,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,1,1,0.0013777000003756257,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,1,2,0.001368400000501424,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,2,0,0.0014203999999153893,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,2,1,0.0013957000001028064,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
2,40,2,2,0.0013724999998885323,True,False,,True,21,20,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
4,38,0,0,0.0014774999999644933,True,False,,True,21,19,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
4,38,0,1,0.0013180999994801823,True,False,,True,21,19,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
4,38,0,2,0.0012563000000227476,True,False,,True,21,19,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
4,38,1,0,0.0012519000001702807,True,False,,True,21,19,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
4,38,1,1,0.0013185999996494502,True,False,,True,21,19,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
4,38,1,2,0.0012708999993265024,True,False,,True,21,19,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
