Spare,Qubits,Seed,Rep,Elapsed_s,NPlacementsFound,HitCap,TimedOut,Error,EmbeddingFeasible,MaxMatchingSize,RequiredPairs,MaxPlacementsCap,Rows,Cols,Platform,Python,CPU,CirqVersion
0,42,0,0,10.028202999999849,,False,True,,True,21,21,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
0,42,0,1,10.02557859999979,,False,True,,True,21,21,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
0,42,0,2,10.02639519999866,,False,True,,True,21,21,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
2,40,0,0,0.002375000000029104,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,20,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
2,40,0,1,0.002231799999208306,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,20,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
2,40,0,2,0.0022016000002622604,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,20,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
4,38,0,0,0.002076699998724507,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,19,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
4,38,0,1,0.002080099999147933,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,19,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
4,38,0,2,0.0020910000002913876,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,19,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
6,36,0,0,0.0018457000005582813,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,18,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
6,36,0,1,0.001863400000729598,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,18,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
6,36,0,2,0.0018203999989054864,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,18,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
8,34,0,0,0.0016203000013774727,,True,False,We found more than 1 placements. Please use a more constraining `big_graph` or a more constrained `small_graph`.,True,21,17,1,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",1.5.0
