Arm,Family,OutputBasis,Group,Qubits,GatesPerPair,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Time_stdev_s,Peak_RSS_MB,Baseline_RSS_MB,RSS_Delta_MB,RSS_Samples,TraceMalloc_Peak_MB,Gates_total,Gates_2q,Depth,Fallbacks,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,1,5,success,0.0057401,0.0069711,0.0079376,0.000792239,206.1484375,205.5390625,0.609375,49,0.114178658,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,1,5,success,0.0007719,0.0007992,0.000917,6.36E-05,154.3085938,153.8945313,0.4140625,102,0.038798332,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,1,5,success,0.0041855,0.0044033,0.0046513,0.000188297,154.5703125,154.1992188,0.37109375,36,0.060700417,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,2,5,success,0.0052085,0.0063869,0.0069859,0.000827393,206.0429688,205.5625,0.48046875,56,0.119042397,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,2,5,success,0.000783,0.0008562,0.0008811,3.89E-05,154.7226563,154.1015625,0.62109375,59,0.036841393,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,2,5,success,0.0041467,0.0042401,0.0077019,0.001544876,154.4648438,154.09375,0.37109375,24,0.060765266,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,3,5,success,0.0052736,0.0056996,0.0066564,0.00061905,207.2460938,206.3125,0.93359375,65,0.114600182,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,3,5,success,0.000758,0.0008609,0.000893,5.13E-05,154.75,154.140625,0.609375,90,0.036845207,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,3,5,success,0.0041813,0.0043842,0.0049083,0.00027404,154.6171875,154.3085938,0.30859375,22,0.058786392,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,4,5,success,0.0051348,0.0052271,0.0066398,0.000706378,206.5664063,206.0390625,0.52734375,50,0.114877701,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,4,5,success,0.0008418,0.0008676,0.0010034,6.46E-05,154.9296875,154.328125,0.6015625,100,0.036845207,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,4,5,success,0.0040734,0.0042462,0.0044878,0.000156792,154.671875,154.34375,0.328125,50,0.058218002,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
