Arm,Family,OutputBasis,Group,Qubits,GatesPerPair,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Time_stdev_s,Peak_RSS_MB,Baseline_RSS_MB,RSS_Delta_MB,RSS_Samples,TraceMalloc_Peak_MB,Gates_total,Gates_2q,Depth,Fallbacks,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,1,5,success,0.005740099997638026,0.006971099999645958,0.007937600003060652,0.000792238710916105,206.1484375,205.5390625,0.609375,49,0.11417865753173828,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,1,5,success,0.0007718999986536801,0.0007991999991645571,0.0009170000012090895,6.362792701466851e-05,154.30859375,153.89453125,0.4140625,102,0.03879833221435547,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,1,5,success,0.00418550000176765,0.004403299997647991,0.004651299997931346,0.0001882973566612091,154.5703125,154.19921875,0.37109375,36,0.060700416564941406,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,2,5,success,0.005208500002481742,0.006386899996869033,0.006985899999563117,0.0008273925783259283,206.04296875,205.5625,0.48046875,56,0.11904239654541016,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,2,5,success,0.0007830000031390227,0.0008562000002712011,0.0008811000006971881,3.8861637821961106e-05,154.72265625,154.1015625,0.62109375,59,0.036841392517089844,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,2,5,success,0.004146699997363612,0.0042400999991514254,0.0077019000018481165,0.001544876393588997,154.46484375,154.09375,0.37109375,24,0.06076526641845703,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,3,5,success,0.005273599999782164,0.005699599998479243,0.006656399997154949,0.0006190500526844832,207.24609375,206.3125,0.93359375,65,0.11460018157958984,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,3,5,success,0.0007579999983136076,0.0008609000033175107,0.000893000000360189,5.1346441940871146e-05,154.75,154.140625,0.609375,90,0.03684520721435547,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,3,5,success,0.004181300002528587,0.00438419999773032,0.004908300001261523,0.0002740399845286649,154.6171875,154.30859375,0.30859375,22,0.05878639221191406,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,4,5,success,0.005134800001542317,0.005227099998592166,0.0066397999980836175,0.0007063777441621173,206.56640625,206.0390625,0.52734375,50,0.11487770080566406,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
