Workload,Arm,Family,Qubits,Seed,Reps,Status,Time_min_s,Time_median_s,Time_stdev_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Off_Basis,PSF_Blocks,Peak_RSS_MB,RSS_Delta_MB,TraceMalloc_Peak_MB,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
dense,qiskit_opt1,Qiskit,50,1,3,success,0.013982599999962986,0.014199100000041653,0.00029776186780170296,1500,225,0,,,225.38671875,3.4375,0.2049236297607422,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,50,1,3,success,0.015023700000256213,0.015359500000158732,0.028392908361274526,75,16,0,,,226.078125,3.05859375,0.20426464080810547,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,50,1,3,success,0.033200700000179495,0.035380300000269926,0.026567194815528855,75,16,0,,,225.02734375,4.68359375,0.20366382598876953,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,50,1,3,success,0.009563099999922997,0.009648199999901408,0.02665182142998586,75,23,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,203.5234375,0.7578125,0.2278594970703125,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,50,1,3,success,0.011853599999994913,0.013447400000131893,0.030253259178908705,75,16,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,206.2734375,0.6875,0.24137496948242188,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,50,2,3,success,0.013039300000400544,0.013414900000043417,0.0005726475121205047,1500,225,0,,,224.359375,2.3515625,0.20638370513916016,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,50,2,3,success,0.015552200000001903,0.016734700000142766,0.02745789947769601,75,16,0,,,225.2734375,2.44140625,0.20455646514892578,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,50,2,3,success,0.0326375999998163,0.03544220000003406,0.03287030194239208,75,16,0,,,224.4609375,2.2578125,0.20564842224121094,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,50,2,3,success,0.009358999999676598,0.009977700000035838,0.03139150994659614,75,23,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,203.48828125,0.6953125,0.2306680679321289,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,50,2,3,success,0.012396000000080676,0.013465500000165775,0.029087752086605134,75,16,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,205.56640625,0.6796875,0.24201107025146484,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,50,3,3,success,0.013446099999782746,0.01352660000020478,0.0015208403104440163,1500,225,0,,,222.0546875,2.0234375,0.20581722259521484,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
