Workload,Arm,Family,Qubits,Seed,Reps,Status,Time_min_s,Time_median_s,Time_stdev_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Off_Basis,PSF_Blocks,Peak_RSS_MB,RSS_Delta_MB,TraceMalloc_Peak_MB,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
dense,qiskit_opt1,Qiskit,50,1,3,success,0.01335789999939152,0.013482500000463915,0.0007583725289517397,1500,225,0,,,224.60546875,2.96875,0.20489025115966797,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,50,1,3,success,0.015399399999296293,0.018663099999685073,0.030396668300391637,75,16,0,,,224.7890625,1.11328125,0.20377445220947266,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,50,1,3,success,0.033745300001100986,0.03483089999826916,0.02942198513868098,75,16,0,,,226.09765625,3.12890625,0.2053365707397461,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,50,1,3,success,0.009797000000617118,0.010189100001298357,0.0306439834215906,75,23,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,203.7890625,0.68359375,0.23082733154296875,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,50,1,3,success,0.012654699999984587,0.012990799999897717,0.030690119875663776,75,16,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,205.44140625,0.765625,0.23982715606689453,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,50,2,3,success,0.013713899999856949,0.013776200001302641,0.0010992833308900575,1500,225,0,,,227.5859375,4.296875,0.20442485809326172,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,50,2,3,success,0.015694599998823833,0.01681530000132625,0.028468739150651668,75,16,0,,,227.51171875,3.5234375,0.20439434051513672,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,50,2,3,success,0.03271920000042883,0.03303560000131256,0.03352208048153996,75,16,0,,,219.421875,1.21875,0.20337295532226562,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,50,2,3,success,0.00933660000009695,0.012016399999993155,0.03954371868321798,75,23,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,203.93359375,0.9453125,0.23008251190185547,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,50,2,3,success,0.012911900001199683,0.015408299999762676,0.031159085969384874,75,16,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,206.3984375,0.64453125,0.2395038604736328,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,50,3,3,success,0.013175000000046566,0.013527600000088569,0.0009972036011186658,1500,225,0,,,223.921875,1.82421875,0.20640850067138672,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,50,3,3,success,0.015413099999932456,0.017760000000635046,0.030254932357450505,75,16,0,,,224.5234375,2.90625,0.20402050018310547,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,50,3,3,success,0.033649000000878004,0.03388950000044133,0.030547290943900147,75,16,0,,,224.33203125,0.96875,0.20503616333007812,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,50,3,3,success,0.009494699999777367,0.010611399999106652,0.043729793557684256,75,23,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,203.18359375,0.59765625,0.23012733459472656,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,50,3,3,success,0.013951099999758299,0.015589299999192008,0.029141836944447535,75,16,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,205.3203125,0.59375,0.2404918670654297,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,100,1,3,success,0.02472219999981462,0.025718099999721744,0.030101879145907253,3000,225,0,,,242.19921875,5.203125,0.2860231399536133,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,100,1,3,success,0.9063530999992508,0.9108011999996961,0.015115948271710667,150,16,0,,,228.1484375,0.1484375,0.30592823028564453,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,100,1,3,success,11.260115200000655,11.549300000000585,0.3279089200817152,150,16,0,,,225.12109375,1.0390625,0.3037576675415039,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,100,1,3,success,0.015197000000625849,0.01551149999977497,0.0010145692498681066,150,23,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,207.22265625,0.73828125,0.3378162384033203,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,100,1,3,success,0.8737244999992981,0.8756443000002037,0.005237352935281139,150,16,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,209.5859375,0.38671875,0.3528871536254883,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,100,2,3,success,0.02190870000049472,0.02373549999902025,0.0262165913343279,3000,225,0,,,241.59765625,4.60546875,0.2869234085083008,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,100,2,3,success,0.8702505000001111,0.8778497000002972,0.010203858211798892,150,16,0,,,229.375,0.40234375,0.3038330078125,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,100,2,3,success,10.129427800000485,10.156099100000574,0.058131637071285214,150,16,0,,,227.5546875,0.13671875,0.30236244201660156,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,100,2,3,success,0.015222600000925013,0.015274999999746797,0.0004205505590156316,150,23,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,207.35546875,0.703125,0.3362617492675781,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,100,2,3,success,0.8678632000010111,0.8683323999994172,0.0010677467114481127,150,16,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,209.74609375,0.5078125,0.35349369049072266,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,100,3,3,success,0.02281810000022233,0.02624149999974179,0.025163092327242634,3000,225,0,,,236.17578125,1.6640625,0.28603076934814453,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,100,3,3,success,0.8739125000010972,0.8799987999991572,0.004022394234752497,150,16,0,,,227.484375,1.7421875,0.3037872314453125,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,100,3,3,success,10.084968900000604,10.177962100000514,0.055010189027507456,150,16,0,,,226.47265625,0.12890625,0.3032369613647461,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,100,3,3,success,0.01520170000003418,0.016361100000722217,0.001074839454039515,150,23,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,207.29296875,0.6875,0.33391761779785156,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,100,3,3,success,0.8685857000000397,0.8701732000008633,0.002345187430328062,150,16,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,209.76953125,0.42578125,0.3525094985961914,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
