Axis,Qubits,Grid_Rows,Grid_Cols,Grid_Qubits,Spare_Qubits,Arm,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,Qiskit,StartMethod,CPU
C,38,6,7,42,4,qiskit_opt2,1,2,success,0.01131100000020524,0.03920945000027132,0.0671079000003374,57,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,38,6,7,42,4,qiskit_opt2,2,2,success,0.01179029999912018,0.035839950000081444,0.05988960000104271,57,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,38,6,7,42,4,qiskit_opt3,1,2,success,0.023682600000029197,0.05043214999932388,0.07718169999861857,57,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,38,6,7,42,4,qiskit_opt3,2,2,success,0.023093300000255113,0.048913599999650614,0.07473389999904612,57,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,42,6,7,42,0,qiskit_opt2,1,2,success,0.5489780999996583,0.5755585499991867,0.602138999998715,63,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,42,6,7,42,0,qiskit_opt2,2,2,success,0.5502505000004021,0.580300650000936,0.6103508000014699,63,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,42,6,7,42,0,qiskit_opt3,1,2,success,6.434967099999994,6.494235000000117,6.55350290000024,63,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,42,6,7,42,0,qiskit_opt3,2,2,success,9.01529660000051,15.119181550000576,21.22306650000064,63,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,50,7,8,56,6,qiskit_opt2,1,2,success,0.012111100000765873,0.013118650000251364,0.014126199999736855,75,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,50,7,8,56,6,qiskit_opt2,2,2,success,0.013100199999826145,0.014720749999469263,0.01634129999911238,75,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,50,7,8,56,6,qiskit_opt3,1,2,success,0.030636399998911656,0.03465700000015204,0.03867760000139242,75,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,50,7,8,56,6,qiskit_opt3,2,2,success,0.027721500000552624,0.029363950000515615,0.031006400000478607,75,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,56,7,8,56,0,qiskit_opt2,1,2,success,0.6354628999997658,0.6391872999993211,0.6429116999988764,84,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,56,7,8,56,0,qiskit_opt2,2,2,success,0.6306225999996968,0.6373389999998835,0.6440554000000702,84,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,56,7,8,56,0,qiskit_opt3,1,2,success,12.242851099999825,15.052897699999448,17.86294429999907,84,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,56,7,8,56,0,qiskit_opt3,2,2,success,7.296277299999929,7.3509194500002195,7.40556160000051,84,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
