Axis,Qubits,Grid_Rows,Grid_Cols,Grid_Qubits,Spare_Qubits,Arm,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,Qiskit,StartMethod,CPU
C,38,6,7,42,4,qiskit_opt2,1,2,success,0.034068945,0.034261136,0.034453327,57,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,38,6,7,42,4,qiskit_opt2,2,2,success,0.011112465,0.011571981,0.012031496,57,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,42,6,7,42,0,qiskit_opt2,1,2,success,0.578181521,0.612585846,0.646990172,63,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,42,6,7,42,0,qiskit_opt2,2,2,success,0.621147084,0.641662541,0.662177997,63,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,50,7,8,56,6,qiskit_opt2,1,2,success,0.016125682,0.023560724,0.030995766,75,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,50,7,8,56,6,qiskit_opt2,2,2,success,0.023135771,0.027857108,0.032578445,75,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,56,7,8,56,0,qiskit_opt2,1,2,success,0.744415805,0.77688721,0.809358615,84,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,56,7,8,56,0,qiskit_opt2,2,2,success,0.767698645,0.810242411,0.852786177,84,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,60,8,8,64,4,qiskit_opt2,1,2,success,0.020006953,0.023223704,0.026440454,90,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,60,8,8,64,4,qiskit_opt2,2,2,success,0.048346908,0.054676373,0.061005838,90,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,64,8,8,64,0,qiskit_opt2,1,2,success,0.781849536,0.791835065,0.801820594,96,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,64,8,8,64,0,qiskit_opt2,2,2,success,0.840808018,0.844407435,0.848006853,96,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
C,66,8,9,72,6,qiskit_opt2,1,2,success,0.020532118,0.026165116,0.031798113,99,16,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64
