Axis,Qubits,Grid_Rows,Grid_Cols,Grid_Qubits,Spare_Qubits,Arm,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,Qiskit,StartMethod,CPU
C,38,6,7,42,4,qiskit_opt2,1,2,success,0.0105029000005743,0.035364450000088254,0.06022599999960221,57,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,38,6,7,42,4,qiskit_opt2,2,2,success,0.010938900000837748,0.03482150000036199,0.05870409999988624,57,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,38,6,7,42,4,qiskit_opt3,1,2,success,0.022505099999762024,0.047907000000122935,0.07330890000048385,57,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,38,6,7,42,4,qiskit_opt3,2,2,success,0.02254579999953421,0.0494758499994532,0.0764058999993722,57,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,42,6,7,42,0,qiskit_opt2,1,2,success,0.5595592999998189,0.5807172499999069,0.601875199999995,69,35,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,42,6,7,42,0,qiskit_opt2,2,2,success,0.551060900000266,0.5822210500000438,0.6133811999998215,63,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,42,6,7,42,0,qiskit_opt3,1,2,success,6.391367100000025,6.4102686999999605,6.429170299999896,63,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,42,6,7,42,0,qiskit_opt3,2,2,success,6.372108600000502,6.39468665000004,6.417264699999578,63,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,50,7,8,56,6,qiskit_opt2,1,2,success,0.01583070000015141,0.01676564999979746,0.01770059999944351,75,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,50,7,8,56,6,qiskit_opt2,2,2,success,0.011422600000514649,0.014163400000143156,0.016904199999771663,75,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
