Axis,Qubits,Grid_Rows,Grid_Cols,Grid_Qubits,Spare_Qubits,Arm,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Input_2Q_Gates,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,Qiskit,StartMethod,CPU,Workload,PassthroughDepth
C,38,6,7,42,4,qiskit_opt2,1,1,success,0.383591107,0.383591107,0.383591107,1104,4079,2119,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,38,6,7,42,4,qiskit_opt2,2,1,success,0.908061144,0.908061144,0.908061144,2321,8816,3530,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,42,6,7,42,0,qiskit_opt2,1,1,success,0.435485293,0.435485293,0.435485293,1190,4659,1938,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,42,6,7,42,0,qiskit_opt2,2,1,success,1.073054727,1.073054727,1.073054727,2587,10439,4115,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,50,7,8,56,6,qiskit_opt2,1,1,success,0.771107935,0.771107935,0.771107935,1515,6546,2553,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,50,7,8,56,6,qiskit_opt2,2,1,success,1.443837599,1.443837599,1.443837599,3014,13409,4481,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,56,7,8,56,0,qiskit_opt2,1,1,success,0.753743278,0.753743278,0.753743278,1618,7506,2810,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,56,7,8,56,0,qiskit_opt2,2,1,success,1.861503695,1.861503695,1.861503695,3471,16322,5011,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,60,8,8,64,4,qiskit_opt2,1,1,success,1.011982668,1.011982668,1.011982668,1762,8624,2769,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,60,8,8,64,4,qiskit_opt2,2,1,success,2.169446933,2.169446933,2.169446933,3679,18283,5006,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,64,8,8,64,0,qiskit_opt2,1,1,success,0.929467075,0.929467075,0.929467075,1825,9103,3069,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,64,8,8,64,0,qiskit_opt2,2,1,success,2.350003919,2.350003919,2.350003919,3884,20488,5851,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,66,8,9,72,6,qiskit_opt2,1,1,success,1.114659403,1.114659403,1.114659403,1901,9750,3270,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,66,8,9,72,6,qiskit_opt2,2,1,success,2.635362311,2.635362311,2.635362311,4032,21331,5773,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,72,8,9,72,0,qiskit_opt2,1,1,success,1.328007597,1.328007597,1.328007597,2094,11426,3596,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,72,8,9,72,0,qiskit_opt2,2,1,success,2.909991335,2.909991335,2.909991335,4442,24666,5916,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,38,6,7,42,4,qiskit_opt3,1,1,success,0.520089454,0.520089454,0.520089454,1104,4069,1980,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
C,42,6,7,42,0,qiskit_opt3,1,1,success,0.485235579,0.485235579,0.485235579,1190,4590,1903,0,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,2.5.2,spawn,x86_64,passthrough,90
