arm,call,elapsed_ms,vf2layout_stop_reason,vf2postlayout_stop_reason,two_qubit_gates,depth,rows,cols,circuit_qubits,optimization_level,seed_transpiler,platform,processor,python,qiskit
unpinned,0,6699.179,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,1,6712.108,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,2,6720.841,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,3,6737.939,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,4,6719.965,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,5,6757.387,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,6,6732.527,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,7,6699.261,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,8,6767.96,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,9,6724.524,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,10,6789.761,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,11,6726.485,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,12,6711.715,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,13,6708.157,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,14,6779.561,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,15,6705.955,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,16,6752.61,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
unpinned,17,6684.613,NO_SOLUTION_FOUND,NO_BETTER_SOLUTION_FOUND,63,16,6,7,42,3,,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
