D,qiskit_outcome,qiskit_found,psf_found,psf_elapsed_s,psf_phase,psf_order,psf_orderings_tried,psf_feasible,agree_with_qiskit,bare_id_order_true_found,bare_id_order_true_elapsed_s
2,fast,True,True,0.05194019999999,1,degree_desc,4,,True,True,3.190000006725313e-05
3,cliff,False,True,0.05051739999998972,1,degree_desc,4,,False,True,3.890000061801402e-05
4,fast,True,True,0.04985339999984717,1,degree_desc,4,,True,True,4.7000000449770596e-05
5,cliff,False,True,0.06151829999998881,1,degree_desc,4,,False,True,3.239999932702631e-05
6,cliff,False,True,0.031700200000159384,1,bfs_from_min_degree,2,,False,True,0.0001084000004993868
7,fast,True,True,0.04950730000018666,1,degree_desc,4,,True,True,2.8899999961140566e-05
8,cliff,False,True,0.018644900000253983,1,bfs_from_min_degree,2,,False,True,3.130000004603062e-05
9,fast,True,True,0.05602959999941959,1,degree_desc,4,,True,True,5.310000051395036e-05
10,fast,True,True,0.021484099999725004,1,bfs_from_min_degree,2,,True,True,6.519999988086056e-05
11,cliff,False,True,0.045824699999684526,1,degree_desc,4,,False,True,2.969999968627235e-05
12,fast,True,True,0.01951420000023063,1,bfs_from_min_degree,2,,True,True,3.370000013092067e-05
13,cliff,False,True,0.04671480000070005,1,degree_desc,4,,False,True,2.6899999284069054e-05
14,cliff,False,True,0.015837299999475363,1,bfs_from_min_degree,2,,False,True,2.750000021478627e-05
16,cliff,False,True,0.015305100000659877,1,bfs_from_min_degree,2,,False,True,2.8700000257231295e-05
17,cliff,False,True,0.01598939999985305,1,bfs_from_min_degree,2,,False,True,2.8700000257231295e-05
18,cliff,False,True,0.014627399999881163,1,bfs_from_min_degree,2,,False,True,2.89999998130952e-05
19,cliff,False,True,0.015281699999832199,1,bfs_from_min_degree,2,,False,True,2.6199999410891905e-05
20,cliff,False,True,0.01478410000072472,1,bfs_from_min_degree,2,,False,True,2.6200000320386607e-05
21,cliff,False,True,0.01491470000019035,1,bfs_from_min_degree,2,,False,True,2.949999998236308e-05
22,cliff,False,True,0.014810799999395385,1,bfs_from_min_degree,2,,False,True,2.7299999601382297e-05
23,cliff,False,True,0.015672100000301725,1,bfs_from_min_degree,2,,False,True,2.609999955893727e-05
24,cliff,False,True,0.019100499999694875,1,bfs_from_min_degree,2,,False,True,3.8299999687296804e-05
25,cliff,False,True,0.02171520000047167,1,bfs_from_min_degree,2,,False,True,6.010000015521655e-05
26,cliff,False,True,0.018213500000456406,1,bfs_from_min_degree,2,,False,True,2.789999962260481e-05
27,cliff,False,True,0.019654499999887776,1,bfs_from_min_degree,2,,False,True,2.8499999643827323e-05
28,fast,True,True,0.018328899999687565,1,bfs_from_min_degree,2,,True,True,2.550000044720946e-05
