device,n,density,seed,n_edges,vf2_s,stop_reason,total_s
8x8 grid,64,0.1,0,215,0.0010035037994384766,NO_SOLUTION_FOUND,1.3548060000011901
8x8 grid,64,0.1,1,201,0.0,NO_SOLUTION_FOUND,0.04673410000032163
8x8 grid,64,0.1,2,185,0.0,NO_SOLUTION_FOUND,0.043856399999640416
8x8 grid,64,0.2,0,395,0.0,NO_SOLUTION_FOUND,0.07025100000100792
8x8 grid,64,0.2,1,390,0.0,NO_SOLUTION_FOUND,0.06662219999998342
8x8 grid,64,0.2,2,383,0.0,NO_SOLUTION_FOUND,0.06562339999982214
8x8 grid,64,0.3,0,581,0.0010058879852294922,NO_SOLUTION_FOUND,0.08602450000034878
8x8 grid,64,0.3,1,589,0.0,NO_SOLUTION_FOUND,0.08607829999891692
8x8 grid,64,0.3,2,592,0.0,NO_SOLUTION_FOUND,0.08428860000094573
8x8 grid,64,0.4,0,790,0.0,NO_SOLUTION_FOUND,0.09807000000000698
8x8 grid,64,0.4,1,802,0.0,NO_SOLUTION_FOUND,0.09868979999919247
8x8 grid,64,0.4,2,772,0.0,NO_SOLUTION_FOUND,0.09810590000051889
8x8 grid,64,0.5,0,1005,0.0,NO_SOLUTION_FOUND,0.10994140000002517
8x8 grid,64,0.5,1,984,0.0011184215545654297,NO_SOLUTION_FOUND,0.10784399999829475
8x8 grid,64,0.5,2,992,0.0010693073272705078,NO_SOLUTION_FOUND,0.10814360000040324
heavy_hex_d5,57,0.1,0,176,0.0,NO_SOLUTION_FOUND,0.0406063999998878
heavy_hex_d5,57,0.1,1,152,0.0010027885437011719,NO_SOLUTION_FOUND,0.036803999999392545
heavy_hex_d5,57,0.1,2,147,0.0,NO_SOLUTION_FOUND,0.037527200000113226
heavy_hex_d5,57,0.2,0,322,0.0,NO_SOLUTION_FOUND,0.06745669999872916
heavy_hex_d5,57,0.2,1,298,0.0,NO_SOLUTION_FOUND,0.05807540000023437
heavy_hex_d5,57,0.2,2,309,0.0,NO_SOLUTION_FOUND,0.05816979999872274
heavy_hex_d5,57,0.3,0,466,0.0,NO_SOLUTION_FOUND,0.08199450000029174
heavy_hex_d5,57,0.3,1,456,0.0,NO_SOLUTION_FOUND,0.07359110000106739
heavy_hex_d5,57,0.3,2,471,0.0010027885437011719,NO_SOLUTION_FOUND,0.07486409999910393
heavy_hex_d5,57,0.4,0,634,0.0,NO_SOLUTION_FOUND,0.09084619999885035
heavy_hex_d5,57,0.4,1,621,0.0,NO_SOLUTION_FOUND,0.09848079999937909
heavy_hex_d5,57,0.4,2,612,0.0,NO_SOLUTION_FOUND,0.09002409999993688
heavy_hex_d5,57,0.5,0,800,0.0,NO_SOLUTION_FOUND,0.09970520000024408
heavy_hex_d5,57,0.5,1,765,0.0010035037994384766,NO_SOLUTION_FOUND,0.10452500000064902
heavy_hex_d5,57,0.5,2,786,0.0,NO_SOLUTION_FOUND,0.09886740000001737
