Qiskit,Qubits,Grid_Rows,Grid_Cols,Grid_Qubits,Spare_Qubits,Arm,Seed,Reps,Time_min_ms,Final_2Q_Gates,Final_Depth,Platform,Python,StartMethod,CPU
1.4.6,38,6,7,42,4,qiskit_opt2,1,1,51.4,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
1.4.6,38,6,7,42,4,qiskit_opt3,1,1,2653.7,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
1.4.6,42,6,7,42,0,qiskit_opt2,1,1,853.7,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
1.4.6,42,6,7,42,0,qiskit_opt3,1,1,9983.1,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.0.3,38,6,7,42,4,qiskit_opt2,1,1,44,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.0.3,38,6,7,42,4,qiskit_opt3,1,1,2611.9,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.0.3,42,6,7,42,0,qiskit_opt2,1,1,861.7,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.0.3,42,6,7,42,0,qiskit_opt3,1,1,9780.7,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.1.2,38,6,7,42,4,qiskit_opt2,1,1,17.8,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.1.2,38,6,7,42,4,qiskit_opt3,1,1,54.8,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.1.2,42,6,7,42,0,qiskit_opt2,1,1,855.5,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.1.2,42,6,7,42,0,qiskit_opt3,1,1,9897.5,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.2.3,38,6,7,42,4,qiskit_opt2,1,1,16.3,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.2.3,38,6,7,42,4,qiskit_opt3,1,1,274.2,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.2.3,42,6,7,42,0,qiskit_opt2,1,1,665.6,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.2.3,42,6,7,42,0,qiskit_opt3,1,1,8951.8,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.4.2,38,6,7,42,4,qiskit_opt2,1,1,16.6,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.4.2,38,6,7,42,4,qiskit_opt3,1,1,34.3,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.4.2,42,6,7,42,0,qiskit_opt2,1,1,748.5,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.4.2,42,6,7,42,0,qiskit_opt3,1,1,8998,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.5.2,38,6,7,42,4,qiskit_opt2,1,1,59.4,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.5.2,38,6,7,42,4,qiskit_opt3,1,1,56.1,57,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.5.2,42,6,7,42,0,qiskit_opt2,1,1,846,69,35,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
2.5.2,42,6,7,42,0,qiskit_opt3,1,1,8759.9,63,16,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,3.11.15,spawn,x86_64
