Topology,AvgDegree,Physical,Spare,Qubits,Arm,Level,PSF_RL,Reps,TimeBudget_s,PerAttemptCallLimit,PSFInitialLayoutMode,SmartSearch_s,SmartFound,SmartPhase,SmartOrder,SmartOrderingsTried,Status,Time_min_s,Time_median_s,Time_max_s,Spread_max_over_min,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
grid,3.5,64,0,64,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.7460183999974106,0.7460183999974106,0.7460183999974106,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.009804100001929328,True,1.0,bfs_from_min_degree,2.0,success,0.021200999999564374,0.021200999999564374,0.021200999999564374,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.00971660000141128,True,1.0,bfs_from_min_degree,2.0,success,0.021269100001518382,0.021269100001518382,0.021269100001518382,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.013916199997765943,0.013916199997765943,0.013916199997765943,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.0010868999997910578,True,1.0,bfs_from_max_degree,1.0,success,0.009702600000309758,0.009702600000309758,0.009702600000309758,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.001605000001291046,True,1.0,bfs_from_max_degree,1.0,success,0.010738000000856118,0.010738000000856118,0.010738000000856118,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.7334676000027684,0.7334676000027684,0.7334676000027684,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.05773630000112462,False,,,6.0,success,0.7811264999982086,0.7811264999982086,0.7811264999982086,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.9336752000017441,False,,,9.0,success,1.6389366000003065,1.6389366000003065,1.6389366000003065,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,40,24,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.011014299998350907,0.011014299998350907,0.011014299998350907,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.0009850999995251186,True,1.0,bfs_from_max_degree,1.0,success,0.008403799998632167,0.008403799998632167,0.008403799998632167,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.0009666000005381647,True,1.0,bfs_from_max_degree,1.0,success,0.00822139999945648,0.00822139999945648,0.00822139999945648,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.760859400001209,0.760859400001209,0.760859400001209,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.058046600002853666,False,,,6.0,success,0.7986483999993652,0.7986483999993652,0.7986483999993652,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,None,1.2199283000009018,False,,,9.0,success,1.9629193000000669,1.9629193000000669,1.9629193000000669,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,40,24,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.010280999998940388,0.010280999998940388,0.010280999998940388,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.0014828000021225307,True,1.0,bfs_from_max_degree,1.0,success,0.008738399999856483,0.008738399999856483,0.008738399999856483,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.000862000000779517,True,1.0,bfs_from_max_degree,1.0,success,0.008483499997964827,0.008483499997964827,0.008483499997964827,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,0,64,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.7177850000007311,0.7177850000007311,0.7177850000007311,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.05930209999860381,False,,,6.0,success,0.8069190999995044,0.8069190999995044,0.8069190999995044,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,None,1.1638832999997248,False,,,9.0,success,1.8943395999995118,1.8943395999995118,1.8943395999995118,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,40,24,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.01104999999733991,0.01104999999733991,0.01104999999733991,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.0009143999996013008,True,1.0,bfs_from_max_degree,1.0,success,0.008519500002876157,0.008519500002876157,0.008519500002876157,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.0008893999984138645,True,1.0,bfs_from_max_degree,1.0,success,0.008466499999485677,0.008466499999485677,0.008466499999485677,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.044292300000961404,0.044292300000961404,0.044292300000961404,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.049307900000712834,False,,,6.0,success,0.0951180000010936,0.0951180000010936,0.0951180000010936,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.08715110000048298,True,2.0,heuristic_natural,7.0,success,0.1021206000004895,0.1021206000004895,0.1021206000004895,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.010782199999084696,0.010782199999084696,0.010782199999084696,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.0009513999975752085,True,1.0,bfs_from_max_degree,1.0,success,0.008971799998107599,0.008971799998107599,0.008971799998107599,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.0010282000002916902,True,1.0,bfs_from_max_degree,1.0,success,0.008887600000889506,0.008887600000889506,0.008887600000889506,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.6256682999992336,0.6256682999992336,0.6256682999992336,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.00784159999966505,True,1.0,bfs_from_min_degree,2.0,success,0.019502999999531312,0.019502999999531312,0.019502999999531312,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.007514100001571933,True,1.0,bfs_from_min_degree,2.0,success,0.017633899999054847,0.017633899999054847,0.017633899999054847,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,qiskit_opt2,2,2,1,2.0,50000,None,,,,,,success,0.009244500000932021,0.009244500000932021,0.009244500000932021,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,None,0.0008280000001832377,True,1.0,bfs_from_max_degree,1.0,success,0.00897380000242265,0.00897380000242265,0.00897380000242265,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,None,0.0008364999994228128,True,1.0,bfs_from_max_degree,1.0,success,0.008591199999500532,0.008591199999500532,0.008591199999500532,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
