Topology,AvgDegree,Physical,Spare,Qubits,Arm,Level,PSF_RL,Reps,TimeBudget_s,PerAttemptCallLimit,FallbackCallLimit,PSFInitialLayoutMode,SmartSearch_s,SmartFound,SmartPhase,SmartOrder,SmartOrderingsTried,Status,Time_min_s,Time_median_s,Time_max_s,Spread_max_over_min,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
grid,3.5,64,0,64,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.7326601000022492,0.7326601000022492,0.7326601000022492,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.009347600000182865,True,1.0,bfs_from_min_degree,2.0,success,0.020143800000369083,0.020143800000369083,0.020143800000369083,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.009287199998652795,True,1.0,bfs_from_min_degree,2.0,success,0.020593200002622325,0.020593200002622325,0.020593200002622325,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.012607199998456053,0.012607199998456053,0.012607199998456053,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.0010313999991922174,True,1.0,bfs_from_max_degree,1.0,success,0.01007739999840851,0.01007739999840851,0.01007739999840851,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.0009834999982558656,True,1.0,bfs_from_max_degree,1.0,success,0.01076429999739048,0.01076429999739048,0.01076429999739048,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.7154172999980801,0.7154172999980801,0.7154172999980801,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.05746540000109235,False,,,6.0,success,0.7949550000012096,0.7949550000012096,0.7949550000012096,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.9504856999992626,False,,,9.0,success,1.6448696000006748,1.6448696000006748,1.6448696000006748,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,40,24,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.010795000001962762,0.010795000001962762,0.010795000001962762,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,40,24,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.0010002000017266255,True,1.0,bfs_from_max_degree,1.0,success,0.008621199998742668,0.008621199998742668,0.008621199998742668,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,40,24,qiskit_opt2_smart,2,2,1,2.0,50000,2000000,None,0.0009757000007084571,True,1.0,bfs_from_max_degree,1.0,success,0.008625900001788978,0.008625900001788978,0.008625900001788978,1.0,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2,2,2,1,2.0,50000,2000000,None,,,,,,success,0.7481410000000324,0.7481410000000324,0.7481410000000324,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2_smart1,2,2,1,2.0,50000,2000000,None,0.055247699998290045,False,,,6.0,success,0.8321208999986993,0.8321208999986993,0.8321208999986993,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
