Topology,AvgDegree,Physical,Spare,Qubits,Arm,Level,PSF_RL,Reps,TimeBudget_s,PerAttemptCallLimit,PSFInitialLayoutMode,SmartSearch_s,SmartFound,SmartPhase,SmartOrder,SmartOrderingsTried,Status,Time_min_s,Time_median_s,Time_max_s,Spread_max_over_min,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx
grid,3.5,64,0,64,qiskit_opt3,3,2,1,2,50000,False,,,,,,success,8.46972810000079,8.46972810000079,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt3_smart1,3,2,1,2,50000,False,0.009119099999225,True,1,bfs_from_min_degree,2,success,0.021186599999055,0.021186599999055,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt3_smart,3,2,1,2,50000,False,0.00930590000280062,True,1,bfs_from_min_degree,2,success,0.0201224999982514,0.0201224999982514,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,psf_rl2,3,2,1,2,50000,False,,,,,,success,0.724299400000745,0.724299400000745,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt3,3,2,1,2,50000,False,,,,,,success,0.0491459999975631,0.0491459999975631,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt3_smart1,3,2,1,2,50000,False,0.000973700000031385,True,1,bfs_from_max_degree,1,success,0.0103505000006407,0.0103505000006407,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt3_smart,3,2,1,2,50000,False,0.0013732000006712,True,1,bfs_from_max_degree,1,success,0.00946069999918108,0.00946069999918108,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,psf_rl2,3,2,1,2,50000,False,,,,,,success,0.0153067000028386,0.0153067000028386,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt3,3,2,1,2,50000,False,,,,,,success,22.5670336999974,22.5670336999974,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt3_smart1,3,2,1,2,50000,False,0.206847199999174,False,,,6,success,24.3924138000002,24.3924138000002,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt3_smart,3,2,1,2,50000,False,2.00511960000221,False,,,9,success,27.1096954000022,27.1096954000022,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
