Topology,AvgDegree,Physical,Spare,Qubits,Arm,Level,PSF_RL,Reps,TimeBudget_s,PerAttemptCallLimit,PSFInitialLayoutMode,SmartSearch_s,SmartFound,SmartPhase,SmartOrder,SmartOrderingsTried,Status,Time_min_s,Time_median_s,Time_max_s,Spread_max_over_min,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx
grid,3.5,64,0,64,qiskit_opt2,2,2,1,2,50000,FALSE,,,,,,success,0.7019495,0.7019495,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt2_smart,2,2,1,2,50000,FALSE,0.0116285,TRUE,1,bfs_from_min_degree,2,success,0.022806,0.022806,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,psf_rl2,2,2,1,2,50000,FALSE,,,,,,success,0.7191847,0.7191847,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,psf_rl2_smart,2,2,1,2,50000,FALSE,0.0091155,TRUE,1,bfs_from_min_degree,2,TypeError: compile_for_hardware() got an unexpected keyword argument 'initial_layout',,,,,,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt2,2,2,1,2,50000,FALSE,,,,,,success,0.0136084,0.0136084,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,qiskit_opt2_smart,2,2,1,2,50000,FALSE,0.0009462,TRUE,1,bfs_from_max_degree,1,success,0.0098162,0.0098162,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,psf_rl2,2,2,1,2,50000,FALSE,,,,,,success,0.0142629,0.0142629,36,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,40,24,psf_rl2_smart,2,2,1,2,50000,FALSE,0.000949,TRUE,1,bfs_from_max_degree,1,TypeError: compile_for_hardware() got an unexpected keyword argument 'initial_layout',,,,,,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2,2,2,1,2,50000,FALSE,,,,,,success,0.6958892,0.6958892,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2_smart,2,2,1,2,50000,FALSE,0.9320506,FALSE,,,9,success,1.6326854,1.6326854,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
