global_call_index,elapsed_since_start_s,arm,seed,repeat,time_ms,error,fallback_count,gc_gen0_count_before,gc_gen0_count_after,gc_collections_gen0_before,gc_collections_gen1_before,gc_collections_gen2_before,gc_collections_gen0_after,gc_collections_gen1_after,gc_collections_gen2_after,top_pass_name,top_pass_time_ms,top_pass_share,n_passes,total_pass_time_ms,disable_gc,routing_optimization_level,grid_rows,grid_cols,seed_transpiler,cpu,python_version,qiskit_version,is_outlier,_median_ms_nosearch,_median_ms_search
0,1.7710685999998077,nosearch,100,0,23.34459999997307,,0,187184,191084,329,29,2,329,29,2,VF2Layout,15.63715934753418,0.7560461095100864,39,20.682811737060547,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
1,1.7937677999998414,nosearch,100,1,22.641100000100778,,0,191085,191986,329,29,2,329,29,2,,0.0,0.0,39,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
2,1.8175813999998809,nosearch,100,2,23.780499999929816,,0,191987,192843,329,29,2,329,29,2,VF2PostLayout,8.61501693725586,0.8107974689224969,39,10.625362396240234,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
3,1.8418569999998908,nosearch,100,3,24.234900000010384,,0,192844,193700,329,29,2,329,29,2,VF2Layout,16.82758331298828,0.5993444404816495,39,28.076648712158203,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
4,1.8654723999998168,nosearch,100,4,23.57110000002649,,0,193701,194557,329,29,2,329,29,2,VF2PostLayout,15.6707763671875,1.0,39,15.6707763671875,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
5,1.887429099999963,nosearch,100,5,21.91990000005717,,0,194558,195414,329,29,2,329,29,2,VF2Layout,15.86008071899414,1.0,39,15.86008071899414,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
6,1.9105820999998286,nosearch,100,6,23.116200000004028,,0,195415,196271,329,29,2,329,29,2,VF2PostLayout,15.940189361572266,1.0,39,15.940189361572266,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
7,1.9343515999999,nosearch,100,7,23.728699999992386,,0,196272,197128,329,29,2,329,29,2,VF2Layout,16.124486923217773,0.6401116842553595,39,25.190114974975586,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
8,1.958196799999996,nosearch,100,8,23.811499999965235,,0,197129,197985,329,29,2,329,29,2,VF2Layout,12.682914733886719,1.0,39,12.682914733886719,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
9,1.9811819999999898,nosearch,100,9,22.956199999953242,,0,197986,198842,329,29,2,329,29,2,VF2Layout,7.004499435424805,0.5145724594528321,39,13.61227035522461,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
