Topology,AvgDegree,Physical,Spare,Qubits,Arm,Level,PSF_RL,Reps,TimeBudget_s,PerAttemptCallLimit,FallbackCallLimit,PSFInitialLayoutMode,SmartSearch_s,SmartFound,SmartPhase,SmartOrder,SmartOrderingsTried,Status,Time_min_s,Time_median_s,Time_max_s,Spread_max_over_min,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
grid,3.5,64,0,64,qiskit_opt2,2,2,1,2.0,50000,500000,None,,,,,,success,0.7513875000004191,0.7513875000004191,0.7513875000004191,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,500000,None,0.009371799998916686,True,1.0,bfs_from_min_degree,2.0,success,0.02086580000104732,0.02086580000104732,0.02086580000104732,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2,2,2,1,2.0,50000,500000,None,,,,,,success,0.707809499999712,0.707809499999712,0.707809499999712,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,500000,None,0.27054470000075526,False,,,9.0,success,0.9677489999994577,0.9677489999994577,0.9677489999994577,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2,2,2,1,2.0,50000,500000,None,,,,,,success,0.7384130999998888,0.7384130999998888,0.7384130999998888,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,500000,None,0.3371331000016653,False,,,9.0,success,1.0704039999982342,1.0704039999982342,1.0704039999982342,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,0,64,qiskit_opt2,2,2,1,2.0,50000,500000,None,,,,,,success,0.7447065000014845,0.7447065000014845,0.7447065000014845,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,500000,None,0.3490674000022409,False,,,9.0,success,1.0831570000009378,1.0831570000009378,1.0831570000009378,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2,2,2,1,2.0,50000,500000,None,,,,,,success,0.04460090000065975,0.04460090000065975,0.04460090000065975,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,500000,None,0.08742259999780799,True,2.0,heuristic_natural,7.0,success,0.09787699999651522,0.09787699999651522,0.09787699999651522,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2,2,2,1,2.0,50000,500000,None,,,,,,success,0.6216163999997661,0.6216163999997661,0.6216163999997661,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,500000,None,0.00788980000288575,True,1.0,bfs_from_min_degree,2.0,success,0.02107360000081826,0.02107360000081826,0.02107360000081826,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
