part,case,arm,rep,time_s,err_raw,infid,cx,twoq,sx,depth,pair_applicable,pair_worst,esp_log10,mean_edge_err
G,"(0.6,0.3,e)_e1.00e-05_bare",off,,,7.500673589182926e-12,6.661338147750939e-16,3,,,,,,,
G,"(0.6,0.3,e)_e1.00e-05_bare",on,,,7.500772950193698e-12,6.661338147750939e-16,3,,,,,,,
G,"(0.6,0.3,e)_e1.00e-05_dressed13",off,,,1.235201077534977e-15,2.220446049250313e-16,3,,,,,,,
G,"(0.6,0.3,e)_e1.00e-05_dressed13",on,,,1.235201077534977e-15,2.220446049250313e-16,3,,,,,,,
G,"(0.6,0.3,e)_e1.00e-05_dressed101",off,,,1.5842727201381886e-15,0.0,3,,,,,,,
G,"(0.6,0.3,e)_e1.00e-05_dressed101",on,,,1.5842727201381886e-15,0.0,3,,,,,,,
G,"(0.6,0.3,e)_e1.00e-05_dressed202",off,,,1.6477499018661497e-15,6.661338147750939e-16,3,,,,,,,
G,"(0.6,0.3,e)_e1.00e-05_dressed202",on,,,1.6477499018661497e-15,6.661338147750939e-16,3,,,,,,,
G,"(0.6,0.3,e)_e5.62e-06_bare",off,,,1.333886568291898e-11,3.3306690738754696e-16,3,,,,,,,
G,"(0.6,0.3,e)_e5.62e-06_bare",on,,,1.333886568291898e-11,3.3306690738754696e-16,3,,,,,,,
G,"(0.6,0.3,e)_e5.62e-06_dressed13",off,,,1.2455266236431555e-15,3.3306690738754696e-16,3,,,,,,,
G,"(0.6,0.3,e)_e5.62e-06_dressed13",on,,,1.2455266236431555e-15,3.3306690738754696e-16,3,,,,,,,
G,"(0.6,0.3,e)_e5.62e-06_dressed101",off,,,1.6169409537006236e-15,0.0,3,,,,,,,
G,"(0.6,0.3,e)_e5.62e-06_dressed101",on,,,1.6169409537006236e-15,0.0,3,,,,,,,
G,"(0.6,0.3,e)_e5.62e-06_dressed202",off,,,1.5764580553371185e-15,1.1102230246251565e-15,3,,,,,,,
G,"(0.6,0.3,e)_e5.62e-06_dressed202",on,,,1.5764580553371185e-15,1.1102230246251565e-15,3,,,,,,,
G,"(0.6,0.3,e)_e3.16e-06_bare",off,,,2.371739529070178e-11,6.661338147750939e-16,3,,,,,,,
G,"(0.6,0.3,e)_e3.16e-06_bare",on,,,2.371722523932942e-11,6.661338147750939e-16,3,,,,,,,
G,"(0.6,0.3,e)_e3.16e-06_dressed13",off,,,1.3524970466433546e-15,3.3306690738754696e-16,3,,,,,,,
