Seed,Arm,CallLimit,MaxTrials,Qubits,Physical,Time_min_s,Time_median_s,StopReason,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
1,scalar,3000000,,42,42,0.34294149999914225,0.344019300000582,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
1,max_trials1,3000000,1.0,42,42,0.0037123999991308665,0.0037627000001521083,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
1,tuple_10k,"(3000000, 10000)",,42,42,0.001690200000666664,0.0016978000003291527,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
1,tuple_full,"(3000000, 3000000)",,42,42,0.3411230000001524,0.3437365999998292,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
8,scalar,3000000,,42,42,0.33321579999937967,0.33513630000015837,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
8,max_trials1,3000000,1.0,42,42,0.3322299000010389,0.3323086999989755,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
8,tuple_10k,"(3000000, 10000)",,42,42,0.001684999999270076,0.0017023000000335742,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
8,tuple_full,"(3000000, 3000000)",,42,42,0.33339729999897827,0.3370935000002646,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
25,scalar,3000000,,42,42,0.3382969000012963,0.33850820000043313,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
25,max_trials1,3000000,1.0,42,42,0.03483759999835456,0.03493799999887415,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
25,tuple_10k,"(3000000, 10000)",,42,42,0.001752199999828008,0.0019417999992583646,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
25,tuple_full,"(3000000, 3000000)",,42,42,0.3316663999994489,0.3361158000006981,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
29,scalar,3000000,,42,42,0.3334041000016441,0.33683060000112164,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
29,max_trials1,3000000,1.0,42,42,0.033980399999563815,0.03433159999985946,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
29,tuple_10k,"(3000000, 10000)",,42,42,0.0016293999997287756,0.001683700000285171,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
29,tuple_full,"(3000000, 3000000)",,42,42,0.33100150000063877,0.33323919999929785,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
0,scalar,3000000,,42,42,0.32863170000018727,0.33009109999875363,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
0,max_trials1,3000000,1.0,42,42,0.3252353000007133,0.3262103999986721,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
0,tuple_10k,"(3000000, 10000)",,42,42,0.32264090000171564,0.3228237999992416,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
0,tuple_full,"(3000000, 3000000)",,42,42,0.32436069999857864,0.32561249999889696,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
2,scalar,3000000,,42,42,0.32454539999889676,0.32480649999888556,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
2,max_trials1,3000000,1.0,42,42,0.321386599998732,0.32754799999929674,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
