Grid,Nodes,Pairs,Order,OrderSeed,IdOrder,Found,Time_s,CallLimit,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
6x7,42,21,row_major,,False,False,0.364268200000879,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,col_major,,False,False,0.36112929999944754,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,snake,,False,False,0.35176309999951627,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,bfs_corner,,False,False,0.36365590000059456,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,dfs_corner,,False,False,0.35593019999942044,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,bipartite,,False,False,0.3580497999992076,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,reverse,,False,False,0.36194629999954486,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,0.0,False,False,0.3409689000000071,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,1.0,False,False,0.3670905999988463,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,2.0,False,False,0.34267559999898367,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,3.0,False,False,0.33524519999991753,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,4.0,False,False,0.34393699999964156,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,row_major,,True,True,0.001781999999366235,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,col_major,,True,True,1.9999999494757503e-05,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,snake,,True,True,5.880000026081689e-05,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,bfs_corner,,True,True,1.9600000086938962e-05,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
